created_at,text,sad
2021-08-02 04:21:30,"RT @alvarosarco: La @PoliciaPeru que fue asesinada y mutilada por Sendero Luminoso, hoy defiende a ese grupo terrorista de la ciudadanía in…",
2021-08-02 04:20:53,O sea q por la wb mi abuela fue a votar en silla de ruedas?? #VacanciaPedroCastillo #AsumeTuVotoIdiota,
2021-08-02 04:20:45,"RT @PasquinDeM: Los del Diario La República ahora  lloran y afirman  que se sienten engañados por el Portero Castillo,  ellos creían que se…",
2021-08-02 04:20:22,"Ahí esta la respuesta, asesor de Nicolás maduro en Lima al igual q asesor de España del partido comunista @podemosmad #AsumeTuVotoIdiota #ConelTerrorismoNoseNegocia #VacanciaPresidencialYa #VacanciaPedroCastillo https://t.co/ggF098NMM6",
2021-08-02 04:20:11,"RT @Rivar_2021: VACANCIA y Nuevas elecciones, el grito popular, tenemos un presidente inmoral que esta rodeado de senderistas, inaceptable.…",
2021-08-02 04:19:36,"RT @paularo67: Palestina, medalla de oro contra el apartheid y la ocupación sionista.

#IsraeliCrimes
#LaLigaTuitera
#AsumeTuVotoIdiota htt…",
2021-08-02 04:19:32,RT @LaSalitadelSin: Les malogramos el almuerzo a los pobres diablos que andan con #AsumeTuVotoIdiota❓No hagan tendencia #VigilaTuKarpaIdiot…,
2021-08-02 04:19:24,"RT @Alioasanchez: La ignorancia es atrevida. El señor Bellido si quiere compararse a alguien que lo haga con su idolo Abimael Guzmán, no en…",
2021-08-02 04:19:07,"RT @Merengue_1924: Curwen es el claro ejemplo de como te queda la boca si chupas lapiz.
.
#VacanciaPedroCastillo
 #AsumeTuVotoIdiota https:…",
2021-08-02 04:18:47,"RT @eudmed: Sólo en el Perú.
Tuvimos hasta abril la posibilidad de tener un Presidente como Hernando de Soto y en julio teníamos en ese lug…",
2021-08-02 04:18:47,"RT @paularo67: Palestina, medalla de oro contra el apartheid y la ocupación sionista.

#IsraeliCrimes
#LaLigaTuitera
#AsumeTuVotoIdiota htt…",
2021-08-02 04:18:32,"#VacanciaPedroCastillo #AsumeTuVotoIdiota Extraño a Sagasti incluso a Vizcarrata, choledo y mucho más a Alan, ése si era profesor e inteligente duela a quien le duela, es lo que hay ahora, terroristas y corruptos.",
2021-08-02 04:18:30,"RT @JahirMichael: Los caviares defensores de @PedroCastilloTe hoy en día.🤫
#AsumeTuVotoIdiota
#VacanciaPedroCastillo https://t.co/lZwd7KrcNy",
2021-08-02 04:18:13,"RT @eudmed: Sólo en el Perú.
Tuvimos hasta abril la posibilidad de tener un Presidente como Hernando de Soto y en julio teníamos en ese lug…",
2021-08-02 04:18:13,"RT @paulo_peru99: Pedro Castillo viendo cómo todos los dominicales están haciendo añicos al gabinete Bellido: 

#CuartoPoder 
Panorama
Punt…",
2021-08-02 04:18:09,"RT @alvarosarco: La @PoliciaPeru que fue asesinada y mutilada por Sendero Luminoso, hoy defiende a ese grupo terrorista de la ciudadanía in…",
2021-08-02 04:16:42,"RT @alvarosarco: La @PoliciaPeru que fue asesinada y mutilada por Sendero Luminoso, hoy defiende a ese grupo terrorista de la ciudadanía in…",
2021-08-02 04:16:19,"RT @limonysal21: “La economía se mueve por monopolios , la economía debe dejar de ser especulativa”
Quiere cambiar las conductas y las expe…",
