created_at,text,sad
2021-08-02 04:20:58,"RT @rataneda: Alberto Fujimori en 1989 era rector de la universidad agraria y presidente de la ANR, además de conductor del programa de tel…",
2021-08-02 04:19:26,"No repitamos la historia de aquel humilde profesor que con la ayuda de un siniestro asesor se volvió un dictador corrupto. Para lograrlo debemos usar como armas el modelo económico y la constitución creadas por ese par de delincuentes

Tiene sentido, Coné

#CuartoPoder",
2021-08-02 04:19:07,"RT @rataneda: Alberto Fujimori en 1989 era rector de la universidad agraria y presidente de la ANR, además de conductor del programa de tel…",
2021-08-02 04:18:54,RT @OtraSeleccion: @Wankawalass @Cuarto_Poder La redactora del teleprónter de #CuartoPoder: https://t.co/VXmeDmzL5n,
2021-08-02 04:18:53,"RT @OtraSeleccion: @LaSalitadelSin @Cuarto_Poder Tatiana Alemán leyendo: Pedro Castillo y Vladimir Cerrón nos traerán hambre, muerte y caos…",
2021-08-02 04:18:42,"RT @RosaTolerante: ¿Quien es más hasta las huevas?

   Juan Sheput.         Jorge Del Castillo.
          RT.                      ♥️ FAV.…",
2021-08-02 04:18:20,"RT @coronadaqueen: Sebastián Salazar y la mujer que lo  acompaña, sinceramente, ambos sin gracia, impostacion de voz barata y  fingida...
Q…",
2021-08-02 04:18:13,"RT @paulo_peru99: Pedro Castillo viendo cómo todos los dominicales están haciendo añicos al gabinete Bellido: 

#CuartoPoder 
Panorama
Punt…",
2021-08-02 04:18:12,"RT @carlo_torres: @emanuelefrance6 Consejo sano , si extrañan el antiguo #CuartoPoder , ese que si hacia periodismo , fácil pueden ver #Epi…",
2021-08-02 04:16:52,"Alberto Fujimori en 1989 era rector de la universidad agraria y presidente de la ANR, además de conductor del programa de televisión ""Concertando"", gracias a su cercanía con el APRA. Decir que era ""un humilde profesor"" es estúpido o deshonesto. Ustedes escojan #CuartoPoder",
2021-08-02 04:16:07,"O sea, es que ya nadie ve #CuartoPoder y nos enteramos de las tonterías que dicen cuando ya acabó el programa pues 🤦‍♂️",
2021-08-02 04:15:36,"RT @coronadaqueen: Sebastián Salazar y la mujer que lo  acompaña, sinceramente, ambos sin gracia, impostacion de voz barata y  fingida...
Q…",
2021-08-02 04:15:24,"RT @RosaTolerante: ¿Quien es más hasta las huevas?

   Juan Sheput.         Jorge Del Castillo.
          RT.                      ♥️ FAV.…",
2021-08-02 04:15:04,"RT @huberpflo: Esta noche #CuartoPoder se sacó la careta, su objetivo es promover la  vacancia presidencial, dio un discurso comparando al…",
2021-08-02 04:14:38,"RT @KillaPunchay: #CuartoPoder, ¿para cuándo un reportaje de los nexos del fujimorismo con el narcoterrorismo del VRAEM?",
2021-08-02 04:14:21,"A ver dónde está los medios de comúnicacion que indican que ellos mismo se deben regular
Lo de Cuarto poder hoy quien lo señalará? No veo los colegas señalando, Donde esta la SNRTV cuando sancionará? Linda autoregulacion.
#Podridismo #CuartoPoder #kriptopoder",
2021-08-02 04:14:13,"RT @paulo_peru99: Pedro Castillo viendo cómo todos los dominicales están haciendo añicos al gabinete Bellido: 

#CuartoPoder 
Panorama
Punt…",
2021-08-02 04:13:53,"RT @KillaPunchay: #CuartoPoder, ¿para cuándo un reportaje de los nexos del fujimorismo con el narcoterrorismo del VRAEM?",
2021-08-02 04:12:40,"RT @Rivar_2021: AHORA #Panorama #CuartoPoder #PuntoFinal Parecen ser WILLAX, abrieron los ojos, BETO ORTIZ siempre tuvo razón, ahora es que…",
2021-08-02 04:12:22,RT @MigvelSotomayor: Los indignados dicen que el único requisito para ser ministro de Bellido es tener denuncias. Entonces todos los fujimo…,
2021-08-02 04:12:14,"@emanuelefrance6 Consejo sano , si extrañan el antiguo #CuartoPoder , ese que si hacia periodismo , fácil pueden ver #EpicentroTv ...ahi están todos los periodistas serios e imparciales que renunciaron ( en segunda vuelta ) y creanme estan haciendo periodismo , no un programa de chismes .",
2021-08-02 04:11:54,"RT @RosaTolerante: ¿Quien es más hasta las huevas?

   Juan Sheput.         Jorge Del Castillo.
          RT.                      ♥️ FAV.…",
2021-08-02 04:11:32,"RT @OtraSeleccion: @noticiAmerica Tatiana Alemán leyendo: Pedro Castillo y Vladimir Cerrón nos traerán hambre, muerte y caos. Hay que parar…",
2021-08-02 04:11:32,"Los indignados dicen que el único requisito para ser ministro de Bellido es tener denuncias. Entonces todos los fujimoristas, apristas y sus satélites pueden postular porque tienen denuncias hasta por 3 generaciones

#Panorama #CuartoPoder #PuntoFinal #CastilloDeslindaDeCerron",
2021-08-02 04:11:22,"RT @coronadaqueen: Sebastián Salazar y la mujer que lo  acompaña, sinceramente, ambos sin gracia, impostacion de voz barata y  fingida...
Q…",
2021-08-02 04:10:50,"RT @coronadaqueen: Sebastián Salazar y la mujer que lo  acompaña, sinceramente, ambos sin gracia, impostacion de voz barata y  fingida...
Q…",
2021-08-02 04:10:39,"RT @coronadaqueen: Sebastián Salazar y la mujer que lo  acompaña, sinceramente, ambos sin gracia, impostacion de voz barata y  fingida...
Q…",
2021-08-02 04:10:37,"RT @luismidelperu: Los hombres ""de peso"" del presidente Pedro Castillo (y de Perú Libre o Vladimir Cerrón)

Fuente: @SMT_Latina de @Latina_…",
2021-08-02 04:09:37,"RT @edumaldi: En #CuartoPoder llaman “gobierno socialista” a la dictadura de Velasco. El Chino los mandaría al exilio por eso, como lo hizo…",
