created_at,text,sad
2021-08-02 04:01:46,RT @Rorayjibo: Multitudinaria manifestación democrática en el Campo de Marte. No al gabinete pro terruco de Bellido. Debajo del sombrero se…,
2021-08-02 04:01:44,Quisiera que cerron renuncie que Guido renuncie creo que castillo tiene buena intención pero no tiene la capacidad de hacerlo..... De igual manera creo significaría mucho para las personas olvidadas de las regiones. #VacanciaPedroCastillo,
2021-08-02 04:01:43,RT @butters_of: Viralicen el #VacanciaPedroCastillo,
2021-08-02 04:01:38,"RT @pcastrokamimoto: #vacanciaPedroCastillo 
Lárgate Castillo..! https://t.co/QkSmyAj1LT",
2021-08-02 04:01:35,"@Dianasemi @hermanntertsch Ahhh, pero si en vez del Rey venia Pedro Sánchez, ahí si hasta le prendia velas #VacanciaPedroCastillo",
2021-08-02 04:01:30,"RT @Fiscal_Lagarto: Ya pasaron más 72 horas,
Y Evo Morales ,es el único delincuente extranjero que se fue...
Lárgate Pedro Castillo. #Vacan…",
2021-08-02 04:01:25,"RT @butters_of: Ya se ve a algunos congresistas suavizando su mensaje. Cuidando su escaño, y haciéndole el juego al lápiz.

Cuánta cobardía…",
2021-08-02 04:01:23,RT @RosaTolerante: Los que piden #VacanciaPedroCastillo son los mismos que votaron por la pareja de vagos Keiko Fujimori y Mark Vito.,
2021-08-02 04:01:21,"Personas del mismo sector que reclamaban que lo de noviembre fue Golpe de Estado, y que la narrativa del fraude en mesa era Golpe Lento, hoy deslizan la posibilidad de #VacanciaPedroCastillo. ¿Que les pasa? Un poco de respeto y madurez con el país y su crisis generalizada.",
2021-08-02 04:01:19,"RT @justicierowild: Brutal reportaje de Panorama, destruyendo uno a uno a los ministros del portero Castillo, una banda de borrachos, corru…",
2021-08-02 04:01:15,"RT @pilmepa: #VacanciaPedroCastillo
Esta marcha es la verdadera encuesta !!
El pueblo dice :
#VacanciaPedroCastillo https://t.co/Jpr3Py5cEF",
2021-08-02 04:01:14,RT @RosaTolerante: Los que piden #VacanciaPedroCastillo son los mismos que votaron por la pareja de vagos Keiko Fujimori y Mark Vito.,
2021-08-02 04:01:14,"RT @JoeTorresInfo: Les recuerdo que la gran mayoría de los que votamos por Keiko NO lo hicimos por ella, no todos somos fujimoristas, lo hi…",
