created_at,text,sad
2021-08-02 04:36:18,RT @LaSalitadelSin: Les malogramos el almuerzo a los pobres diablos que andan con #AsumeTuVotoIdiota❓No hagan tendencia #VigilaTuKarpaIdiot…,
2021-08-02 04:36:13,RT @perrocondueno: #VigilaTuKarpaIdiota y no jodas ja,
2021-08-02 04:36:03,"RT @the_jesica: En estos momentos la prensa (tbn Latina y Cana N)  🤮
 #VigilaTuKarpaIdiota 
Canal N  #PuntoFinal https://t.co/pYiqPXsv3f",
2021-08-02 04:35:30,"@GuidoPuka @SunafilPeru revise este caso de un trabajador, ministro de vivienda, q lo hacen trabajar un ""buen domingo"" 

Quizás tenga horas extras y no se la reconocen 🤔

@julianaoxenford  Panorama #VigilaTuKarpaIdiota Largate #VacanciaPedroCastillo Hernando de Soto  #PuntoFinal Renuncia https://t.co/0dDJmdE0U9",
2021-08-02 04:35:30,"Para la derecha cavernaria peruana la REDENCIÓN existe solo para el blankito, más no para el serrano, ni para el cholo.

#VigilaTuKarpaIdiota
#VacanciaPedroCastillo https://t.co/HAdsch28e8",
2021-08-02 04:34:44,"Cada vez esto se vuelve real!!
#PuntoFinal ,Lárgate,Panorama,Hernando de Soto,#VacanciaPedroCastillo,#VigilaTuKarpaIdiota,Piura https://t.co/2JyD0xqtGM",
2021-08-02 04:33:54,"@Politica_LR Seran éstos? 
#VigilaTuKarpaIdiota https://t.co/3BEJInUvSp",
2021-08-02 04:33:18,"RT @JorgeFl98790674: @chrisbustc @FiscaliaPeru La Prensa de Vladimiro Montesinos y la Eterna Perdedora.
@Cuarto_Poder 
#VigilaTuKarpaIdiota…",
2021-08-02 04:32:44,"RT @Waliq90: Si Keiko hubiera hecho lo mismo a favor de un grupo o empresa, al día siguiente pedían vacancia. Nadie estaría tan comprensivo…",
2021-08-02 04:31:26,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:31:20,"RT @SooapNat: Los fujimbéciles me tienen cansada.
#VigilaTuKarpaIdiota https://t.co/rELd6WeHlU",
2021-08-02 04:31:11,"RT @vLp87a: Por favor, dejen de andar de payasos marchando por todo y llorando por todo🤡Mas bien, anda y #VigilaTuKarpaIdiota 
#VigilaTuKar…",
2021-08-02 04:31:08,"RT @JorgeFl98790674: @chrisbustc @FiscaliaPeru La Prensa de Vladimiro Montesinos y la Eterna Perdedora.
@Cuarto_Poder 
#VigilaTuKarpaIdiota…",
2021-08-02 04:31:04,"GUIDO BELLIDO Y APRA TERRORISTAS?
#PrensaBasura #VigilaTuKarpaIdiota #VacanciaPedroCastillo #NoAlComunismoEnElPeru #AsumeTuVotoIdiota  Panorama Piura Palacio Nidia Vilchez Cuarto poder Pedro Castillo Peru Libre Keiko Fujimori Fuerza popular valleriestra Armando Villanueva https://t.co/ycG6SbwBct",
2021-08-02 04:30:59,"RT @limonysal21: Hernando de Soto, si tan solo hubieras pasado a la segunda vueltanada de este caos estaría pasando.
Nos merecemos los gob…",
