created_at,text,sad
2021-08-02 03:40:24,"@gonzalesposadal El APRA?
Aquel partido estrellado 
Jajajaja 
Les duele que no le den un ministerio 
Jajajaja",
2021-08-02 03:40:00,@gonzalesposadal el apra existe?,
2021-08-02 03:39:18,"RT @seriopayaso: Siempre que veo una publicación del @APRA_Oficial, mi mente: https://t.co/igb8fM8lQZ",
2021-08-02 03:39:13,RT @gonzalesposadal: El APRA repudia a Premier Bellido y demanda cambio de Gabinete. https://t.co/39J7grJd1c,
2021-08-02 03:39:10,"RT @seriopayaso: Siempre que veo una publicación del @APRA_Oficial, mi mente: https://t.co/Ivpl8AXiwR https://t.co/igb8fM8lQZ",
2021-08-02 03:39:06,"RT @seriopayaso: Siempre que veo una publicación del @APRA_Oficial, mi mente: https://t.co/igb8fM8lQZ",
2021-08-02 03:38:51,"RT @rades26: EL APRA EN LAS CALLES, 
Todas las fuerzas democráticas unidas para salvar a nuestra Patria de las garras del totalitarismo dis…",
2021-08-02 03:38:34,Hay libro de reclamaciones en weverse APRA hacer queja masiva sobre esto. O es que quieren que sigamos a ese grupo ,
2021-08-02 03:38:10,"@gonzalesposadal APRA, la de antes pudo ser un faro de ideas para el buen del pueblo. Con los años y el alanismo se convirtió en una cuna de impresentables, corruptos, delincuentes, etc.
Hoy Apra es sinónimo de pobredumbre política y moral.",
2021-08-02 03:37:59,"RT @JahirMichael: La desesperación lleva a Fiorella Molinelli a sentarse en @PanoramaPTV , para decir que es persecución política y que la…",
2021-08-02 03:37:51,@gonzalesposadal APRA CLOACA DEL FUJIMORISMO!!!,
2021-08-02 03:37:46,El APRA en algo quería figurar ya que no están en el kongreso. https://t.co/hYury0QW4A,
2021-08-02 03:37:40,RT @gonzalesposadal: El APRA repudia a Premier Bellido y demanda cambio de Gabinete. https://t.co/39J7grJd1c,
2021-08-02 03:37:21,"RT @CBeto06: @unchasqui A ese letrero del Apra le falta: Debería decir Haya vive, Alan se mató.",
2021-08-02 03:37:20,"RT @DavidCortezG1: @gonzalesposadal El apra no existe, son alanistas",
2021-08-02 03:37:15,"RT @LaSalitadelSin: Jajajajajajaajajajajajajajaaj el vividor de toda la vida JORGE DEL CASTILLO del APRA y Juan Sheput, encabezando la marc…",
2021-08-02 03:37:13,@gonzalesposadal El Apra..??? Cuál ...???no insultes la memoria de Haya ...,
2021-08-02 03:37:13,RT @gonzalesposadal: El APRA repudia a Premier Bellido y demanda cambio de Gabinete. https://t.co/39J7grJd1c,
2021-08-02 03:37:08,RT @piahildebrandt: El Apra y el narcotráfico (nota de @ensustrece). En la foto: Alan García con el NARCO colombiano Óscar Cuevas Cepeda. h…,
2021-08-02 03:37:04,RT @gonzalesposadal: El APRA repudia a Premier Bellido y demanda cambio de Gabinete. https://t.co/39J7grJd1c,
2021-08-02 03:36:02,RT @ugluis: El Apra se hace presente en la Gran Marcha: https://t.co/2C5d748bJJ,
2021-08-02 03:36:01,"@unchasqui MRTAelApra suLíderYamigo Alan. quién protegía al MRTA?, quién dejo escapar a Polay , Mantilla y Alan ... (Quiénes representan al Apra) Allí los ven con su bandera y faltan los tamales y los perritos y los ksoquen. Huyy el Apra tiene historia de BUFALOS https://t.co/HOrykc4DHW https://t.co/bVur61QIjS",
2021-08-02 03:35:52,RT @gonzalesposadal: El APRA repudia a Premier Bellido y demanda cambio de Gabinete. https://t.co/39J7grJd1c,
2021-08-02 03:35:24,RT @gonzalesposadal: El APRA repudia a Premier Bellido y demanda cambio de Gabinete. https://t.co/39J7grJd1c,
2021-08-02 03:35:20,RT @gonzalesposadal: El APRA repudia a Premier Bellido y demanda cambio de Gabinete. https://t.co/39J7grJd1c,
2021-08-02 03:35:01,RT @gonzalesposadal: El APRA repudia a Premier Bellido y demanda cambio de Gabinete. https://t.co/39J7grJd1c,
2021-08-02 03:35:00,"RT @JahirMichael: La desesperación lleva a Fiorella Molinelli a sentarse en @PanoramaPTV , para decir que es persecución política y que la…",
2021-08-02 03:34:55,@chrisbustc @noakeiko Todavía le dan tribuna a este aire putrefacto del apra ( Haya  se taparía la nariz ),
2021-08-02 03:34:54,"RT @LaSalitadelSin: Jajajajajajaajajajajajajajaaj el vividor de toda la vida JORGE DEL CASTILLO del APRA y Juan Sheput, encabezando la marc…",
2021-08-02 03:34:45,"RT @aspauzarazuri: El PPC está en la UCI
El Apra se suicidó hace poco
Perú Patria Segura sacó 0.42%
Acción Popular recicla impresentables
S…",
