created_at,text,sad
2021-08-02 04:00:09,"RT @Samblink6: Weverse en tendencia, se meten a la tendencia y es el otro fandom llorando porque les llegaron notificaciones de bp. Inmadur…",
2021-08-02 04:00:09,RT @theheadblink: Al parecer a todxs les están llegando las notificaciones de blackpink y jennie en weverse y ya andan colapsando lmao que…,
2021-08-02 04:00:09,"RT @baelvss: tal vez eso de tenerlas en weverse no sea tan malo

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K-pop on #KCAMexico (@BLA…",
2021-08-02 04:00:04,"@BlackPinkUninG1 @BLACKPINK Treinta y ocho..

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)",
2021-08-02 04:00:03,"RT @JenChu4LiChaeng: Vayan a dejarle comentarios bonitos a este precioso ser en weverse

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K…",
2021-08-02 04:00:03,RT @michel_bp1: Vi que han subido ss aquí donde les andan tirando hat3 en la app…era de esperarse pero no pierdan el tiempo peleando xq no…,
2021-08-02 04:00:03,RT @theheadblink: Al parecer a todxs les están llegando las notificaciones de blackpink y jennie en weverse y ya andan colapsando lmao que…,
2021-08-02 04:00:02,"RT @thecryforIisa: Espero que suban contenido a diario, sería muy lindo, y por eso debemos llenar cada post con muchos comentarios positivo…",
2021-08-02 04:00:02,"en fin, que tú colapses porque las Pinks estén en esa App, no las sacará de ahí 🥰

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)",
2021-08-02 04:00:01,"RT @lucas_svq: Por qué weverse manda las mismas notificaciones como veinte veces?

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K-pop o…",
2021-08-02 04:00:01,"RT @ninigouth1c: Esas ratas deberían hacernos el favor de darle bloq a las chicas y nos hacemos un favor mutuamente.

AUGUST TREMBLES FOR L…",
2021-08-02 03:59:59,"RT @domiwc: no entiendo nada pero ahí estoy 

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)",
2021-08-02 03:59:59,"la vida me pide mucho y yo solo quiero un post de Lisa t...t

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK )",
2021-08-02 03:59:57,"RT @Samblink6: Weverse en tendencia, se meten a la tendencia y es el otro fandom llorando porque les llegaron notificaciones de bp. Inmadur…",
2021-08-02 03:59:57,"@BlackPinkUninG1 @BLACKPINK Treinta y siete..

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)",
2021-08-02 03:59:55,"@cachmiladrug Por eso nos llevamos tan bien jajajja

#BLACKPINKWeverse
#BLINK_in_Weverse  jennie

AUGUST TREMBLES FOR LISA
I vote #Rose for Bomba K-pop on #KCAMexico 
(@BLACKPINK)",
2021-08-02 03:59:54,RT @theheadblink: Al parecer a todxs les están llegando las notificaciones de blackpink y jennie en weverse y ya andan colapsando lmao que…,
2021-08-02 03:59:54,"RT @Carla86021476: QUE RARO NO VEO NINGÚN COMENTARIO DE HATE, ESPERO SIGA ASÍ AMÉN. 🧘‍♀️

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bom…",
2021-08-02 03:59:53,"RT @blackpinista_13: Como puedo seguir a gente y que me sigan en esa app?
AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K-pop on #KCAMex…",
2021-08-02 03:59:52,RT @michel_bp1: Vi que han subido ss aquí donde les andan tirando hat3 en la app…era de esperarse pero no pierdan el tiempo peleando xq no…,
2021-08-02 03:59:49,"Ni una hora y ese fandom ya empezó...

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK) https://t.co/ZgwpItj7lQ",
2021-08-02 03:59:49,"RT @domiwc: no entiendo nada pero ahí estoy 

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)",
2021-08-02 03:59:48,"RT @JisooPatas: Esperando a que Jennie siga interactuando o que alguna de las chicas lo haga ¿quien creen que siga? 

AUGUST TREMBLES FOR…",
2021-08-02 03:59:48,"RT @lisooxchaennie: Me pasan guías de cómo usar weverse pls :c y me los chapo

AUGUST TREMBLES FOR LISA 
I vote #Rose for Bomba K-pop on #K…",
2021-08-02 03:59:45,RT @michel_bp1: Vi que han subido ss aquí donde les andan tirando hat3 en la app…era de esperarse pero no pierdan el tiempo peleando xq no…,
