created_at,text,sad
2021-08-02 04:44:56,"@VLADIMIR_CERRON La nueva congresista Adriana Tudela está sugiriendo una vacancia al Presidente Castillo, no le están dando la oportunidad de trabajar a él ni a su gabinete y el que pierde es el pueblo peruano que ahora más que nunca necesita soluciones https://t.co/Kb1S3C2zSe",
2021-08-02 04:33:55,"Si Laura Bozzo aún tuviese un programa en la televisión peruana habrían casos como este

""Soy caviar pero tengo un crush intenso con Adriana Tudela""",
2021-08-02 04:02:39,"@NormaYarrow4 Arriesgarán su primer sueldo?
Podrá más la libertad y la democracia que el dinero?
Adriana Tudela yá fué contundente y dijo sin titubeos ""Vacancia"".",
2021-08-02 03:49:45,Adriana Tudela es tan patética 🤮🤮🤮,
2021-08-02 03:41:42,"@chifaentiffanys Por qué Adriana Tudela no dijo nada en campaña sobre el filoterrorista Paredes Terry?? Muda, y ahora quiere vacancia? No les da una :v",
2021-08-02 03:31:27,Congresista Adriana Tudela Gutiérrez conversando sobre el gabinete Guido Bellido y la coyuntura política https://t.co/wCnzLuDkNM a través de @YouTube,
2021-08-02 03:19:49,@congresoperu ADRIANA TUDELA VIEJA Xd,
2021-08-02 03:04:54,"@Caretas Pésima idea la de Adriana Tudela. La idea de vacancia sólo agudizará más la situación, aquí hay que sumar no restar ni mucho menos patear el tablero.",
2021-08-02 03:00:00,La legisladora espera contar con el apoyo de Somos Perú y el Partido Morado para lograr vacar al jefe de Estado. https://t.co/R1cOYNsuRP,
2021-08-02 02:58:49,Adriana Tudela asegura que vacancia a Pedro Castillo es una posibilidad https://t.co/AKNGLLoOXK a través de @larepublica,
2021-08-02 02:44:32,"@congresoperu Congresistas del Peru, la congresista Adriana Tudela, quiere transparencia, comiensen la transparencia en el Congreso mismo que hay cerca de 4000 empleados no necesarios y que ganan altos sueldos, puestos por los politicos corruptos.https://t.co/zhBIC318lX",
2021-08-02 02:38:31,"@DiarioElPeruano @congresoperu Puede que ahora que tiene poder se haya ""suavizado"". En el desfile con Castillo se le vio muy locuaz con él. Si solo tuviera el rango de congresista, quizá estaría pidiendo lo mismo que Adriana Tudela.",
2021-08-02 02:24:07,"Adriana Tudela: “La vacancia sí es una posibilidad, lo ocurrido con el gabinete califica de incapacidad moral” https://t.co/G9ffAPf9KA a través de @peru21noticias",
2021-08-02 02:06:37,"@rmapalacios Que se cree Adriana Tudela, para hablar de vacancia, a pocos dias de la juramentacion del Presidente Castillo, como si el pais  esta ahora para eso, seria un gasto terrible , basta con lo que hizo esa Keiko., tenias que ser otra pituca.",
2021-08-02 02:04:02,‼️DESTITUCIÓN DE PEDRO CASTILLO POR INCAPACIDAD MORAL ANALIZAN LAS FUERZAS DEMOCRÁTICAS DEL ⁦@congresoperu⁩ ‼️ https://t.co/JjgQDE46sC,
2021-08-02 01:50:31,"@EusebiaTeo @PeruanoComunica Eso dile a @ocram, fue el primero es deslizar esa propuesta. Y los congresistas se han reunido y lo único que dijo Adriana Tudela es que era una posibilidad porque REPITO, han colocado gente terrorista en el gabinete, o sea psicópatas. ¿Contratarías a un violador para un nido?.",
2021-08-02 01:12:59,@YeseniaPonceV Adriana Tudela que Antidemocratico lo que pienzan hacer en el Congreso. Ustedes deben trabajar en unión con @PedroCastilloTe  x un solo Fin. Beneficiar al País  no sean enemigos. Den el voto de Confianza y a la primera que traicionan Hagan sus Cambios. No es dale lo que kieren.,
2021-08-02 01:07:13,"Mientras tanto en el Congreso tratan de tejer ambas alternativas y evaluarlas: la cuestión de confianza al gabinete #Bellido y la vacancia por incapacidad moral. Lo mencionó también Adriana Tudela, como una posibilidad.
#Castillo https://t.co/IAh3mNU3u4",
2021-08-02 00:58:21,"Adriana Tudela es golpista y clasista. La decencia y la moral no se compran, como los títulos, con dinero de la dictadura fujimorista, tienes que estar lejos de ella y marcar límites éticos para no incurrir en sus prácticas. Francisco y A. Tudela abalan dictaduras de derecha. https://t.co/6MOFIprVL9",
