created_at,text,sad
2021-08-02 05:02:21,"Que alegre ver cómo los atletas de mi wate la están rompiendo, ojalá y ahora que muchos se suben a sus barcos los apoyen más y las futuras generaciones sigan sus pasos.",
2021-08-02 05:02:14,@i91LWTMC Nosotros venimos de los barcos,
2021-08-02 05:01:51,Mañana semis y final para ambos barcos. A Portela se la ve fina por lo que es factible pensar en la lucha por las medallas. Una medalla que supondría el colofón a su carrera. El C2-1000 según la semi que tienen deberían estar comodamente en la final.,
2021-08-02 04:58:58,En #Venecia entra en vigor el decreto aprobado por la Cámara de Diputados de #Italia que prohíbe la circulación de barcos con más de 25.000 toneladas que superen los 35 metros de altura y cuyas emisiones de azufre alcancen el 0.1% frente a la fachada de la basílica de San Marcos. https://t.co/bDPaZLyCnQ,
2021-08-02 04:57:15,"RT @limonysal21: Hernando de Soto, si tan solo hubieras pasado a la segunda vueltanada de este caos estaría pasando.
Nos merecemos los gob…",
2021-08-02 04:55:26,"@Dra_Sazsx @agusantonetti Buen punto Doctora, no vayan a venir como carga de regreso en los barcos que envío Lopez 🤣",
2021-08-02 04:53:47,RT @blasitobtw: @Shelfx3 @dylansiturro @Vazan___ @lambooo__ @Springsitooh venís de los indios nosotros de barcos europeos muteate indio,
2021-08-02 04:53:23,RT @blasitobtw: @Shelfx3 @dylansiturro @Vazan___ @lambooo__ @Springsitooh venís de los indios nosotros de barcos europeos muteate indio,
2021-08-02 04:52:36,@Shelfx3 @dylansiturro @Vazan___ @lambooo__ @Springsitooh venís de los indios nosotros de barcos europeos muteate indio,
2021-08-02 04:52:06,"RT @limonysal21: “La economía se mueve por monopolios , la economía debe dejar de ser especulativa”
Quiere cambiar las conductas y las expe…",
2021-08-02 04:51:52,"RT @limonysal21: Hernando de Soto, si tan solo hubieras pasado a la segunda vueltanada de este caos estaría pasando.
Nos merecemos los gob…",
2021-08-02 04:51:15,"RT @ViggianoMila: @ATatoles Turbio fondeadero donde van a recalar
Barcos que en el muelle para siempre han de quedar
Sombras que se alargan…",
2021-08-02 04:49:56,"@BiliGoD Wow a pasado tanto tiempo... bueno a seguir asiendo videos y jugar el juego de las minas en barcos que la verdad me alegro está noticia muchas gracias por estar aquí inclusive con la pandemia,un poco de controversia y el tema del hackeo que es lo que más me asustó felicidades.",
2021-08-02 04:48:39,"RT @felipevg_22: No tengo nada contra Cuba, pero si tengo mucho en favor de México y me indigna ver cómo mi gobierno envía barcos cargados…",
2021-08-02 04:47:14,los barcos nos tienen un odio literalmente q nos suelten,
2021-08-02 04:46:46,"RT @limonysal21: Hernando de Soto, si tan solo hubieras pasado a la segunda vueltanada de este caos estaría pasando.
Nos merecemos los gob…",
2021-08-02 04:45:38,"RT @LaVanguardia: La Italia de Mussolini se encargó de recuperar, con gran fanfarria, dos enormes naves romanas del fondo del lago de Nemi.…",
2021-08-02 04:45:11,De noche son barcos de guerra y a la mañana barcos de papel,
2021-08-02 04:44:19,"RT @SalcidoJesus: @AlbertoAlatorr1 @lopezobrador_ Pero que tal a la dictadura cubana? Aviones y barcos llenos de gasolina,  comida, medicin…",
2021-08-02 04:43:43,"RT @LaVanguardia: La Italia de Mussolini se encargó de recuperar, con gran fanfarria, dos enormes naves romanas del fondo del lago de Nemi.…",
2021-08-02 04:42:51,"RT @carloslara710:  Hernán Barcos: ""Somos Alianza y tenemos que proponer un poco más"".",
2021-08-02 04:42:43,RT @estarc62: Triste que siendo México un país con pobreza extrema el gobierno destine 3 barcos para apoyar a una dictadura comunista.,
2021-08-02 04:41:20,"La Italia de Mussolini se encargó de recuperar, con gran fanfarria, dos enormes naves romanas del fondo del lago de Nemi. La Segunda Guerra Mundial las volatilizó https://t.co/eetPs9u2bm",
2021-08-02 04:41:17,"@latinus_us No importa que llevan esos barcos, CUIDEN LO QUE TRAEN DE REGRESO… ojo.",
2021-08-02 04:40:02,RT @publico_es: Ambas ONG rescataron este viernes a 99 personas y este sábado a otras 175 que iban a la deriva. https://t.co/oOaCasF5xY,
2021-08-02 04:39:24,"RT @limonysal21: Hernando de Soto, si tan solo hubieras pasado a la segunda vueltanada de este caos estaría pasando.
Nos merecemos los gob…",
2021-08-02 04:36:57,RT @Wilmarmarche: @agusantonetti Antenas de internet en barcos cerca de la costa,
2021-08-02 04:36:41,"@SobrinoV_Edu Últimamente arriba sólo dependemos de lo que pueda generar Barcos y los rivales ya lo tienen referenciado, debemos arriesgar más , profundizar , con pases lateralizados y centros de 3/4 no conseguminos nada. A parte de Arley los cambios no hacen ninguna diferencia.",
2021-08-02 04:35:49,RT @BauzaCuba: @Giselle15080805 @DiazCanelB @AliRubioGlez @LizLetras @ESanchezcub @AleLRoss198 @NoelvisCandeaux @ElbaBallate @AnaibisVina @…,
2021-08-02 04:35:03,"@JosAntYC @locomadmax @ErrorArbitralTR Si y todo bien, pero Barcos no es hincha de alianza, bernardo cuesta es hincha de melgar sus hijas son arequipeñas el ama la ciudad. Igual que chaca Arias el jugo toda la vida por melgar y capaz se retira en el equipo.",
2021-08-02 04:34:18,"@ATatoles Turbio fondeadero donde van a recalar
Barcos que en el muelle para siempre han de quedar
Sombras que se alargan en la noche del dolor
Náufragos del mundo que han perdido el corazón
Puentes y cordajes
Donde el viento viene a aullar
Barcos carboneros
Que jamás han de zarpar...",
2021-08-02 04:33:55,"RT @EricBla90829613: “NOS GOBIERNA  UNA MENTE RETORCIDA, una que puso la salud de los mex en el último lugar de la agenda. Lo imaginamos de…",
2021-08-02 04:31:56,"Cuando niño yo pensaba que mi vida pasaría montado en un carrusel, que cada día vendría solo lleno de alegrías viajando en barcos de papel, hoy la vida me ha enseñado aceptar lo que logrado sin preguntar el por que",
2021-08-02 04:30:59,"RT @limonysal21: Hernando de Soto, si tan solo hubieras pasado a la segunda vueltanada de este caos estaría pasando.
Nos merecemos los gob…",
2021-08-02 04:29:38,"@BosteroGoku @maxiexe10_ @InvictosSomos Jajajaja Muy mal, por qué nos piden vacunas jajaja en lugar de pedir ayuda a México váyanse en barcos a Europa a pedirles vacunas a ellos :(",
2021-08-02 04:29:27,"@chadolaiser @SergioMayerb Así es, tienen comercio con muchos países y no hay barcos prohibiendo el paso, hay embargo, es diferente.",
2021-08-02 04:29:22,"RT @limonysal21: “La economía se mueve por monopolios , la economía debe dejar de ser especulativa”
Quiere cambiar las conductas y las expe…",
2021-08-02 04:27:11,"RT @EricBla90829613: “NOS GOBIERNA  UNA MENTE RETORCIDA, una que puso la salud de los mex en el último lugar de la agenda. Lo imaginamos de…",
2021-08-02 04:25:56,"⚽️ALIANZA juega a NADA, Carlos BUSTOS ha permitido la llegada de LACERDA, FARFÁN, BENÍTEZ, AGUIRRE, por falta de personalidad.

Su mejor Alineación es:

1)CAMPOS;2)MORA, 3)PORTALES, 5)MIGUEZ y 4)ROJAS; 6)VALENZUELA, 7)MOYANO; 8)CONCHA, 10)BARCOS, 11)LAGOS; 9)RODRÍGUEZ 

Y listo",
2021-08-02 04:25:36,"@pormatute ⚽️ALIANZA juega a NADA, Carlos BUSTOS ha permitido la llegada de LACERDA, FARFÁN, BENÍTEZ, AGUIRRE, por falta de personalidad.

Su mejor Alineación es:

1)CAMPOS;2)MORA, 3)PORTALES, 5)MIGUEZ y 4)ROJAS; 6)VALENZUELA, 7)MOYANO; 8)CONCHA, 10)BARCOS, 11)LAGOS; 9)RODRÍGUEZ 

Y listo",
2021-08-02 04:17:47,@hdemauleon Está editado. Se ve claramente. Tiene razón en decir que el fentanilo viene del extranjero pero no lo dice porque le estén quitando mercado lo dice porque está tomando medidas para proteger la entrada de barcos con la marina. Yo si escucho el original,
2021-08-02 04:16:19,"RT @limonysal21: “La economía se mueve por monopolios , la economía debe dejar de ser especulativa”
Quiere cambiar las conductas y las expe…",
2021-08-02 04:16:06,"RT @mujerconciencia: Maria Mitchell, la profesora de astronomía que con 14 años guiaba a los barcos balleneros
Recordamos este artículo de…",
2021-08-02 04:10:04,"RT @limonysal21: Hernando de Soto, si tan solo hubieras pasado a la segunda vueltanada de este caos estaría pasando.
Nos merecemos los gob…",
2021-08-02 04:09:38,"RT @limonysal21: Hernando de Soto, si tan solo hubieras pasado a la segunda vueltanada de este caos estaría pasando.
Nos merecemos los gob…",
2021-08-02 04:09:14,"Asi como se rescata la buena lectura dl Pato. Me deja preocupado la participación d Barcos,sobradazo llegaba si estiraba la pierna,hasta podia sombrear la pelota.

La d Aldair,desde ayer estaba cantadazo el pase largo d Concha. Q espero Aldair, al pie? Si él es rápido, o ya no?",
2021-08-02 04:09:13,"Vuelvo a ver las jugadas de Barcos y Aldair e insisto, q bien leido por el Pato Alvarez. Estuvo recontra salido,como líbero para interceptar. Eso en el futbol peruano es tener mano a mano cn los arqueros.

- Barco si estira su pierna la llegaba a sombrear.
- Aldair q lento corrió https://t.co/a4ra3W78KS",
2021-08-02 04:07:52,"@luzhin1901 Hay intocables para Bustos, eso es claro, Miguez, Ballón y por su puesto Barcos.",
