created_at,text,sad
2021-08-02 03:10:54,RT @LagarrapataS22: 'Si ni Obrador votó...'.Estiman participación muy baja únicamente el  7.07% y 7.74% del total del padrón que es de 93 m…,
2021-08-02 03:10:21,@diemaldo4468 @benitez_leo Van 4 fechas y son 25... tampoco hay que ser tan boludo,
2021-08-02 03:10:07,"@franjeado Jun Benítez: que me decís que ves Ever?
Ever Aquíno: nderakore casi me mato un Enderman... Te escucho Juan, no pasó nada sigue sigue... https://t.co/kaREuLeWR5",
2021-08-02 03:09:37,@CerroPostin Mira que ustedes celebraron al roto de Rolón y al muerto de Benítez que el único logro en su vida fue hacernos la señal de fríos jajajajajajajajja,
2021-08-02 03:08:58,@Santi_04a @benitez_leo Si puede ser pero las termino todas mal.,
2021-08-02 03:08:40,"RT @POLITICOHN504: Milton Benitez y Santos Orellana son buenos candidatos, sin embargo, solo Xiomara Castro tiene posibilidades de alcanzar…",
2021-08-02 03:08:22,"@Santi_04a @benitez_leo Todo depende de lo q pase el miércoles si ganas de pueden traer 2 delanteros, sino con Briasco, Zeballos y un 9 ( colo Ramirez) está bien",
2021-08-02 03:07:56,@benitez_leo Europa o nada según leí,
2021-08-02 03:07:42,"RT @Presidencia_VE: “Los adultos mayores estamos ante un paredón de muerte”, aseguró diputado Benítez sobre crisis económica https://t.co/o…",
2021-08-02 03:07:41,@benitez_leo Pero no se iba en diciembre?,
2021-08-02 03:07:18,RT @IndirectasRock: Me encanta la vida cuando estoy con mis amigas.,
2021-08-02 03:07:16,Hooray to Ms. Camacho-Quinn- GOLD 🥇for  Puerto Rico! https://t.co/VBrNy9ZxcY,
2021-08-02 03:06:42,"RT @Presidencia_VE: “Los adultos mayores estamos ante un paredón de muerte”, aseguró diputado Benítez sobre crisis económica https://t.co/o…",
2021-08-02 03:06:04,"@lucho03333 @benitez_leo No es lo mismo ni por cerca.
Villa solo es velocidad y con el tiempo se volvió predecible para los defensores.
Para mi valoyes en el 1vs1 tiene más recursos que Villa.",
2021-08-02 03:05:43,RT @LagarrapataS22: 'Si ni Obrador votó...'.Estiman participación muy baja únicamente el  7.07% y 7.74% del total del padrón que es de 93 m…,
2021-08-02 03:04:45,@benitez_leo 8 millones pedían creo ,
2021-08-02 03:04:42,"RT @Reydereyes1902_: Ustedes saben que este arbitro que estuvo hoy, Juan Gabriel Benitez, es hijo del contador de Toti Acosta, presidente d…",
2021-08-02 03:04:39,RT @Kamiloo_V: Primer día de acampar y último también. https://t.co/1OSZ4yLWtu,
2021-08-02 03:04:30,"RT @CABrown_Oficial: #Juveniles #AFA

➡️ 6ta División
Almagro 0 Brown 2
Goles: Crespo y Grecco

 1 Escudero 2 Frignani 3 Cerrato 4 Zabala…",
2021-08-02 03:04:28,"On page 470 of 816 of El diario de Eliseo. Caballo de Troya, by J.J. Benítez https://t.co/218CXQqx0A",
2021-08-02 03:04:14,Si hay doble 9 me lástimo https://t.co/u2GKLAthaU,
2021-08-02 03:04:07,"@benitez_leo Valoyes es crack, lo lindo es que no depende solo de su velocidad en el 1vs1. Se sabe Masó cuanto pediría talleres??",
2021-08-02 03:03:13,"@benitez_leo Con este técnico vamos a vivir dependiendo de las individualidades. Espero que lleguen los que queremos, el 9 y otro más. Pero no quiero que maquille el horrible funcionamiento que tiene el Boca de Russo. Jamás que Boca pierda, pero nadie del consejo se da cuenta de que Russo ❌",
2021-08-02 03:03:12,q lindo ser del país de Nacional ⚪,
2021-08-02 03:03:04,"@benitez_leo Valoyes es lo mismo que villa , campaz me gusta mas sino uno de ese estilo",
2021-08-02 03:02:54,@benitez_leo En los pocos minutos que jugó Vázquez no le llegó una pelota. Boca no juega para un centrodelantero. Para mi viene Cavani y es lo mismo.,
2021-08-02 03:02:44,@gloriaa_benitez Por que?,
2021-08-02 03:02:22,@benitez_leo Arriba hay pero no tienen jerarquia si mucho potencial.,
2021-08-02 03:02:21,RT @LagarrapataS22: 'Si ni Obrador votó...'.Estiman participación muy baja únicamente el  7.07% y 7.74% del total del padrón que es de 93 m…,
2021-08-02 03:02:11,RT @cyberpunga_: me desperté como a la una de la tarde y lo primero que hice fue prender la computadora https://t.co/iqVeoHtkAt,
2021-08-02 03:01:50,@Esteban33579051 @benitez_leo Zeballos es crack pero le falta carácter si no habla con el entrenador para tener minutos por izquierda.,
2021-08-02 03:01:47,@PedroZelonka @benitez_leo Villa y Pavon,
2021-08-02 03:01:41,"'Si ni Obrador votó...'.Estiman participación muy baja únicamente el  7.07% y 7.74% del total del padrón que es de 93 millones 528 mil 473 ciudadanos. Dijo escrutadora “ni el que empezó todo esto vino a votar"", en el kinder Yolanda Benítez, en la Col. Doctores. ""Anda en Nayarit"". https://t.co/TRzfjE857Q",
2021-08-02 03:01:32,@benitez_leo Y... Campaz que viene 🤡,
2021-08-02 03:00:01,"Ustedes saben que este arbitro que estuvo hoy, Juan Gabriel Benitez, es hijo del contador de Toti Acosta, presidente de Guarani?
Información 100% REAL Y CONFIRMADA.",
2021-08-02 02:59:36,"@benitez_leo Leo vos sabes que por mas que traigamos a Neymar.
Con este Dt va a dar asco, nunca dio una indicación como la gente Miguel.",
2021-08-02 02:59:26,RT @juru_guasu: No creen en las vacunas pero si creen en el CARRULIM ,
2021-08-02 02:59:22,@benitez_leo Ojalá Leo.,
2021-08-02 02:58:10,RT @leholdou: Che llámenme antisocial del orto pero mis momentos más felices es estar desayunando totalmente SOLO sin que nadie me joda,
2021-08-02 02:58:02,"RT @Presidencia_VE: “Los adultos mayores estamos ante un paredón de muerte”, aseguró diputado Benítez sobre crisis económica https://t.co/o…",
2021-08-02 02:57:12,"RT @GioLpz: La peor sensación de este mundo es cuando sentís que alguien que pensaste que iba a estar toda la vida contigo, se aleje y no d…",
2021-08-02 02:57:03,@Futbool_Fotos El chiguiro Benítez,
2021-08-02 02:57:02,"RT @Libertadores:  ¡La eficacia de todos los campeones de la historia de la CONMEBOL #Libertadores!

 @EdelpOficial, el único que logró…",
2021-08-02 02:56:59,RT @Matti_jrojas: Mi yo ka'ure está castigado y suspendido hasta nuevo aviso.,
2021-08-02 02:56:40,Dije que no iba a llorar este domingo tan bueno pero acá mar de lágrimas ya,
2021-08-02 02:55:47,"@benitez_leo Si no es pelotudo afuera de la cancha si, sino que se quede dónde está",
2021-08-02 02:55:44,@benitez_leo Hay que comprar uno o poner el nueve de la reserva y no sacarlo más,
2021-08-02 02:54:59,"@benitez_leo Ya,no,pasa por refuerzos, el problema es el dt",
2021-08-02 02:54:45,"RT @pelota_tata: Épico  lo de la atleta holandesa que cayó en plena carrera y…. 

Daleeeee plaaaay https://t.co/RFpjNUsdte",
2021-08-02 02:54:34,"RT @Presidencia_VE: “Los adultos mayores estamos ante un paredón de muerte”, aseguró diputado Benítez sobre crisis económica https://t.co/o…",
2021-08-02 02:54:31,"RT @Presidencia_VE: “Los adultos mayores estamos ante un paredón de muerte”, aseguró diputado Benítez sobre crisis económica https://t.co/o…",
2021-08-02 02:54:12,"@benitez_leo Briasco , romero, y valoyes ufff",
2021-08-02 02:53:45,"¡Estas son las razones por las que James saldrá del Everton! 

https://t.co/sVmwPrscgt",
2021-08-02 02:53:31,"@benitez_leo Hola Leo, es verdad que ya está el arreglo con Ramírez? que depende de la venta de Pavón para concretarse.",
2021-08-02 02:53:29,"@CERRISMOCCP @1982drd @TigoSportsPY @Ivanalmeida01 @carlxsaquiles23 Si no puede Aquiles, Alan Benitez.",
2021-08-02 02:53:29,@benitez_leo hay info sobre Valoyes? en su momento se habló por el?,
2021-08-02 02:53:16,@benitez_leo Va para Europa ese,
2021-08-02 02:52:59,@benitez_leo Leí que campaz tiene una oferta de España y Portugal,
2021-08-02 02:52:54,"@benitez_leo @felidiezz84 A destiempo como siempre, seguro la CD no se dio cuenta q nos jugamos algo importante el miercoles...",
2021-08-02 02:52:25,"Después de tres años de pedirle una campera a Octavio me la dió.
Cómo todo Benítez el hdp me la canjeó por una burguer JAJAJAJAJAJ ni uno normal",
2021-08-02 02:52:12,Este Juan Gabriel Benitez tiene  q ir al freezer. Pero como opera contra el Olimpia no pasa nada con este payaso,
