created_at,text,sad
2021-08-02 04:32:04,@VaneAlmenara @FantasyDT_pe Yo ganaba si binacional no metia gol csm ,
2021-08-02 04:14:47,"RT @CanDigital2: Ministerio de Salud de Nicaragua y de la Secretaria de Salud de Honduras, firmaron este Martes un acuerdo binacional para…",
2021-08-02 04:01:58,"RT @Teradeportes: GOO⚽️⚽️⚽️LLL ECUATORIANO 

Marlon de Jesús anota la del honor para Binacional que cayó 1-5 ante Melgar.

El ecuatorian…",
2021-08-02 03:58:18,"RT @Teradeportes: GOO⚽️⚽️⚽️LLL ECUATORIANO 

Marlon de Jesús anota la del honor para Binacional que cayó 1-5 ante Melgar.

El ecuatorian…",
2021-08-02 03:57:57,"RT @cosaseriaperu: ¡ @MelgarOficial inicia con buen pie el mes de #Arequipa, arrasando con #Binacional! ⚽️

El 'Rojinegro' es líder de la…",
2021-08-02 03:46:40,"RT @lospalossonasi: Y lo pasó por encima: Melgar no tuvo problemas y derrotó por 5 a 1 a Binacional. Bordahacar, Cuesta (3) y Pereyra le di…",
2021-08-02 03:43:30,"Fútbol Peruano: Resumen del Día

- #CuscoFC perdió 3-2 ante #AlianzaUniversidad. Los cuzqueños se complican en el acumulado 

- #Melgar demostró ser candidato tras golear por 5-1 a #Binacional 

- #AlianzaLima empató 0-0 contra #SportBoys en un partido con pocas ocasiones 🤝",
2021-08-02 03:34:51,"RT @EncuestasFutPer: Binacional acaba de perder 5 a 1 contra Melgar y es recontra candidato a descender.
Pero recordemos que el año en que…",
2021-08-02 03:23:26,"RT @BogadoMayor: No sabe, no contesta y el esta dentro de ITAIPU.
Hay caraduras que tenemos que sacarlo de inmediato..
Empezar a poner gent…",
2021-08-02 03:15:31,"@5masque3 Que cambio entre el fútbol ""amateur"" y ""profesional"" que afectara la fisionomía del deporte? El blanqueo de pagos en qué afecto al deporte en si? No existe el término binacional.
Lo de la Libertadores ya fue respondido en el tweet anterior.
Y las Rioplatense eran Internacionales.",
2021-08-02 03:15:28,"⚽️ #GolesExVerdes 1 de Cristian Bordacahar  en #Melgar (5-1 a #Binacional) por la #Liga1 
1 de Leandro Fernández en #Nacional (2-0 a #DeportivoMaldonado) por la #PrimeraDivisión  https://t.co/GiP11vKfJB",
2021-08-02 03:13:24,"@5masque3 Y en tu primera Libertadores solamente precisaste vencer a 3 equipos para salir campeón.
En la Copa Aldao contra 1 equipo (el campeón argentino, en una época que el fútbol Rioplatense era el mejor fútbol del mundo)
No existe el término ""binacional"" una copa es Internacional o no.",
2021-08-02 03:09:40,"RT @SigifredoFrank: @Victor_HuertaV @IvonneSioux @jorgevillenal Miguel Grau Seminario. Fue diputado por Paita , Piura. Héroe binacional , P…",
2021-08-02 03:09:07,RT @franztamayo29: ¿Qué artimaña realizará Lozano para salvar a Binacional?,
2021-08-02 03:08:18,"RT @elgraficoweb: ⚽ #GolesArgentinos  por el mundo 

 Melgar de Arequipa venció a Deportivo Binacional por 5-1, con tantos marcados ex…",
2021-08-02 02:56:00,"⚽ #GolesArgentinos  por el mundo 

 Melgar de Arequipa venció a Deportivo Binacional por 5-1, con tantos marcados exclusivamente por futbolistas argentinos

⚽️ Bernardo Cuesta (3), Cristian Bordacahar y Fabio Pereyra anotaron los tantos.

 @MelgarOficial https://t.co/PF15v3utXy",
2021-08-02 02:46:39,"Peruano:
1 Universitário⚽
3 Carlos Manucci⚽⚽⚽

1 Binacional⚽
5 Melgar⚽⚽⚽⚽⚽

0 Sport Boys
0 Alianza Lima https://t.co/Y5u3EOMLEz",
2021-08-02 02:36:02,"@JoseMSantana10 @ambienterd Ya en Haití la cobertura boscosa está casi toda comprometida, los bosques primarios amenazados, sin enfoque binacional sobre ese tema, es sólo una bomba de tiempo... por eso urge implementar cambios drásticos, REALES.",
2021-08-02 02:28:59,"RT @alecrivisqui: Hoy Caña con Ruda como manda nuestra tradición en esta region de nuestro Pais Binacional, tan grande y diverso, multiétni…",
2021-08-02 02:23:25,"RT @oxfam_es: Forma parte de nuestro equipo.

🧐Buscamos persona para Coordinación binacional de alianzas y movilización de recursos (Perú…",
2021-08-02 02:16:37,@FantasyDT_pe @pob888 Binacional de mrddd por que haces gol?,
2021-08-02 02:10:38,"RT @ObrasPublicasEc: #MTOPInforma Se reiniciaron los trabajos en el Centro Binacional de Atención de Frontera Macará-La Tina, tras la acred…",
2021-08-02 02:04:25,"RT @alecrivisqui: Hoy Caña con Ruda como manda nuestra tradición en esta region de nuestro Pais Binacional, tan grande y diverso, multiétni…",
2021-08-02 02:04:13,@William_ZR7 @AngelGarcia7200 @Ricky_Figueroa Ablo de binacional y cusco. Acaso no tengo razón que la altura es su aliado?,
2021-08-02 02:02:21,"RT @Ricky_Figueroa: FÚTBOL PERUANO. Tabla Acumulada.
-El título de Cristal en la Bicentenario le de un cupo más de Sudamericana a esta tabl…",
2021-08-02 01:57:57,"RT @MarceloHCabrera: El Centro Binacional de Atención Fronteriza Cebaf afianzará las relaciones entre #Ecuador y #Perú, por eso el #Gobiern…",
2021-08-02 01:53:03,"RT @TelenocheUy: El intendente de Rivera, Richard Sander, celebró el acuerdo como un buen paso hacia ""transformar Rivera y Livramento en un…",
2021-08-02 01:52:01,RT @ErrorArbitralTR: Saluden a Binacional que se nos va (?).,
2021-08-02 01:45:00,"Este domingo a las 13:15 horas tuve mi debut en la narración en el cotejo entre Binacional vs FBC Melgar (1-5), vía Parada Gol Oficial; por la tercera jornada de la fase 2 de la #Liga1Betsson, feliz por ello; sin embargo, aun falta mucho por mejorar. A seguir adelante. ️",
2021-08-02 01:44:26,"RT @Ricky_Figueroa: FÚTBOL PERUANO. Tabla Acumulada.
-El título de Cristal en la Bicentenario le de un cupo más de Sudamericana a esta tabl…",
2021-08-02 01:34:40,"GOO⚽️⚽️⚽️LLL ECUATORIANO 

Marlon de Jesús anota la del honor para Binacional que cayó 1-5 ante Melgar.

El ecuatoriano también marcó la fecha pasada. 

 https://t.co/vS7ZFIG7Lk",
2021-08-02 01:22:02,@dbmansilla Se respeta . Para mi este es Binacional y el de Merino era Boca. ,
2021-08-02 01:18:42,Así actúan las dictaduras. Así es el comunismo bielorruso. Así son. La coerción binacional de Maduro con Trinidad y Tobago contra Sella fue algo pequeño. Lo de Lukashenko es terrorífico. https://t.co/N2Lh8i23Zu,
2021-08-02 01:14:40,"@AngelGarcia7200 @Ricky_Figueroa hermano, esta claro que en la altura de cuzco o Binacional en Juliaca, sacan ventaja en el aspecto fisico. los ayudaria un monton jugar en sus estadios y para mi, estarian en la media tabbla. no peleando la baja.",
2021-08-02 01:07:58,@Ggranda7 @ClubALoficial Alz y binacional están por las huevas en primera división,
2021-08-02 01:06:19,"| Liga 1  | ¡Show de goles! ⚽️

Con hat-trick de Cuesta y tantos de Bordacahar y Pereyra, #Melgar goleó por 5-1 a #Binacional. 

#DFSHADIRECTVPerú  https://t.co/XOPVGjLhrP",
2021-08-02 01:02:50,Cómo binacional siempre apoyo a México  y nunca desestimo a EUA,
2021-08-02 01:00:28,Marlon de Jesús vuelve a anotar con Binancional https://t.co/nYC3fEGEsP @elyex https://t.co/sm3mnKCy4n,
2021-08-02 00:58:07,"El Dominó en la cuesta⚽️
Con un “Hat-Trick” de Bernardo Cuesta, el FBC Melgar le dio una catana al Deportivo Binacional. Goleada fue de 5-1 @MelgarOficial @BinacionalFC @LigaFutProf 
️Leer https://t.co/eAV35nIdXE
Fotos FPF/Liga  https://t.co/WMpGWNXE1e",
2021-08-02 00:46:41,"¡MARLON DE JESÚS DESCONTÓ!

El delantero  Marlon De Jesús descontó ⚽️ en la goleada en contra de local 🥴 de los Pumas.

Jornada 2 | Fase 2 #Liga1Betsson 

#Binacional 1 - 5 #Melgar 

Marlon
⚽️10 PJ
🥅3 G
3 A 

#EcuatorianosEnElExterior ⚽️
 https://t.co/R05Ta0Vdzo",
2021-08-02 00:39:33,"@GOLPERUoficial @BrunoGinocchio @julianf10 No sean mezquinos de lejos el mejor partido fue la goleada del Melgar al Binacional, que les duele, espero tenga el valor de leer mi nota.",
2021-08-02 00:29:23,Melgar goleó 5-1 a Binacional con triplete de Bernardo Cuesta https://t.co/KEbnYIVmk3 a través de @futbolperuanocomTW,
2021-08-02 00:24:36,"@Victor_HuertaV @IvonneSioux @jorgevillenal Miguel Grau Seminario. Fue diputado por Paita , Piura. Héroe binacional , Perú y Bolivia. Ganó elecciones limpiamente , sin trampas. https://t.co/ykuIbZaWpw",
2021-08-02 00:21:18,"RT @GaboCosta08: Pensé que con el Binacional 1 - 5 Melgar se había terminado la fecha, pero recién me entero que juega el Boys.",
2021-08-02 00:18:37,"RT @EscaurizaGerman: CANCILLER EUCLIDES ACEVEDO CON PROPUESTA  ANTIPARAGUAYA; 

EL PLAN  ES, SOMETER Al ESTADO PARAGUAYO (Propietario del 5…",
2021-08-02 00:13:11," Imágenes de la importante victoria del Dominó sobre Binacional FC.

#LaRojinegraONada ⚫ https://t.co/UuSip01vER",
2021-08-02 00:10:04,RT @PELADOVARAS: Otro gol hoy de @Rb7ramiro para @Soldemayoficial en la goleada ante circulo. También gol de Paio Pereira para la goleada d…,
2021-08-02 00:04:41,RT @sondatos_noop: @SergioMoreno11 volvió y será su primer partido a ras de cancha de esta fase 2 de @LigaFutProf 2021 (Binacional y FBC Me…,
2021-08-01 23:55:53,"RT @MAELoja: Nos reunimos con Fernando Íñiguez, Director Ejecutivo de @PlanBinacional - Capítulo Ecuador, para coordinar acciones sobre la…",
2021-08-01 23:54:01,@FantasyDT_pe Me cagó el gol de binacional ,
2021-08-01 23:51:17,"RT @GreguarGrego: @AM750 @pasajeraok @florcarignanook Nunca, NUNCA habla de la reunificación familiar para argentinos con familiares extran…",
2021-08-01 23:50:26,Melgar aplasta 5-1 a Binacional y lidera torneo Clausura de fútbol peruano https://t.co/khbz3bJvkg,
2021-08-01 23:43:20,RT @franztamayo29: ¿Qué artimaña realizará Lozano para salvar a Binacional?,
2021-08-01 23:43:03,RT @franztamayo29: ¿Qué artimaña realizará Lozano para salvar a Binacional?,
2021-08-01 23:40:19,"RT @Ricky_Figueroa: FÚTBOL PERUANO. Tabla Acumulada.
-El título de Cristal en la Bicentenario le de un cupo más de Sudamericana a esta tabl…",
2021-08-01 23:28:44,"RT @MarceloHCabrera: El Centro Binacional de Atención Fronteriza Cebaf afianzará las relaciones entre #Ecuador y #Perú, por eso el #Gobiern…",
2021-08-01 23:19:41,"RT @Ricky_Figueroa: FÚTBOL PERUANO. Tabla Acumulada.
-El título de Cristal en la Bicentenario le de un cupo más de Sudamericana a esta tabl…",
2021-08-01 23:14:48,"RT @Ricky_Figueroa: FÚTBOL PERUANO. Tabla Acumulada.
-El título de Cristal en la Bicentenario le de un cupo más de Sudamericana a esta tabl…",
2021-08-01 23:14:45,"RT @ConsulMexLar: ¿Te interesa participar en la VI Muestra de Artes Plásticas Binacional ?

¡Todavía puedes presentar tus obras!

Tie…",
2021-08-01 23:14:42,"RT @Ricky_Figueroa: FÚTBOL PERUANO. Tabla Acumulada.
-El título de Cristal en la Bicentenario le de un cupo más de Sudamericana a esta tabl…",
2021-08-01 23:13:27,"FÚTBOL PERUANO. Tabla Acumulada.
-El título de Cristal en la Bicentenario le de un cupo más de Sudamericana a esta tabla
-Mannucci y Melgar se metieron en la lucha
-Vallejo se afianza en el 2do lugar
-La U salió de zona Libertadores
-Ayacucho se cae
-Binacional y Cusco en ⚠️ https://t.co/vIRRdi7ecW",
2021-08-01 23:08:00,RT @FuerzasMilCol: Nuestro @COL_EJERCITO capacitó a la Unidad 82 de Paracaidistas del Ejército Sur de los Estados Unidos en la Instrucción…,
2021-08-01 23:04:13,"Tacna - Juliaca - Puno - Puerto Maldonado - Arequipa - Tacna

Qué tal ruta!!!! 
Viajando por la Binacional, Interoceánica y Panamericana Sur!
Así culmina las vacaciones de medio año, ahora a TRABAJAR!!!!",
2021-08-01 23:01:04,"5:45 A punto de concluir la Consulta Ciudadana.
La cobertura Plataforma Multimedia Binacional https://t.co/eDAbHyyPsF México   https://t.co/dchVlYoxMs",
2021-08-01 22:59:15,"RT @Mundialito11: GOLEADORES HISTÓRICOS
EXTRANJEROS 
PRIMERA DIVISIÓN 
(1966-2021)

1. Sergio Ibarra (274⚽️)
2. Luis Bonnet y
    Lui…",
2021-08-01 22:57:14,"Imágenes del encuentro entre Deportivo Binacional y FBC Melgar por la fecha 3 de la Fase 2 de la Liga 1 Betsson .

️ Miguel Grau 
️ 1 de agosto
⚽ Cristian Bordacahar (3'), Bernardo Cuesta (11', 80', 90' +3), Fabio Pereyra (67') MEL Marlon de Jesús (82') BIN https://t.co/6MlKtIWph3",
2021-08-01 22:56:49,"RT @ConsulMexLar: ¿Te interesa participar en la VI Muestra de Artes Plásticas Binacional ?

¡Todavía puedes presentar tus obras!

Tie…",
2021-08-01 22:56:05,"RT @GreguarGrego: @AM750 @pasajeraok @florcarignanook Nunca, NUNCA habla de la reunificación familiar para argentinos con familiares extran…",
2021-08-01 22:49:45,"@DeportesLR @larepublica_pe Binacional no hacemos nada si Arango es el dueño de la pelota y este le falta creatividad, le pesan los años, volver a segunda los hará recapacitar",
2021-08-01 22:44:15,"@Fernand41272216 @danykanashiro Melgar uso lìnea de 5  y hoy le metiò 5 a Binacional , Vallejo tb usa esa y le ganó a Alianza atlètico ..hoy jugò como media hora con 4 y no cambio nada ...  No tiene q ver nada la linea de 3 o 5 con el juego de Alianza . Ademàs eso ya viene desde la FASE 1 y ahi jugaba con 4",
2021-08-01 22:43:06,"RT @BogadoMayor: No sabe, no contesta y el esta dentro de ITAIPU.
Hay caraduras que tenemos que sacarlo de inmediato..
Empezar a poner gent…",
2021-08-01 22:41:55,"➡️ El resumen del día en la Liga 1 Betsson:

Cusco FC 2️⃣🆚️3️⃣ Alianza Universidad
⚽️ Aubert, Rizzo | Avila, Manicero, Conde

Binacional 1️⃣🆚️5️⃣ Melgar
⚽️ de Jesus | Bodacahar, Cuesta (x3), Pereyra

Sport Boys 0️⃣🆚️0️⃣ Alianza Lima https://t.co/56L6miWH5D",
2021-08-01 22:29:24,"Con triplete de Bernardo Cuesta, Melgar venció 5 a 1 al Deportivo Binacional por la Fecha 3 de la Liga 1 y es líder de la Fase 2. Mencionar que Bordachar(3') y Pereyra(67') decretaron el triunfo. Por el poderoso del sur descontó Marlon de Jesús.

#Liga1 #Melgar #Binacional https://t.co/CwQ3Ms0QaV",
2021-08-01 22:29:19,@Ricky_Figueroa Cusco FC y Binacional serios candidatos a descender este 2021.,
2021-08-01 22:28:34,"Marcadores de hoy por la Fecha 3 de la Fase 2 

Cusco FC 2-3 Alianza Universidad
Deportivo Binacional 1-5 Melgar
Sport Boys 0-0 Alianza Lima
#PerúxEEC",
2021-08-01 22:23:49,"✅ Gol ante César Vallejo.
✅ Gol ante Deportivo Binacional.
✅ Dos goles en dos partidos consecutivos con Melgar.
✅ Suma 5 goles en la temporada con los rojinegros, 2 en la Liga 1, 3 por Copa Sudamericana y una asistencia.

Cristian Bordacahar⚽ https://t.co/jFCK5rImtH",
2021-08-01 22:19:50,@jugada_pre @MelgarOficial @BinacionalFC @LigaFutProf Binacional merece irse al descenso hace rato.,
2021-08-01 22:18:06,"@AM750 @pasajeraok @florcarignanook Nunca, NUNCA habla de la reunificación familiar para argentinos con familiares extranjeros y parejas binacional es. Es como si el tema no existiera. Pero acá estamos esperando a nuestra familia @lint_arg #LoveIsNotTourismArgentina",
2021-08-01 22:17:42,"RT @EscaurizaGerman: CANCILLER EUCLIDES ACEVEDO CON PROPUESTA  ANTIPARAGUAYA; 

EL PLAN  ES, SOMETER Al ESTADO PARAGUAYO (Propietario del 5…",
2021-08-01 22:12:42,"RT @EncuestasFutPer: Binacional acaba de perder 5 a 1 contra Melgar y es recontra candidato a descender.
Pero recordemos que el año en que…",
2021-08-01 22:06:34,"Mi
@AlmiranteSrio, @VP, @SecDef, @POTUS, @lopezobrador_ 
El T-MEC finalmente nos integró en un bloque comercial competitivo y de SEGURIAD. Ahora caminamos y decidimos BINACIONAL.",
2021-08-01 22:05:11,"Bernardo Cuesta ante Deportivo Binacional: 3 goles, 100% de regates completados, un pase clave, 3 de 4 balones en largo fueron a un compañero, 2 de 3 duelos en el suelo ganados y un despeje.

Vaya delantero que tiene Melgar con él. https://t.co/KGytOG5eTZ",
2021-08-01 22:02:54,RT @futbolecuador: #MarlondeJesús saca la cara a pesar de la goleada (VIDEO) El atacante ecuatoriano marcó el descuento en paliza de #Melga…,
2021-08-01 22:01:45,El #Colombiano  Johan Arango jugó 84 minutos y fue amonestado y Camilo Mancilla todo el partido en la derrota de #Binacional 5-1 ante #MelgarFC por la #Liga1 #Perú ,
2021-08-01 21:56:01,Está jugando el ex delantero del binacional ?,
2021-08-01 21:55:45,"Mi
@AlmiranteSrio, @VP, @SecDef, @POTUS, @lopezobrador_ IGNORAMOS LAS TACTICAS QUE SIGUIERON UTILIZANDO EN CADA VISITA DE TRABAJO EN LAS INSTALACIONES AERONAVALES DE TAMPICO, TAMAULIPAS PARA CONTINUAR NUESTRO TRABAJO CONTRA LOS JEFES NARCO. EL EXITO BINACIONAL FUE ROTUNDO.",
2021-08-01 21:46:52,@portillocarlos9 Estoy podrida. Quiero sueldo de binacional o politiquero!,
2021-08-01 21:44:06,RT @evoespueblo: Los movimientos sociales tenemos gran interés en una agenda binacional entre el MAS-IPSP y Perú Libre bajo el liderazgo de…,
2021-08-01 21:43:10,Otro gol hoy de @Rb7ramiro para @Soldemayoficial en la goleada ante circulo. También gol de Paio Pereira para la goleada de Melgar de visitante ante Deportivo Binacional en Perú.,
2021-08-01 21:41:14,RT @psamque: Llegada esta mañana a San Javier de este impresionante @AirbusDefence #A400M de la @ArmyLuxembourg encuadrado en la @15WAirTra…,
2021-08-01 21:36:06,"RT @ConsulMexLar: ¿Te interesa participar en la VI Muestra de Artes Plásticas Binacional ?

¡Todavía puedes presentar tus obras!

Tie…",
2021-08-01 21:25:55,"#SONQOLiga1 | ¡Rugido arequipeño! ⚽

Dep. Binacional 1-5 FBC Melgar

 Fase 2 - Fecha 3
️ Miguel Grau

⚽ 3' Cristian Bordacahar (FBCM)
⚽ 11', 80', 90+4' Bernardo Cuesta (FBCM)
⚽ 67' Fabio Pereyra (FBCM)
⚽ 82' Marlon De Jesús (DB)

: @LigaFutProf https://t.co/vsz16y562b",
2021-08-01 21:24:34,RT @ErrorArbitralTR: Saluden a Binacional que se nos va (?).,
2021-08-01 21:17:16,@aduanas_SV @SATGT @PNCSV Felicitaciones por el excelente trabajo y coordinación Binacional. 🤝,
2021-08-01 21:11:26,"RT @crdelapiedra: Melgar fue una máquina ante Binacional y lo goleó 5-1 en el Callao, con una genial actuación de Bernardo Cuesta que anotó…",
2021-08-01 21:08:03,Marlon de Jesús saca la cara a pesar de la goleada (VIDEO) https://t.co/xulodpAxhB https://t.co/yFD26mmlH4,
2021-08-01 21:07:34,"RT @PTV_Noticias: Con triplete de Bernardo Cuesta, Melgar goleó 5-1 a Binacional https://t.co/5X1WrhUDlZ https://t.co/yIUmy1JZxe",
2021-08-01 21:07:34,"Con triplete de Bernardo Cuesta, Melgar goleó 5-1 a Binacional https://t.co/5X1WrhUDlZ https://t.co/yIUmy1JZxe",
2021-08-01 21:07:12,"RT @danielfrh11: GOLEADA ROJINEGRA ⚫️

 FBC Melgar goleó a Binacional y trepó a la punta de la Fase 2, igualando a César Vallejo con 7 pu…",
2021-08-01 21:04:37,"RT @EscaurizaGerman: CANCILLER EUCLIDES ACEVEDO CON PROPUESTA  ANTIPARAGUAYA; 

EL PLAN  ES, SOMETER Al ESTADO PARAGUAYO (Propietario del 5…",
2021-08-01 21:02:20,"RT @EscaurizaGerman: CANCILLER EUCLIDES ACEVEDO CON PROPUESTA  ANTIPARAGUAYA; 

EL PLAN  ES, SOMETER Al ESTADO PARAGUAYO (Propietario del 5…",
2021-08-01 21:01:35,"RT @Roberto_Gando: Los cinco tripletes de Bernardo Cuesta para alcanzar los 130 goles con FBC Melgar:

2015 a Real Garcilaso en Cusco
2019…",
2021-08-01 20:57:00,"Pensé que con el Binacional 1 - 5 Melgar se había terminado la fecha, pero recién me entero que juega el Boys.",
2021-08-01 20:54:55,"Bodacahar, Cuesta (3) y Pereyra aplastaron a Binacional con sus goles. #RugeMelgar https://t.co/SlAfBEnytr",
2021-08-01 20:54:25,"RT @calobeto11: 5 a 1. Con hat-trick de Cuesta, @MelgarOficial cierra un partido redondo y se posiciona 1ero de la fase 2 por diferencia de…",
2021-08-01 20:53:03,"5 a 1. Con hat-trick de Cuesta, @MelgarOficial cierra un partido redondo y se posiciona 1ero de la fase 2 por diferencia de gol. 3 centrales atrás. Anuló a Binacional y no pasó apuros. Lo que trabaja Bordacahar y, además, anota. Bernardo llegó a los 130 goles.

@VocesFutbolPeru https://t.co/iDe5OskU5r",
2021-08-01 20:52:42,"@Futbolperuano10 @jave95 @ErrorArbitralTR Ahora una final es igual a jornadas de la liga 0 🤔🤦. 
Binacional ganó a casi todos en Juliaca y x goleadas ese año. Sldos",
2021-08-01 20:52:36,RT @futbolecuador: #MarlondeJesús saca la cara a pesar de la goleada (VIDEO) El atacante ecuatoriano marcó el descuento en paliza de #Melga…,
2021-08-01 20:49:45,#MarlondeJesús saca la cara a pesar de la goleada (VIDEO) El atacante ecuatoriano marcó el descuento en paliza de #Melgar sobre #Binacional https://t.co/YIHygywCI0 https://t.co/Z2G9xpNpLd,
2021-08-01 20:49:01,"Con su triplete de hoy ante Binacional, @bernicuesta llegó a los 130 goles con @MelgarOficial y sigue alargando su racha de goleador histórico en la era profesional. https://t.co/Keog62Y06l",
2021-08-01 20:48:27,"RT @Roberto_Gando: FBC Melgar goleó 1-5 a Binacional en el Callao con tres goles de Bernardo Cuesta, uno de Cristian Bordacahar y otro de F…",
2021-08-01 20:45:19,RT @Efecto_Gol: #EG #Liga1 Final: Binacional 1-5 Melgar. Contundente victoria. Triplete de Cuesta que le permite al rojinegro sumar 7 punto…,
2021-08-01 20:44:44,"RT @crdelapiedra: Melgar fue una máquina ante Binacional y lo goleó 5-1 en el Callao, con una genial actuación de Bernardo Cuesta que anotó…",
2021-08-01 20:44:16,@IAmParalyzer Binacional Tenía muchísimos mejores jugadores en aquella temporada además que jugaban en juliaca ^^.,
2021-08-01 20:42:41,"RT @Roberto_Gando: Los cinco tripletes de Bernardo Cuesta para alcanzar los 130 goles con FBC Melgar:

2015 a Real Garcilaso en Cusco
2019…",
2021-08-01 20:41:38,"RT @Roberto_Gando: Los cinco tripletes de Bernardo Cuesta para alcanzar los 130 goles con FBC Melgar:

2015 a Real Garcilaso en Cusco
2019…",
2021-08-01 20:40:39,"Con triplete de Cuesta: FBC Melgar goleó por 5-1 a Binacional por la fecha 3 de la Fase 2: El cuadro arequipeño goleó con triplete de Bernardo Cuesta, Cristian Bordacahar y Fabio Pereyra por la fecha 3 de la Fase 2.  https://t.co/3wF3vf7IXz",
2021-08-01 20:39:48,"Los cinco tripletes de Bernardo Cuesta para alcanzar los 130 goles con FBC Melgar:

2015 a Real Garcilaso en Cusco
2019 a la San Martín en Arequipa
2019 a Cristal en Lima
2019 a Cantolao en el Callao
2021 a Binacional en el Callao https://t.co/GZrQRoEQRM",
2021-08-01 20:39:10,"RT @crdelapiedra: Melgar fue una máquina ante Binacional y lo goleó 5-1 en el Callao, con una genial actuación de Bernardo Cuesta que anotó…",
2021-08-01 20:38:47,"RT @Mundialito11: GOLEADORES HISTÓRICOS
EXTRANJEROS 
PRIMERA DIVISIÓN 
(1966-2021)

1. Sergio Ibarra (274⚽️)
2. Luis Bonnet y
    Lui…",
2021-08-01 20:38:02,"RT @cosaseriaperu: ¡ @MelgarOficial inicia con buen pie el mes de #Arequipa, arrasando con #Binacional! ⚽️

El 'Rojinegro' es líder de la…",
2021-08-01 20:37:47,"¡ @MelgarOficial inicia con buen pie el mes de #Arequipa, arrasando con #Binacional! ⚽️

El 'Rojinegro' es líder de la #Fase2 con 7 puntos tras golear 5-1 al 'Poderoso del Sur' en el Callao, con una soberbia actuación de #BernardoCuesta, quien anotó un hat-trick.

#Melgar https://t.co/wRx3w8pXkP",
2021-08-01 20:37:20,"#LaLigaxABDA | RUGE LEÓN! Hattrick de Cuesta y el dominó aplasta al Poderoso del Sur para ponerse entre los mejores de esta ronda

⚽️ #Binacional 🆚 #Melgar
 Miguel Grau
 Fecha 3
 #TorneoClausura #Fase2
 #Liga1Betsson https://t.co/0UBIOW5cZI",
2021-08-01 20:37:17,"⚽️BINACIONAL 1-5 MELGAR⚽️

Goleada con hattrick de Bernardo Cuesta! Muy flojo Binacional.

Mi análisis del partido: https://t.co/mZkPRXavCe",
