created_at,text,sad
2021-08-02 04:36:38,"RT @esquinabaja: Jajaja sale Castillo de Breña, los periodistas siguen su comitiva y la policía los detiene para que no puedan seguirlo y s…",
2021-08-02 04:36:30,"RT @esquinabaja: Jajaja sale Castillo de Breña, los periodistas siguen su comitiva y la policía los detiene para que no puedan seguirlo y s…",
2021-08-02 04:35:57,"@dnunezch @FrancisCarrionA @PolloFarsantePe Jajaja que cuente que hacía en la casita de Breña a la medianoche y con lluvia , acaso fue a “mover el bote” para que le den un ministerio ? 
#arrastrado del bicentenario el Pedro Francke del 8 🤣🤭",
2021-08-02 04:35:06,RT @peru21noticias: PNP reprime a manifestantes que marchan en Breña contra gabinete Bellido https://t.co/XBH2B02jxc https://t.co/EmE5QYKC…,
2021-08-02 04:34:11,"RT @AlexFebrero_: Los que que piensan que van a vacar a Castillo usando Hasthasgs: #VacanciaPedroCastillo
#AsumeTuVotoIdiota 
Racista
Breña…",
2021-08-02 04:33:45,RT @LucianoRevoredo: Salió de Breña como una rata acorralada. No permitieron una vez más el acceso a la prensa. Huye del pueblo al que tant…,
2021-08-02 04:32:45,"@presidenciaperu Señor presidente por favor breña no es el lugar adecuado uno tiene que estar movilizandose a hacer sus cosas, nos obstruye el tránsito, en mi opinión debería seguir siendo el despacho donde era antes, si no me equivoco era en palacio de gobierno y está adecuado para tal también.",
2021-08-02 04:32:22,RT @LucianoRevoredo: Salió de Breña como una rata acorralada. No permitieron una vez más el acceso a la prensa. Huye del pueblo al que tant…,
2021-08-02 04:32:00,RT @peru21noticias: PNP reprime a manifestantes que marchan en Breña contra gabinete Bellido https://t.co/XBH2B02jxc https://t.co/EmE5QYKC…,
2021-08-02 04:31:58,"@SoyJudyRo94 Entonces @PedroCastilloTe dónde firmo la resolución que nombra a su chaleco Pacheco? 
Hay varios actos de gobierno que han sido firmados en Breña y eso es delito. @congresoperu",
2021-08-02 04:31:51,RT @peru21noticias: PNP reprime a manifestantes que marchan en Breña contra gabinete Bellido https://t.co/XBH2B02jxc https://t.co/EmE5QYKC…,
