created_at,text,sad
2021-08-02 03:26:48,"@Maurici28884340 @ErrorArbitralTR Cómo chucha va a rendir si te mandan a hacer lo que no quieres, en todo caso el incompetente es Bustos si quiere que marquen que ponga un marcador.",
2021-08-02 03:25:39,"Encontré un video de un hombre con un pedazo de torta en la mano, una remera de nirvana y llorando por no tener con quien compartir la torta de su cumple. No sé por qué me causa si yo soy ese hombre también.",
2021-08-02 03:25:21,"RT @italiandick_ok: Aca nos juntamos culiar todo el sabado, quien se prende? Dale rt y hacemos orgia https://t.co/spWFtAn709",
2021-08-02 03:25:21,"RT @theatharis: En pocos minutos, Mauricio Matzuda tuvo pase de gol y protagonizó una acción de contra golpe. Hasta generó una amarilla par…",
2021-08-02 03:25:03,"RT @sangreazvl1901: @ClubALoficial @sportboys Antes del clasico NOS TOCA JUGAR CON
CANTOLAO
SAN MARTIN
MUNICIPAL
ESOS TRES PARTIDOS SE TIEN…",
2021-08-02 03:24:49,"Acaba de publicar un video en Eugenio Bustos, Mendoza, Argentina https://t.co/m1ZEscDsAd",
2021-08-02 03:24:12,"FERRETERÍA ""DON PEDRO"".

☆PINTURAS.
☆TANQUES DE AGUA.
☆AISLANTES.
☆MEMBRANAS.
☆HERRAMIENTAS.
☆Y MUCHO MÁS.

TENEMOS LA VARIEDAD Y EL PRECIO QUE USTED BUSCA. 

LOS ESPERAMOS EN 25 DE MAYO Y SAN MARTÍN, EUGENIO BUSTOS. https://t.co/nwpkwhOJSw",
2021-08-02 03:23:18,@spfcpics @nahuelfutbol nahuel bustos ? ,
2021-08-02 03:21:53,"No flaco, no soy madura para mi edad, a vos te gustan las nenas",
2021-08-02 03:21:50,"Acaba de publicar una foto en Eugenio Bustos, Mendoza, Argentina https://t.co/rmUhqLnih5",
2021-08-02 03:21:11,"@ClubALoficial @sportboys Antes del clasico NOS TOCA JUGAR CON
CANTOLAO
SAN MARTIN
MUNICIPAL
ESOS TRES PARTIDOS SE TIENEN Q GANAR
BUSTOS LA CONCHADTUMADRE TIENES
PORTALES MIGUEZ VILCHEZ
        BALLON CONCHA OLIVA
DEJATE D HUEVADAS Q SOLO ESTAS Q TE BOTAS DEL CLUB",
2021-08-02 03:20:19,"@robertoz87 @nocomerciable Ya fue el tema Bustos en esta conversa, que se quede jaja aquí lo importante es quien es la tetona jajaja perdón, el chisme 🤭",
2021-08-02 03:19:34,Ahora toca que Bustos entienda https://t.co/14Ns31rZZb,
2021-08-02 03:19:03,"RT @GuidoSacarelo: #Independiente| La de cada fecha 

Plancha a los 15 minutos que era roja directa

Claro penal a Fabricio Bustos en el…",
2021-08-02 03:17:24,"@Xabibenputa Muy grande Jorge Bustos, recomiendo su lectura",
2021-08-02 03:17:03,"@Pumadeltuiter Impresentable la ACTC, no pueden mear tan afuera del tarro. Y cómo puede correr toda la final pilotos que después son excluidos? Eran muy claras las maniobras",
2021-08-02 03:16:51,"@noticiAmerica Los bustos parlantes de Salazar Mongol y su xxx, en papel golpistas",
2021-08-02 03:16:40,"RT @MuyCAI: Bochini en #MuyCAIRadio: ""No se cuánto pagará Palmeiras por Bustos si es que se da la transferencia pero yo creo que si Indepen…",
2021-08-02 03:10:24,"RT @negraarica: @SimonNutricions @KarendTV Quedan las canotistas, Josefina Tapia skate, los lanzadores de martillo Kehr y Mancilla y Pentat…",
2021-08-02 03:09:55,"@MarioloOrtegaL Todos contra emelec, miguel angel loor, michel deller, francisco egas, la fef, la liga pro, el var, la luna, las estrellas, el sol, el universo, los ovnis, el comercio, vito muñoz, el extra, la conmebol, damián díaz, iván triviño, bustos, rescalvo, TODOS CONTRA EMELEC!!!!",
2021-08-02 03:08:11,q hueva,
2021-08-02 03:06:55,@SPFCInfoss @nahuelfutbol @TullImz nahuel bustos? ,
2021-08-02 03:06:20,@elmasgrandebsc Fue por la necedad de Bustos,
2021-08-02 03:03:41,"#Liga1 ⚽️Alianza Lima volvió a tropezar y sigue sin anotar. El conjunto blanquiazul no pudo ante un combativo Sport Boys, que fue más en el primer tiempo. El empate a cero goles, evidenció que el equipo de Carlos Bustos tiene serios problemas de definición. Genera pero no marca https://t.co/rX9r6P21Vc",
2021-08-02 03:03:08,RT @ErrorArbitralTR: ¿La pasión de Carlos Bustos? Hacer que TODOS los delanteros de Alianza Lima jueguen juntos.,
2021-08-02 03:01:57,RT @franvigliano: desde mañana se vuelve a la vida fitnes,
2021-08-02 03:00:05,"@JohisMendoza Creo q esa es la mejor estrategia q pueden usar, Bustos en su casa y Chicho en dirigiendo en cancha.",
2021-08-02 02:59:29,"Muy bien doctor Cesar Bustos, infectologo de l Universidad de Los Andes, que bien explicó y le puso paños fríos a la periodista de 24hrs  #COVID #periodistas",
2021-08-02 02:58:59,RT @Mia_Sarmiento18: q ganas d terminar los domingos mimoseando con alguien,
2021-08-02 02:58:37,RT @DiegoSotomayor7: Barcos dice que Alianza ha dejado dos puntos en el camino. Más trabajo para Carlos Bustos. Creí que a estas alturas lo…,
2021-08-02 02:58:16,RT @oliva_vaty: Domingo = Depresión,
2021-08-02 02:58:14,RT @AbrilJuarezz: El día que termine los domingos cenando con el amor de mi vida voy a ser feliz,
2021-08-02 02:56:46,Viendo cómo tratas a los vendedores y a los mozos te saco la ficha en 2 segundos,
2021-08-02 02:56:24,Los domingos siempre son y serán deprimentes,
