created_at,text,sad
2021-08-02 03:07:46,"RT @beommieloves: Estado:
⚪ En pareja

⚪ Soltera

 ENAMORADÍSIMA DE TXT COMO SKATERS 

CAN'T WAIT TO FIGHT 
#FIGHTorESCAPE_FightPhoto
#FIG…",
2021-08-02 03:03:00,"RT @KTHSlDE: YEONJUN APARENTA QUE SE CORTO ENTRE LAS CEJAS UNA “X” AHORA COMO SIGO VIVA 

CAN'T WAIT TO FIGHT
#FIGHTorESCAPE_FightPhoto
#FI…",
2021-08-02 02:45:38,"RT @KTHSlDE: YEONJUN APARENTA QUE SE CORTO ENTRE LAS CEJAS UNA “X” AHORA COMO SIGO VIVA 

CAN'T WAIT TO FIGHT
#FIGHTorESCAPE_FightPhoto
#FI…",
2021-08-02 02:44:33,"RT @yjunnieloves: Cuatro premios, cuatro de ellos llevaba uno en sus manos, ellos son cinco, podemos darles 5 wins? AMIGAS SÉ LA COMPETENCI…",
2021-08-02 02:42:09,"RT @bambikooeyes: ESTAS FOTOS DEBEN SER PARTE DEL MUSEO DEFINITIVAMENTE 

CAN'T WAIT TO FIGHT
#FIGHTorESCAPE_FightPhoto
#FIGHT_OR_ESCAPE …",
2021-08-02 02:39:06,"RT @CatyBEOM_bld: YO EXISTO Y RESPIRO POR ESTAS FOTOS

CAN'T WAIT TO FIGHT
#FIGHTorESCAPE_FightPhoto
#FIGHT_OR_ESCAPE  #TXT
@TXT_members ht…",
2021-08-02 02:38:16,"RT @yjunnieloves: Cuatro premios, cuatro de ellos llevaba uno en sus manos, ellos son cinco, podemos darles 5 wins? AMIGAS SÉ LA COMPETENCI…",
2021-08-02 02:36:23,"RT @CatyBEOM_bld: YO EXISTO Y RESPIRO POR ESTAS FOTOS

CAN'T WAIT TO FIGHT
#FIGHTorESCAPE_FightPhoto
#FIGHT_OR_ESCAPE  #TXT
@TXT_members ht…",
2021-08-02 02:36:23,"RT @Soobjunnie_: Entonces... ¿Esta es la razón por la que Taehyun tiene un yeso en su brazo durante Lovesong? 

CAN'T WAIT TO FIGHT
#FIGHTo…",
2021-08-02 02:34:38,"RT @KTHSlDE: Yo después de ver las cejas cortadas de yeonjun y soobin, beomgyu mechas blancas, los piercings de taehyun y kai,

CAN'T WAIT…",
2021-08-02 02:33:08,"RT @CatyBEOM_bld: YO EXISTO Y RESPIRO POR ESTAS FOTOS

CAN'T WAIT TO FIGHT
#FIGHTorESCAPE_FightPhoto
#FIGHT_OR_ESCAPE  #TXT
@TXT_members ht…",
2021-08-02 02:33:07,"RT @kkpinku__: EL VISUAL DE CHOI SOOBIN ES INDESCRIPTIBLE. SUS RASGOS SON DEMASIADO LINDOS COMO PARA SER REALES, ÉL ES SIMPLEMENTE UN ÁNGEL…",
2021-08-02 02:32:28,"RT @CatyBEOM_bld: PERO YA LE VIERON LA CEJA A YEONJUN???? SIKWKDIS ESTOY GRITANDO

CAN'T WAIT TO FIGHT
#FIGHTorESCAPE_FightPhoto
#FIGHT_OR_…",
2021-08-02 02:27:10,RT @BxtterflyMagic: onda todo estaba bien hasta que vi que la patineta de Yeonjun tiene como el dibujo de un gato y medio que todo ya no es…,
2021-08-02 02:26:35,RT @CatyBEOM_bld: UN MINUTO DE SILENCIO POR LOS EX MOAS Y LOS MOAS FUTUROS QUE NO PUDIERON ESTAR EN LA ERA DE TXT SKATERS XDIOS LO QUE SE P…,
2021-08-02 02:24:27,"RT @soob304: LOS CHICOS CON PIERCINGS Y CON EL CORTE EN LA CEJA??? LXS ESTILISTAS DE TXT NECESITAN UN AUMENTO POR FAVOR

CAN'T WAIT TO FIGH…",
2021-08-02 02:23:43,RT @CatyBEOM_bld: UN MINUTO DE SILENCIO POR LOS EX MOAS Y LOS MOAS FUTUROS QUE NO PUDIERON ESTAR EN LA ERA DE TXT SKATERS XDIOS LO QUE SE P…,
2021-08-02 02:21:55,"Yo después de ver las fotos de @TXT_members + con lágrimas en los ojos 
CAN'T WAIT TO FIGHT
#FIGHTorESCAPE_FightPhoto
#FIGHT_OR_ESCAPE #TXT
@TXT_members @TXT_bighit 
Yo: https://t.co/caAtmk3ILK",
2021-08-02 02:20:48,"RT @beommieloves: Estado:
⚪ En pareja

⚪ Soltera

 ENAMORADÍSIMA DE TXT COMO SKATERS 

CAN'T WAIT TO FIGHT 
#FIGHTorESCAPE_FightPhoto
#FIG…",
2021-08-02 02:19:38,"RT @yjunnieloves: Cuatro premios, cuatro de ellos llevaba uno en sus manos, ellos son cinco, podemos darles 5 wins? AMIGAS SÉ LA COMPETENCI…",
2021-08-02 02:18:20,"RT @KTHSlDE: Yo después de ver las cejas cortadas de yeonjun y soobin, beomgyu mechas blancas, los piercings de taehyun y kai,

CAN'T WAIT…",
2021-08-02 02:16:33,"RT @bambikooeyes: ESTAS FOTOS DEBEN SER PARTE DEL MUSEO DEFINITIVAMENTE 

CAN'T WAIT TO FIGHT
#FIGHTorESCAPE_FightPhoto
#FIGHT_OR_ESCAPE …",
