created_at,text,sad
2021-08-02 04:48:41,"RT @PeruanoComunica: Y nos dicen que Canal N le sigue haciendo campaña a la GOLPISTA Keiko Fujimori 🤣

#KeikoAsumeTuDerrota",
2021-08-02 04:48:20,RT @2MAnalytics: Histórico: Canal N transmite en vivo Marcha contra el gobierno y a través de su señal se oyó un sonoro Viva Willax!! Asi e…,
2021-08-02 04:47:33,"RT @Victor_HuertaV: El señor @jorgevillenal, mientras Canal N trasmite su ‘discurso’, le hecha la culpa a los medios de comunicación por ha…",
2021-08-02 04:46:55,"RT @Victor_HuertaV: El señor @jorgevillenal, mientras Canal N trasmite su ‘discurso’, le hecha la culpa a los medios de comunicación por ha…",
2021-08-02 04:46:25,"RT @Gomezzzeee: Primera vez en muchos años que Canal N apoya una marcha contra el Gobierno, recién, pendejos",
2021-08-02 04:45:54,"RT @KaremDignidad: Imagino que Canal N debe estar extrañando ver a Keiko en el escenario,
Ni modo se tienen que conformar con ver a la emin…",
2021-08-02 04:43:38,@canalN_ Cuantos gatos que se vayan a la rcsm...con todo canal N...,
2021-08-02 04:42:54,RT @JERCBM: Canal N transmite la marcha contra el gobierno y se ve a puro políticos q convivieron y avalaron la corrupción por años de expr…,
2021-08-02 04:42:47,"RT @GL0SSMYLARG0: GENTE, HABLÉ CON RODOLFO Y ME DIJO QUE LOS CUENTOS QUE SON SUYOS DENTRO DEL CANAL SON LOS SIGUIENTES

N° 150 - 200 - 270…",
2021-08-02 04:42:27,"RT @Gomezzzeee: Primera vez en muchos años que Canal N apoya una marcha contra el Gobierno, recién, pendejos",
2021-08-02 04:42:11,"RT @AlcortaLourdes: Canal N.... A ver... no aprenden No pregunten los nombres d las personas, vecinos y gente q transita por la zona, con t…",
2021-08-02 04:41:22,"RT @LaSalitadelSin: Please, avísenle a Canal Ñ, que su ex candidata Keiko Fujimori PERDIÓ y que se acabaron las elecciones. Ahora el tema e…",
2021-08-02 04:40:55,"RT @Victor_HuertaV: El señor @jorgevillenal, mientras Canal N trasmite su ‘discurso’, le hecha la culpa a los medios de comunicación por ha…",
2021-08-02 04:37:42,RT @JERCBM: Canal N transmite la marcha contra el gobierno y se ve a puro políticos q convivieron y avalaron la corrupción por años de expr…,
2021-08-02 04:36:31,"RT @the_jesica: En estos momentos la prensa (tbn Latina y Cana N)  🤮
 #VigilaTuKarpaIdiota 
Canal N  #PuntoFinal https://t.co/pYiqPXsv3f",
2021-08-02 04:36:03,"RT @the_jesica: En estos momentos la prensa (tbn Latina y Cana N)  🤮
 #VigilaTuKarpaIdiota 
Canal N  #PuntoFinal https://t.co/pYiqPXsv3f",
