created_at,text,sad
2021-08-02 04:19:42,"RT @NicolasMaduro: Que alegría conversar con Daniel Dhers, nuestro medallista de Plata en los #JuegosOlímpicos.

(1 de 2) https://t.co/wz6i…",
2021-08-02 04:19:38,"RT @CATERINAV: #1Ago Entrevista BBC | 
Daniel Dhers: 
""Imagínate, mi país ha estado en conflicto por los últimos 20 años, esto prácticament…",
2021-08-02 04:19:37,"RT @Soydesireelugo: Si te gusta tanto Daniel Dhers, nombra todas sus canciones.",
2021-08-02 04:19:27,"RT @NicolasMaduro: Que alegría conversar con Daniel Dhers, nuestro medallista de Plata en los #JuegosOlímpicos.

(1 de 2) https://t.co/wz6i…",
2021-08-02 04:19:25,"RT @Leonardo_Padron: Las hazañas de Yulimar Rojas (medalla de oro, récord mundial y olímpico en Triple Salto) y Daniel Dhers (plata en cicl…",
2021-08-02 04:19:14,"RT @NicolasMaduro: Que alegría conversar con Daniel Dhers, nuestro medallista de Plata en los #JuegosOlímpicos.

(1 de 2) https://t.co/wz6i…",
2021-08-02 04:19:05,"RT @NicolasMaduro: Extraordinaria victoria de Daniel Dhers, ciclista venezolano, que de manera magistral y con la destreza que lo caracteri…",
2021-08-02 04:18:54,"RT @Sharitin9: GENERACIÓN DE ORO

¡HISTÓRICO! El ciclista Daniel Dhers ganó plata en Tokio 2020 🥈🥈🥈

@NicolasMaduro @dcabellor
@jaarreaza…",
2021-08-02 04:18:50,"RT @Naldoxx: Las declaraciones de Daniel Dhers luego de bajarse del podio merecen su propia medalla.

 https://t.co/PWsbEEUPQG",
2021-08-02 04:18:47,RT @RC20216: 🥈@FuserNews|| @Danieldhers hizo historia al convertirse el primer Latino americano en ganar medalla en unos juegos olímpicos e…,
2021-08-02 04:18:47,"RT @NicolasMaduro: Extraordinaria victoria de Daniel Dhers, ciclista venezolano, que de manera magistral y con la destreza que lo caracteri…",
2021-08-02 04:18:41,Daniel Dhers se ha convertido en uno de mis seres humanos favoritos,
2021-08-02 04:18:39,"RT @efrainruizp: A Daniel Dhers le encadenaban la bicicleta cuando era chamo, no fue a la Universidad y a los 20 el papá le preguntaba que…",
2021-08-02 04:18:35,RT @Laura_Weffer: En la conversación de Daniel Dhers con Maduro queda claro que su promesa de unir a los venezolanos va en serio. No le dic…,
2021-08-02 04:18:24,"RT @_sumoza: Daniel Eduardo Dhers Arellano es un pana agradecido, simbólico y con arraigo a sus raíces nació en Caracas Venezuela vivió par…",
2021-08-02 04:18:09,"RT @Leonardo_Padron: Las hazañas de Yulimar Rojas (medalla de oro, récord mundial y olímpico en Triple Salto) y Daniel Dhers (plata en cicl…",
2021-08-02 04:18:06,"El Presidente de Venezuela@nicolasmaduro conversando vía telefónica
con el medallista olímpico Daniel Dhers. https://t.co/9PDX6wl4ZW",
2021-08-02 04:17:49,"Daniel Dhers, Medalla de Oro en dignidad https://t.co/6uI2DcJIZF",
2021-08-02 04:17:35,"RT @Sunndeyy: Otra cosa que también me parece importante, especialmente a los que los que ya pasamos los 20, es el debut Olímpico y la meda…",
2021-08-02 04:17:33,"RT @Leonardo_Padron: Las hazañas de Yulimar Rojas (medalla de oro, récord mundial y olímpico en Triple Salto) y Daniel Dhers (plata en cicl…",
2021-08-02 04:17:27,RT @_sumoza: El día de ayer durante la final de #bmxfreestyle los atletas Daniel Dhers (#VEN) y Kenneth Esquivel (#CRC) compitieron con una…,
2021-08-02 04:17:24,RT @LeoBritoVzla: Es preciso recordarles que Yulimar Rojasse entrena en España y Daniel Dhers 🥈 en EEUU. Y son patrocinados por Nike y Red…,
2021-08-02 04:17:12,"RT @Gaby_xs27: Ya va, un aquí me detengo para aplaudir al fotógrafo (a)... qué belleza de foto le hizo a Daniel Dhers, ojalá les llegue mis…",
2021-08-02 04:17:07,"RT @Soyescritora: Daniel Dhers hablando con Maduro, el presidente de la República Bolívariana de Venezuela  https://t.co/ZoZVs5RbuG",
