created_at,text,sad
2021-08-02 04:49:05,RT @__carlosxxx: Hamilton mientras nadie miraba en el box de Aston Martin: https://t.co/qyO1l24jiY,
2021-08-02 04:49:04,Viendo los precios de los boletos de Hamilton por si llegara a ir a NY. https://t.co/RxJMVgvyAh,
2021-08-02 04:48:57,RT @amir_aldimasi: Hamilton con sus amigos en el día de la amistad... https://t.co/kCsiHbVIe0,
2021-08-02 04:48:56,RT @VicarioMartin: Me pasan esta joya sobre cómo se las gasta Hamilton con los Red Bull  #F1 https://t.co/3lPp4JPbI4,
2021-08-02 04:48:53,RT @tombino_alfonzo: Hamilton: Alonso me da ansiedad https://t.co/zQmKeElixO,
2021-08-02 04:48:45,"RT @Patriotico_7: @porchilelindo @FridaSiKahlo @FranciscaVW1 @Pabula3 @ElisaLoncon Los gringos tuvieron a Madison, Hamilton, Franklin, Wash…",
2021-08-02 04:48:33,"RT @Formula1arg1: A Alonso le consultaron si el duelo con Hamilton fue igual al que tuvo con Schumacher en Imola 2005.

#Alonso""No. Schumac…",
2021-08-02 04:48:20,@DSORacing Descalifican a Vettel por no tener gas ? Y a Hamilton solo le das 10 segundos por chocar a casi 300km y mandar a u. Competidor al hospital 🤣en fin la hipocresía .!,
2021-08-02 04:47:54,RT @__carlosxxx: Hamilton mientras nadie miraba en el box de Aston Martin: https://t.co/qyO1l24jiY,
2021-08-02 04:47:47,"RT @Secteur_F1: P1 Ocon 

P2 Vettel

P3 Hamilton

Quel podium !

#F1 #HungarianGP  https://t.co/ENJLa9R9R2",
2021-08-02 04:47:43,RT @Campeonesnet: #F1 #HungarianGP Sebastian Vettel fue excluido de la competencia ya que no pudo suministrar el litro de combustible que s…,
2021-08-02 04:47:32,"@cesaracostamx Ya ni me recuerdes que neta amaba a Hamilton y siempre lo defendía, hasta en MX fui por su autógrafo y no el de Checo, pero este campeonato ya no lo soporto",
2021-08-02 04:47:21,"RT @AdrianMCF: Esteban Ocon hablando sobre Fernando Alonso por radio después de ganar la carrera, al informarle el equipo que había aguanta…",
2021-08-02 04:47:16,"RT @esmepaeez: Toto:bottas tu trabajo es proteger a hamilton de los red bull 
Bottas: que choque a todos dice
#HungarianGP  jajajaja https:…",
2021-08-02 04:47:06,"RT @geeksobreruedas: Estoy ENC@8R0N4D0! ELIMINAN A VETTEL, Más puntitos a Hamilton https://t.co/6VYSPJ6mgZ a través de @YouTube",
