created_at,text,sad
2021-08-02 04:16:03,"RT @DiarioOle: La atleta neerlandesa tropezó en la carrera de 1.500 metros, pero tuvo tiempo para recuperarse y ser primera.

https://t.c…",
2021-08-02 04:16:00,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:15:53,"RT @Buysan: Sifan Hassan. Serie de 1.500 metros en #Tokyo2020
Se cayó, se levantó y ganó sobrada. Una bestia esta atleta holandesa. Es naci…",
2021-08-02 04:15:46,"RT @SC_ESPN:  ¡NO ES NORMAL LO QUE ACABA DE PASAR! 

❌ A falta de 400 metros para completar los 1500m en la clasificación, Sifan Hassan se…",
2021-08-02 04:15:45,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:15:43,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:15:40,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:15:37,"RT @DiegoElFantasma: El mejor ejemplo de ""Si te caes, te levantas"". Vean lo que hizo Sifan Hassan. De locos 🤯

#Tokyo2020 https://t.co/hKxp…",
2021-08-02 04:15:30,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:15:29,"RT @DarvinsonRojas: La holandesa Sifan Hassan se cayó en la carrera de 1500 metros de atletismo femenino, se levantó y ganó. 

#JuegosOlimp…",
2021-08-02 04:15:21,"RT @SC_ESPN:  ¡NO ES NORMAL LO QUE ACABA DE PASAR! 

❌ A falta de 400 metros para completar los 1500m en la clasificación, Sifan Hassan se…",
2021-08-02 04:15:03,"RT @vallovig: Sifan Hassan #sifanhassan corredora de #PaísesBajos cayó en las clasificatorias de 1500m pero se repuso, remontó y llegó prim…",
2021-08-02 04:14:54,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:14:52,HASSAN ES LO QUE QUIERO SER CUANDO SEA GRANDE,
2021-08-02 04:14:51,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:14:48,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:14:48,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:14:36,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:14:15,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:14:11,"RT @tndeportivo: Una atleta se cayó a menos de una vuelta para la llegada, se levantó y ganó: la épica clasificación de Sifan Hassan que so…",
2021-08-02 04:14:09,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:13:50,"RT @OnliHype: El impresionante momento en que Sifan Hassan la representante de Los Países Bajos al chocar con el pelotón se cae, se levanta…",
2021-08-02 04:13:46,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:13:37,"Una más de #Tokyo2020:

Sifan Hassan se había caído, quedó casi última, pero en una increíble remontada, ganó la serie de 1500 metros. Clasificó a la final y va por el oro en los #JuegosOlimpicos

 https://t.co/RDWXqQ5RIi",
2021-08-02 04:13:29,"RT @AnaGabQuintero: Sifan Hassan  ¡VEAN ESTA MARAVILLA!

Ejemplo de esfuerzo, dedicación y esperanza. 

Una mujer que además, ha estado b…",
2021-08-02 04:13:29,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:13:23,@fabiolachambi Desde hace dos años no hago más que admirar a esta tremenda atleta. Hassan y Laura muir mis favoritas ❤️,
2021-08-02 04:13:17,"RT @luchoquequezana: Cuando sientan que todo está perdido, recuerden a Sifan Hassan. ¡Maravilloso!  #Tokyo2020 https://t.co/RfAAVY4tEz",
2021-08-02 04:13:13,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:12:57,"RT @daniarcucci: Hay mucho para ver hoy, pero lo que acaba de hacer la atleta Sufan Hassan en la serie de 1500 será repetido hasta el cansa…",
2021-08-02 04:12:28,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:12:10,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:11:41,"RT @SC_ESPN:  ¡NO ES NORMAL LO QUE ACABA DE PASAR! 

❌ A falta de 400 metros para completar los 1500m en la clasificación, Sifan Hassan se…",
2021-08-02 04:11:36,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:11:35,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:11:34,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:11:30,This Tweet from @pepeluisci has been withheld in: Peru.,
2021-08-02 04:11:24,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:11:18,RT @GusFlrsFrgs: Aquí está / here is #Hassan #Olympics #Tokyo2020 #Atletismo https://t.co/3fv5n7RtKj,
2021-08-02 04:11:14,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:11:13,"RT @DiegoElFantasma: El mejor ejemplo de ""Si te caes, te levantas"". Vean lo que hizo Sifan Hassan. De locos 🤯

#Tokyo2020 https://t.co/hKxp…",
2021-08-02 04:11:12,"RT @GusFlrsFrgs: Sifan HASSAN Increíble pero cierto! Por algo es la atleta a vencer, la atleta del momento en su deporte. Me pongo de pie p…",
2021-08-02 04:11:08,"RT @LuisEduJacome: PERO QUEEEEEEEEE HIZOOOO 🤯🤯

Sifan Hassan  (Uniforme naranja) se cayó al piso en los 400mts finales de la carrera pero…",
2021-08-02 04:11:06,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:10:55,This Tweet from @Manfred_cow has been withheld in: Peru.,
2021-08-02 04:10:50,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:10:49,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:10:47,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:10:30,"RT @DiegoElFantasma: El mejor ejemplo de ""Si te caes, te levantas"". Vean lo que hizo Sifan Hassan. De locos 🤯

#Tokyo2020 https://t.co/hKxp…",
2021-08-02 04:10:27,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:10:23,"RT @SC_ESPN:  ¡NO ES NORMAL LO QUE ACABA DE PASAR! 

❌ A falta de 400 metros para completar los 1500m en la clasificación, Sifan Hassan se…",
2021-08-02 04:10:01,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:09:58,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:09:56,"RT @tndeportivo: Una atleta se cayó a menos de una vuelta para la llegada, se levantó y ganó: la épica clasificación de Sifan Hassan que so…",
2021-08-02 04:09:51,"RT @SC_ESPN:  Simplemente, ¡Sifan Hassan!

  La campeona mundial sacó boleto de manera heroica a su 3ª final en #Tokyo2020   

🥇 ¡Busca…",
2021-08-02 04:09:50,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:09:46,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:09:42,"RT @SC_ESPN:  ¡NO ES NORMAL LO QUE ACABA DE PASAR! 

❌ A falta de 400 metros para completar los 1500m en la clasificación, Sifan Hassan se…",
2021-08-02 04:09:38,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
2021-08-02 04:09:37,"RT @SC_ESPN:  ¡NO ES NORMAL LO QUE ACABA DE PASAR! 

❌ A falta de 400 metros para completar los 1500m en la clasificación, Sifan Hassan se…",
2021-08-02 04:09:22,"RT @tndeportivo: Una atleta se cayó a menos de una vuelta para la llegada, se levantó y ganó: la épica clasificación de Sifan Hassan que so…",
2021-08-02 04:09:20,"RT @fsanchezparodi: Tengo que subir este video, porque si lo cuento, no me lo van a creer...
Sifan Hassan se cayó, quedó anteúltima, pero s…",
