created_at,text,sad
2021-08-02 04:20:45,"RT @justicierowild: Hernando de Soto en #PuntoFinal cantándole a Pedro Castillo: Miénteme como siempre, por favor miénteme, necesito creert…",
2021-08-02 04:20:43,"RT @latendenciape: #ESTENDENCIA
Hernando de Soto

Porque este domingo fue entrevistado en #PuntoFinal, y le dijo, mirando a cámara, al pres…",
2021-08-02 04:20:36,RT @Imperium_peru: Hernando De Soto debe ser un peón del globalismo con la única misión de destruir al Perú. Nada más puede explicar que a…,
2021-08-02 04:20:32,"RT @Denisse07766542: Estos imbéciles quieren hacer lo que se les da la gana, ahora su seguridad son las rondas!
Que rabia me dan los COJUDI…",
2021-08-02 04:19:41,"Qué tan jodida está nuestra salud mental, que algunos ni se inmutan cuando escuchan que alguien está investigado por visitar el VRAEM para reunirse con terroristas o que hace apología al terrorismo.

Panorama #VacanciaPedroCastillo Lárgate Hernando de Soto #VigilaTuKarpaIdiota https://t.co/V1ibXOb0Qe",
2021-08-02 04:19:21,"RT @crebosio95: Por qué en #PuntoFinal entrevistan a Hernando de Soto como si fuese un líder político?

Acaso ya se olvidaron que, tras la…",
2021-08-02 04:19:19,"RT @maugusto93: Hernando de Soto, en otra vida, pudo ser un gran vendedor de la Teleferia.",
2021-08-02 04:19:01,"El problema fue que Hernando De Soto y RLA postularon al mismo tiempo. Tenían votantes de perfil parecido, ahí se partieron los votos. Si solo iba uno, ese hubiera pasado a segunda vuelta y elegido presidente.",
2021-08-02 04:18:59,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:18:47,"RT @eudmed: Sólo en el Perú.
Tuvimos hasta abril la posibilidad de tener un Presidente como Hernando de Soto y en julio teníamos en ese lug…",
2021-08-02 04:18:39,"@KeikoFujimori Con el terrorismo no se negocia, y tampoco con el Fujimorismo. ¿En el país no existe otro líder de derecha, centro derecha que pueda asumir el liderazgo? ¿Dónde está A.Beingolea? ¿Hernando de Soto? Retírese de la política, que le hace daño al país.",
2021-08-02 04:18:17,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:18:13,"Muchos celebran las palabras de Hernando de Soto, pero no se dan cuenta que era otro Caudillo si partido político propio y lo peor sin liderazgo en su bancada. Sus congresistas le rinden cuentas a Keiko y no a él.",
2021-08-02 04:18:13,"RT @eudmed: Sólo en el Perú.
Tuvimos hasta abril la posibilidad de tener un Presidente como Hernando de Soto y en julio teníamos en ese lug…",
2021-08-02 04:18:02,RT @Gestionpe: Hernando de Soto: Castillo tiene que demostrar que no está avasallado por Cerrón https://t.co/VQFalURiNA,
2021-08-02 04:17:28,"RT @iamronaldo182: Tranquilos , Hernando de Soto era mucho presidente para un país como Perú donde la mayoría son resentidos sociales  , en…",
2021-08-02 04:16:55,"@diarioojo Que tal ingenuidad política la de Hernando de Soto, pensar que Castillo hará oídos sordos a Cerron.",
2021-08-02 04:16:19,"RT @limonysal21: “La economía se mueve por monopolios , la economía debe dejar de ser especulativa”
Quiere cambiar las conductas y las expe…",
2021-08-02 04:16:18,"RT @Denisse07766542: Estos imbéciles quieren hacer lo que se les da la gana, ahora su seguridad son las rondas!
Que rabia me dan los COJUDI…",
2021-08-02 04:16:14,"Sólo en el Perú.
Tuvimos hasta abril la posibilidad de tener un Presidente como Hernando de Soto y en julio teníamos en ese lugar a Pedro Castillo.
¡Qué país tan inviable que se muere por jugársela al límite siempre!
#AsumeTuVotoIdiota https://t.co/OWdV2Pk5tg",
2021-08-02 04:16:03,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:15:50,"RT @iamronaldo182: Tranquilos , Hernando de Soto era mucho presidente para un país como Perú donde la mayoría son resentidos sociales  , en…",
2021-08-02 04:15:23,RT @warneriusko: Hernando de Soto asesoro a los dictadores genocidas Hussein y GADAFI pero tiene la koncha de pedirle A Castillo que pruebe…,
2021-08-02 04:14:54,RT @RichardPh__: Cada vez más ganas de estudiar Economía y seguir los pasos de Hernando de Soto God.,
2021-08-02 04:14:53,RT @LM_Villalobos: Es divertido ver a los Porkytroolls y a los zurdos mononeuronales atacar a  Hernando De Soto. https://t.co/59yPMqxzz3,
2021-08-02 04:14:47,"Si Keiko hubiera hecho lo mismo a favor de un grupo o empresa, al día siguiente pedían vacancia. Nadie estaría tan comprensivo, ni tolerante como con Castillo.

Hernando de Soto
#VigilaTuKarpaIdiota 
Hernando de Soto
#VacanciaPedroCastillo 
Lárgate https://t.co/ZV5rQydUrG",
2021-08-02 04:14:41,"RT @justicierowild: Hernando de Soto en #PuntoFinal cantándole a Pedro Castillo: Miénteme como siempre, por favor miénteme, necesito creert…",
2021-08-02 04:14:35,"RT @ale_taralu: Era Hernando de Soto, pero noooooo queríamos votar por la palabra de profesor... https://t.co/5H49xMQ18P",
2021-08-02 04:14:31,"RT @Politica_LR: Hernando de Soto: Con este gabinete, Pedro Francke la va a tener muy difícil

El excandidato presidencial señaló que el nu…",
2021-08-02 04:14:02,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:13:53,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:13:23,"RT @LalaDeIta: Hernando de Soto todo incrédulo dice que Castillo no estaba en el partido , que lo invitaron acaso no sabe que él tiene vínc…",
2021-08-02 04:12:49,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:12:48,RT @Imperium_peru: Hernando De Soto debe ser un peón del globalismo con la única misión de destruir al Perú. Nada más puede explicar que a…,
2021-08-02 04:12:47,"RT @Gatubelape: Hernando de Soto, asesoraste a terrucos, tonto útil. #VacanciaPedroCastillo",
2021-08-02 04:12:34,"RT @Denisse07766542: Estos imbéciles quieren hacer lo que se les da la gana, ahora su seguridad son las rondas!
Que rabia me dan los COJUDI…",
2021-08-02 04:12:30,"RT @8sanpi: Puede que no te agrade Hernando de Soto, pero de su entrevista podemos deducir que aquel que quiere un país mejor aporta y no r…",
2021-08-02 04:12:24,RT @katiuskaflores: Cuando apagan al huevón de Hernando de Soto? Los medios le dan pantalla cuando no representa nada.,
2021-08-02 04:12:22,"@Gestionpe Hernando de Soto asesor de dictaduras, no tiene autoridad moral para hablar de la democracia.",
2021-08-02 04:12:13,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:11:48,"RT @latendenciape: #ESTENDENCIA
Hernando de Soto

Porque este domingo fue entrevistado en #PuntoFinal, y le dijo, mirando a cámara, al pres…",
2021-08-02 04:11:47,"@YorryWarthon ¡Totalmente de Acuerdo! esperemos que los líderes políticos NO SIGAN EL MAL EJEMPLO DEL PELOTUDO DEMOCRÁTICO HERNANDO DE SOTO, tratando de ""CAMBIAR LA MENTE RETORCIDA"" de un zurdo radical o terruco, por favor ¡VACANCIA PRESIDENCIAL, YA!",
2021-08-02 04:11:37,"RT @latendenciape: #ESTENDENCIA
Hernando de Soto

Porque este domingo fue entrevistado en #PuntoFinal, y le dijo, mirando a cámara, al pres…",
2021-08-02 04:11:23,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:11:22,"@Gestionpe El señor Hernando de Soto me tiene hasta la coronilla, no sé si a ustedes lectores también.",
2021-08-02 04:11:16,RT @sobre_puntos: @Politica_LR @larepublica_pe Una vez más el Sr. Hernando de Soto jugango en pared con la sra. K.,
2021-08-02 04:11:08,@Politica_LR @larepublica_pe Una vez más el Sr. Hernando de Soto jugango en pared con la sra. K.,
2021-08-02 04:10:51,RT @Gestionpe: Hernando de Soto: Castillo tiene que demostrar que no está avasallado por Cerrón https://t.co/VQFalURiNA,
2021-08-02 04:10:46,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:10:38,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:10:37,"RT @Observadora44: Hernando De Soto pitoniso? Y Delta asustada? Que vergüenza Entrevista, de una mediocridad con desprecio a los Peruanos!!",
2021-08-02 04:10:35,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:10:32,RT @LM_Villalobos: Es divertido ver a los Porkytroolls y a los zurdos mononeuronales atacar a  Hernando De Soto. https://t.co/59yPMqxzz3,
2021-08-02 04:10:23,RT @Gestionpe: Hernando de Soto: Castillo tiene que demostrar que no está avasallado por Cerrón https://t.co/VQFalURiNA,
2021-08-02 04:10:14,"RT @limonysal21: Era Hernando de Soto, pero noo, queríamos un cirujano idiota con su maestro títere. https://t.co/e8RQMwQuW3",
2021-08-02 04:10:04,"RT @limonysal21: Hernando de Soto, si tan solo hubieras pasado a la segunda vueltanada de este caos estaría pasando.
Nos merecemos los gob…",
2021-08-02 04:09:56,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:09:39,"RT @Denisse07766542: Estos imbéciles quieren hacer lo que se les da la gana, ahora su seguridad son las rondas!
Que rabia me dan los COJUDI…",
2021-08-02 04:09:38,"RT @limonysal21: Hernando de Soto, si tan solo hubieras pasado a la segunda vueltanada de este caos estaría pasando.
Nos merecemos los gob…",
2021-08-02 04:09:27,RT @comadre_ranita: quien fuera hernando de soto para decir cualquier estupidez totalmente desfasada y que el mundo entero te crea,
2021-08-02 04:09:08,"RT @Politica_LR: Hernando de Soto: Con este gabinete, Pedro Francke la va a tener muy difícil

El excandidato presidencial señaló que el nu…",
2021-08-02 04:08:52,"RT @Politica_LR: Hernando de Soto: Con este gabinete, Pedro Francke la va a tener muy difícil

El excandidato presidencial señaló que el nu…",
2021-08-02 04:08:35,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:08:14,RT @chifaentiffanys: Hernando de Soto que hablaba de Sendero Verde y se juntaba con Mavadef se queja por las juntas de Castillo con esa mis…,
2021-08-02 04:07:37,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:07:36,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:07:35,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:07:29,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:07:27,"Que gracioso que adulen a Panorama ahorita, cuando hace unas pocas horas anduvieron gritando que toda la Prensa tiene la culpa  jajaja. 🥑🥑🥑

#VigilaTuKarpaIdiota 
Hernando de Soto
#PuntoFinal 
#AsumeTuVotoIdiota https://t.co/COGNTJWJxM",
2021-08-02 04:07:10,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:06:53,"RT @Politica_LR: Hernando de Soto: Con este gabinete, Pedro Francke la va a tener muy difícil

El excandidato presidencial señaló que el nu…",
2021-08-02 04:06:47,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:06:46,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:06:37,"RT @maugusto93: Hernando de Soto, en otra vida, pudo ser un gran vendedor de la Teleferia.",
2021-08-02 04:06:21,"RT @Gatubelape: Hernando de Soto, asesoraste a terrucos, tonto útil. #VacanciaPedroCastillo",
2021-08-02 04:05:58,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:05:21,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:05:03,"RT @Gatubelape: Hernando de Soto, asesoraste a terrucos, tonto útil. #VacanciaPedroCastillo",
2021-08-02 04:05:00,"RT @limonysal21: Hernando de Soto, si tan solo hubieras pasado a la segunda vueltanada de este caos estaría pasando.
Nos merecemos los gob…",
2021-08-02 04:04:38,"RT @justicierowild: Hernando de Soto en #PuntoFinal cantándole a Pedro Castillo: Miénteme como siempre, por favor miénteme, necesito creert…",
2021-08-02 04:04:36,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:04:29,"Hernando De Soto debe ser un peón del globalismo con la única misión de destruir al Perú. Nada más puede explicar que a estas alturas salga en TV para rogarle a Pedro Castillo que deslinde de Cerrón, tal como hacen los caviares.

Cerrón no es el problema, todo Perú Libre lo es.",
2021-08-02 04:04:22,"RT @justicierowild: Hernando de Soto en #PuntoFinal cantándole a Pedro Castillo: Miénteme como siempre, por favor miénteme, necesito creert…",
2021-08-02 04:04:13,"RT @CARLOSC93701605: ¡PERUANO TEN SIEMPRE PRESENTE¡
EL DIA DE HOY LA LARVA ESPAÑOLA HERNANDO DE SOTO SE DECLARÓ ENEMIGO NUMERO UNO DEL PERU…",
2021-08-02 04:04:12,"RT @maugusto93: Hernando de Soto, en otra vida, pudo ser un gran vendedor de la Teleferia.",
2021-08-02 04:03:35,"RT @UniversidadPe: Hernando de Soto: Con este gabinete, Pedro Francke la va a tener muy difícil https://t.co/BlalUq2eR2 #Política https://t…",
2021-08-02 04:03:06,"RT @justicierowild: Hernando de Soto en #PuntoFinal cantándole a Pedro Castillo: Miénteme como siempre, por favor miénteme, necesito creert…",
2021-08-02 04:02:52,@AbrahamValencia Y hernando de soto en canal 2 pidiendo al PRESIDENTE le haga caso...jijijiji...,
2021-08-02 04:02:29,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:02:21,"RT @PeruanoComunica: Las constitución del 93 se hizo democráticamente, Según Hernando de Soto, mas conocido como el asesor de dictadores.…",
2021-08-02 04:02:19,"RT @justicierowild: Hernando de Soto en #PuntoFinal cantándole a Pedro Castillo: Miénteme como siempre, por favor miénteme, necesito creert…",
2021-08-02 04:02:13,"Vote por hernando de soto pensando q era sensato y realista para la política pero ya hoy lo q dijo para quedar como el bueno, el héroe y que quiere salvar a castillo de las garras de cerron..soto!! él y cerron tienen las mismas garras igual de afiladas ya basta con la ingenuidad.",
2021-08-02 04:01:43,"RT @UniversidadPe: Hernando de Soto: Con este gabinete, Pedro Francke la va a tener muy difícil https://t.co/BlalUq2eR2 #Política https://t…",
2021-08-02 04:01:38,"RT @UniversidadPe: Hernando de Soto: Con este gabinete, Pedro Francke la va a tener muy difícil https://t.co/BlalUq2eR2 #Política https://t…",
2021-08-02 04:01:37,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:01:37,RT @RecuerdosPeru: Hernando de Soto @HDeSotoPeru no quieren que cambien la constitución por voto popular pero si aceptó que Fujimori la cam…,
2021-08-02 04:01:35,"RT @maugusto93: Hernando de Soto, en otra vida, pudo ser un gran vendedor de la Teleferia.",
2021-08-02 04:01:05,"RT @UniversidadPe: Hernando de Soto: Con este gabinete, Pedro Francke la va a tener muy difícil https://t.co/BlalUq2eR2 #Política https://t…",
