created_at,text,sad
2021-08-02 03:31:32,"RT @paul_siempre: @VLADIMIR_CERRON El pensamiento del periodista Juan carlos Tafur, es el mismo del 90% d peruanos q están decepcionados x…",
2021-08-02 03:30:58,RT @PanoramaPTV: [VIDEO] #Panorama #JuanCarlosTafur: “No se puede tolerar un #Gabinete con personajes tan cuestionables” https://t.co/sRHbd…,
2021-08-02 03:24:44,RT @PanoramaPTV: [VIDEO] #Panorama #JuanCarlosTafur: “No se puede tolerar un #Gabinete con personajes tan cuestionables” https://t.co/sRHbd…,
2021-08-02 03:23:41,"RT @paul_siempre: @VLADIMIR_CERRON El pensamiento del periodista Juan carlos Tafur, es el mismo del 90% d peruanos q están decepcionados x…",
2021-08-02 03:22:44,RT @PanoramaPTV: [VIDEO] #Panorama #JuanCarlosTafur: “No se puede tolerar un #Gabinete con personajes tan cuestionables” https://t.co/sRHbd…,
2021-08-02 03:20:09,"RT @DavidCortezG1: Juan Carlos Tafur, a quien siempre admiré por sus ideas liberales, ha caido en lo mismo que el que se la daba del más li…",
2021-08-02 03:17:48,RT @PanoramaPTV: [VIDEO] #Panorama #JuanCarlosTafur: “No se puede tolerar un #Gabinete con personajes tan cuestionables” https://t.co/sRHbd…,
2021-08-02 03:12:18,"RT @DavidCortezG1: Juan Carlos Tafur, a quien siempre admiré por sus ideas liberales, ha caido en lo mismo que el que se la daba del más li…",
2021-08-02 03:10:03,"RT @paul_siempre: @VLADIMIR_CERRON El pensamiento del periodista Juan carlos Tafur, es el mismo del 90% d peruanos q están decepcionados x…",
2021-08-02 03:06:50,"RT @DavidCortezG1: Juan Carlos Tafur, a quien siempre admiré por sus ideas liberales, ha caido en lo mismo que el que se la daba del más li…",
2021-08-02 03:02:42,RT @AlcortaLourdes: Excelente entrevista a Juan Carlos Tafur ...... Muy bien. https://t.co/7LyfGs3nPN,
2021-08-02 03:01:51,"Juan Carlos Tafur: “No se puede tolerar un Gabinete con personajes tan cuestionables”
https://t.co/gGR9IeAfj4 a través de @YouTube",
2021-08-02 03:01:41,RT @PanoramaPTV: [VIDEO] #Panorama #JuanCarlosTafur: “No se puede tolerar un #Gabinete con personajes tan cuestionables” https://t.co/sRHbd…,
2021-08-02 03:00:18,RT @PanoramaPTV: [VIDEO] #Panorama #JuanCarlosTafur: “No se puede tolerar un #Gabinete con personajes tan cuestionables” https://t.co/sRHbd…,
2021-08-02 02:55:50,"RT @DavidCortezG1: Juan Carlos Tafur, a quien siempre admiré por sus ideas liberales, ha caido en lo mismo que el que se la daba del más li…",
2021-08-02 02:54:07,"RT @Patrici65239248: Muy buena sugerencia de Juan Carlos Tafur, reunir los 87 votos para la vacancia de Castillo.",
