created_at,text,sad
2021-08-02 04:46:10,RT @PabloAgustin: QUE PASO CON LULI GONZALEZ,
2021-08-02 04:46:08,Tengo muy mala memoria pero creo que la empeze a seguir hace un año SUSCRIBITE A LULI GONZALEZ https://t.co/DUGeMMYRGs,
2021-08-02 04:46:07,@lulignzalez lu queremos ver tu reacción cuando llegues al millón SUSCRIBITE A LULI GONZALEZ,
2021-08-02 04:46:05,SUSCRIBITE A LULI GONZALEZ n falta nada lpm DALE DAEL,
2021-08-02 04:46:03,Estoy sensible SUSCRIBITE A LULI GONZALEZ,
2021-08-02 04:45:59,"MIL SUBSCRIPTORES FALTAN
SUSCRIBETE A LULI GONZALEZ",
2021-08-02 04:45:58,"RT @goldbenzaa: la puta que lo parió, me hago caca
@lulignzalez 
SUSCRIBITE A LULI GONZALEZ https://t.co/M9HOhw6TXB",
2021-08-02 04:45:48,"No duermo hasta que llegue lit jajshsja 
SUSCRIBITE A LULI GONZALEZ",
2021-08-02 04:45:41,@homebnza SUSCRIBITE A LULI GONZALEZ,
2021-08-02 04:45:38,Menos de 1k SUSCRIBITE A LULI GONZÁLEZ,
2021-08-02 04:45:36,"Aww no le falta nadaa 

SUSCRIBITE A LULI GONZALEZ https://t.co/NKObXyDEmZ",
2021-08-02 04:45:25,@sunsetgnzalez SUSCRIBITE A LULI GONZÁLEZ,
2021-08-02 04:45:24,"RT @goldbenzaa: la puta que lo parió, me hago caca
@lulignzalez 
SUSCRIBITE A LULI GONZALEZ https://t.co/M9HOhw6TXB",
2021-08-02 04:45:21,"DALE SIGAMOS CON EL TT Q SE LLEGA
SUSCRIBITE A LULI GONZALEZ",
2021-08-02 04:45:21,SUSCRIBETE A LULI GONZALEZ no caigo https://t.co/jNKsuE6Ssv,
2021-08-02 04:45:20,BOLUDOOO NO FALTA NADAAAA SUSCRIBITE A LULI GONZALEZ https://t.co/Lm2iQgzFEu,
2021-08-02 04:45:17,"Lu, marri, angie, bri y mi mj amiga SUSCRIBITE A LULI GONZALEZ https://t.co/0udZzV3gbd",
2021-08-02 04:45:11,HOY NO SE DUERME SUSCRIBITE A LULI GONZALEZ https://t.co/FSE99aNY2r,
2021-08-02 04:45:11,"SUSCRIBITE A LULI GONZALEZ
apreta lo que esta en azul y mira como casi se pierde, relatado maravillosamente https://t.co/jEFlOQ7Inh",
2021-08-02 04:45:10,"RT @liveforgonzalez: perdon pero,, no podee SUSCRIBITE A LULI GONZALEZ https://t.co/1jumepPeKq",
2021-08-02 04:45:07,SUSCRIBITE A LULI GONZÁLEZ DALE,
2021-08-02 04:45:06,hoy se llega SUSCRIBITE A LULI GONZALEZ,
2021-08-02 04:45:01,@sunsetgnzalez SUSCRIBITE A LULI GONZALEZ,
2021-08-02 04:44:59,@PabloAgustin tweea porfavor SUSCRIBITE A LULI GONZALEZ y te juro que te amamos para toda la vida,
