created_at,text,sad
2021-08-02 04:04:26,"RT @latercera: #LTDomingo | Columna de @RicardoLagos: América Latina, ¿queremos quedar al margen? ""Nuestro destino será asumir las medidas…",
2021-08-02 04:04:17,RT @rocamadeus: La ley de apología al terrorismo es usada de forma tan antojadiza que si Edery no fuese un blanco podrían abrirle un proces…,
2021-08-02 04:04:10,"RT @otravezandres: Señalo al Premier como un simpatizante del accionar de Edith Lagos, la terrorista, y me dicen RACISTA. Ya, pues.",
2021-08-02 04:04:07,"#NocheDeEliminaciónCelebrity

Para nosotros los sureños porotos con rienda y con ""TRAGUA"" 

¡¡ EL QUE SABE, SABE !! 

Jajajaja

Saludos desde Osorno, Región de Los Lagos. https://t.co/FEMRPBlKD3",
2021-08-02 04:03:37,"RT @ChileUnidoAvanz: Según Karol Cariola: Sería una tremenda irresponsabilidad darle ventaja a la derecha para que vuelva a gobernar 
Me ac…",
2021-08-02 04:03:24,"@tanquedecasma @Anhedoniafugaz @doyoucare0 @amefriK_na Hola, lo comento porque encuentro un patrón en académicos limeños que simplifican la figura de Lagos sin los matices que trae consigo. No niego que haya pertenecido a SL, pero sí me resulta trivial apuntar solo a ello cuando fue una persona que movilizó miles de personas.",
2021-08-02 04:02:57,"RT @Wankawalass: Son una burla los medios como @Cuarto_Poder (vaya novedad). B
Se meten con la memoria colectiva de Ayacucho usando a Edith…",
2021-08-02 04:02:36,"@SNOW_Chascona74 Es que No se puedes creer, Alaman aprobó las 54 modificaciones realizadas el 2005 de la Actual constitución, firmada por Lagos, Piñera jamás la consideró en su programa y ahora la OCDE, la va a patear ufffff",
2021-08-02 04:02:28,"RT @Tutsy22: Lagos, Ogun, Oyo, Ondo &amp; Kwara.",
2021-08-02 04:02:02,RT @rocamadeus: La ley de apología al terrorismo es usada de forma tan antojadiza que si Edery no fuese un blanco podrían abrirle un proces…,
2021-08-02 04:01:44,RT @rocamadeus: La ley de apología al terrorismo es usada de forma tan antojadiza que si Edery no fuese un blanco podrían abrirle un proces…,
2021-08-02 04:01:29,"RT @patricionavia: Banco Central va a ser plurinacional, feminista, ecologista y descentralizado. Va a ser autónomo, pero responsable ante…",
2021-08-02 04:01:28,"RT @ChileUnidoAvanz: Según Karol Cariola: Sería una tremenda irresponsabilidad darle ventaja a la derecha para que vuelva a gobernar 
Me ac…",
2021-08-02 04:01:14,"RT @patricionavia: Banco Central va a ser plurinacional, feminista, ecologista y descentralizado. Va a ser autónomo, pero responsable ante…",
2021-08-02 04:01:08,Pero no solo a #MielGibson le gusta las protestas y desmanes le gusta la FLORENCIA lagos Neumann  🤢🤢🤢 https://t.co/lfmkFHoy6a,
2021-08-02 04:00:52,RT @rocamadeus: La ley de apología al terrorismo es usada de forma tan antojadiza que si Edery no fuese un blanco podrían abrirle un proces…,
2021-08-02 04:00:43,"RT @patricionavia: Banco Central va a ser plurinacional, feminista, ecologista y descentralizado. Va a ser autónomo, pero responsable ante…",
2021-08-02 04:00:29,@TheChiguirito Venezuela xenofóbica? Mi pana no has vivido fuera de Venezuela,
2021-08-02 04:00:07,"RT @StelarToqui: @MiguelGarayM En 1999 era Gladys Marin o Ricardo Lagos, pero Gladys era muy ""Comunista"", ""enojona"" y bueno ""Hay que votar…",
2021-08-02 03:59:19,@peru21noticias Buena y a los que llevaban machetes en mano de Perú libre hasta agua le alcanzaba la policía @PoliciaPeru tan rápido aplaudes a Edith lagos como el premier se nota que CON LA PLATA BAILA EL MONO,
