created_at,text,sad
2021-08-02 04:34:29,RT @LuzSalgado_R: Lourdes Flores pide unidad https://t.co/7n5ZVGHGbE,
2021-08-02 04:34:29,RT @rataneda: Estoy de acuerdo en que la izquierda debería aprender de Cuba y Venezuela para no repetir los mismos errores. No sigan el mal…,
2021-08-02 04:34:26,Por que se molestan de que no queremos compartir espacios con Kpop stan? Es lo más lógico,
2021-08-02 04:33:45,nadie te va a presumir tanto como yo a la culona de la lourdes,
2021-08-02 04:33:41,"RT @cesarmuguerza: Pregunta seria, Lourdes habrá llevado celular a la marcha de hoy??? Q creen ustedes ",
2021-08-02 04:33:38,RT @esquinabaja: Viendo a Lourdes y Jorge solo me queda pensar que la juventud está sobrestimada. No sirve de nada la fuerza si no se tiene…,
2021-08-02 04:33:28,@martulixpepe1 te amo lourdes,
2021-08-02 04:33:20,@ktIisoo @kookvoo Que tiene de inmaduro querer una app para nuestros favs?,
2021-08-02 04:33:06,"Necesito verano, calor 🥺",
2021-08-02 04:32:58,"@jiungXD Cada grupo de Kpop nuevo que entra, entran al espacio de los chicos a dejar mensajes de mierda, no respetan los espacios",
2021-08-02 04:32:28,"RT @benzaitana: lourdes es una de las mejores youtubers del país, encima de q tiene un re buen contenido te hace cagar de risa y te deja li…",
2021-08-02 04:31:57,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 04:31:44,"RT @fernandomunioz7: La #Marcha ""multitudinaria "" de Campo de Marte
¿Es a favor de la #Democracia o a favor de la #Corrupcion ?
Porque con…",
2021-08-02 04:31:35,"RT @DesaparecidosSV: Según el medio @NotiLourdesC Glenda Yamileth Guardado Cruz de 42 años, desapareció el jueves 29JUL2021; vista por últi…",
2021-08-02 04:31:11,RT @hearlygnzalez: https://t.co/JjRrYqQkAR si ves esto dale rt por que una persona youtuber llamada lourdes gonzalez esta por llegar al mil…,
2021-08-02 04:31:08,RT @rataneda: Estoy de acuerdo en que la izquierda debería aprender de Cuba y Venezuela para no repetir los mismos errores. No sigan el mal…,
2021-08-02 04:30:51,"RT @AguirreVega: Y así concluyó la marcha de la DBA, con sus grandes líderes, Lourdes Flores, Jorge Del Castillo, Nidia Vilchez, Angel Delg…",
2021-08-02 04:30:44,RT @martuxlulig: LOURDES LLEGA AL MILLÓN CUANDO ESTÉ DORMIDA Y ME RAJO 25 TIROS,
2021-08-02 04:30:27,"@anabe_rh @gorilona2 Lourdes era la colorada, esta es Ivonne Guzmán",
