created_at,text,sad
2021-08-02 02:50:13,"Que le falta a Matzuda para que sea más considerado en el equipo? 
No digo que sea titular, pero como revulsivo funcionaría bien y ya te lo ha demostrado.",
2021-08-02 01:54:22,"RT @ErrorArbitralTR: Por ahora, Matzuda ha demostrado más que Edgar Benitez.",
2021-08-02 01:38:38,"Matzuda tiene que arrancar ante Cantolao, demostró que tiene más ganas de jugar que muchos otros. https://t.co/n1yMlpW1yB",
2021-08-02 01:27:18,"@ClubALoficial @sportboys En vez del pajaro Benítez se hubiera contratado un 10, como dice Barcos, NO GENERAMOS, por la ptm no podemos estar sin generar jugadas de peligro con 3 o 4 por partido no alcanza. Matzuda &gt;Benítez.",
2021-08-02 01:06:41,@haruninja Matzuda por Oliva. Olvidan que Mauricio antes de llegar a Alianza hizo toda su formación jugando de interior. Incluso jugo un Sudamericano S17 en esa posición.,
2021-08-02 00:47:53,"@theatharis A ese tal conejo, no le veo nada, es torpe. Matzuda juega mejor",
2021-08-02 00:36:42,@SobrinoV_Edu @1901fernando arley y matzuda,
2021-08-02 00:17:39,"RT @ErrorArbitralTR: Por ahora, Matzuda ha demostrado más que Edgar Benitez.",
2021-08-02 00:08:32,@RicardoPJ12 @InfoGrone Para ser sincero yo si envidio a cristal meten a sus jugadores chibolos les da la confianza y lo hacen bien y estan punteros y ALl mete a un paquete de Benitez y no le da la oportunidad a matzuda que hace 2 años jugaba bien en AL pero no lo tomaron en cuenta despues y jode eso.,
2021-08-01 23:36:03,"@InfoGrone Matzuda no puede ser suplente y Benítez no puede ser el primer recambio, esta estafando pendejo",
2021-08-01 23:35:42,"@gersoncuba2603 @VocesFutbolPeru @alianzahistory Vilchez y Lacerda centrales, Lagos y portales , en el medio Moyano Matzuda Concha Barco y los Rodriguez arriba. Mora y Ballon a la banca.. Espero de verdad que Benítez no quede como un paquete en el equipo Eso depende dl juego dl dt. Benítez depende d su experiencia qdar bien",
2021-08-01 23:35:27,"Imagínense un Pinto ,Barcos y Matzuda woow , igual nunca pasara ",
2021-08-01 23:33:54,"@FernandaHuapaya Ballón y Valenzuela no pueden jugar juntos, se estorban. Moyano me parece más interesante por su juego simple. Faltan chicos con más gambeta y cambio de ritmo como Matzuda o Pinto. Yo creo que un 4-2-3-1 nos puede acomodar, con esa me quedo",
2021-08-01 23:33:06,"RT @ErrorArbitralTR: Por ahora, Matzuda ha demostrado más que Edgar Benitez.",
2021-08-01 23:32:17,"RT @theatharis: Posible alineación de Alianza Lima ante Sport Boys: Campos; Míguez, Portales, Rojas; Mora, Lagos, Ballón, Valenzuela, Conch…",
2021-08-01 23:29:38,@tabano1992 Matzuda es el idoneo ahí,
2021-08-01 23:28:48,@BlueGrone94 Chau Zela de punta aldair y de extremo matzuda,
2021-08-01 23:28:25,"RT @ErrorArbitralTR: Por ahora, Matzuda ha demostrado más que Edgar Benitez.",
2021-08-01 23:26:24,Lo pido siempre METE A MATZUDA HDP,
2021-08-01 23:18:41,@theatharis Pero Matzuda por quien no podemos jugar con 12,
2021-08-01 23:18:20,"@1901fernando Los dos Rodriguez por fuera y Barcos de 9. También puede ir Matzuda, Aguirre o Manzaneda en esos puestos.",
2021-08-01 23:16:34,"@SobrinoV_Edu Por ahora un ropero y estamos usando ese cambio por gusto , una bala al aire , matzuda hubiese entrado antes",
2021-08-01 23:16:30,@chgordillo A si es para que lo mete a Matzuda  faltando 5 minutos,
2021-08-01 23:16:28,"@carlosalfaroc el partido de lagos fue malo, decidia mal, el cambio de matzuda siento q cambio la cara del equipo, es el jugador q alianza necesita para crear ocasiones",
2021-08-01 23:16:20,"RT @theatharis: En pocos minutos, Mauricio Matzuda tuvo pase de gol y protagonizó una acción de contra golpe. Hasta generó una amarilla par…",
2021-08-01 23:15:20,"RT @intimoelemento: De muy poco te sirve mentener tu arco en cero, si tampoco la metes.
Hoy, muy pocos están sobre 4 puntos; por ahí rescat…",
2021-08-01 23:14:53,"@JulioWong66 No hay trabajo del DT.
Si Mei equipo es limitadisimo en figuras al menos hago trabajo físico y planteo presión alta.
Esos refuerzos son una lágrima.
Benítez y Arley son suplentes.. extranjeros SUPLENTES.
Hoy MATZUDA el crack de Tweter al menos corrió.
Este ALIANZA 2021 está mal",
2021-08-01 23:14:12,"En conclusión matzuda es todo lo que está bien.

Como lo quiero a ese chico https://t.co/PlPnXE8jlC",
