created_at,text,sad
2021-08-02 03:56:10,@luxia_melgar Jajaja todos los cantantes de canciones románticas deben de pasar por el psicólogo 🤭,
2021-08-02 03:53:03,@gabbioviedo Porque quiere ,
2021-08-02 03:52:30,"RT @grace_ma77: Que linda pareja, son tal para cual. No se si darles la bendición o el pésame 🤣🤣 #amorcachureco #quiasco https://t.co/3dHyS…",
2021-08-02 03:47:37,"RT @MoniVerdugo:  #Noticia | En el #OCADPaz 54 se aprobaron 4 iniciativas que llevarán luz a más de 1.300 familias en Caquetá, Putumayo y…",
2021-08-02 03:46:40,"RT @lospalossonasi: Y lo pasó por encima: Melgar no tuvo problemas y derrotó por 5 a 1 a Binacional. Bordahacar, Cuesta (3) y Pereyra le di…",
2021-08-02 03:44:10,@alianzainomano En un partido con melgar lo vi dar un pase en matute d 30 metros a pies d muchotrigo. Era un excelente jugador. Muchas felicidades.,
2021-08-02 03:43:30,"Fútbol Peruano: Resumen del Día

- #CuscoFC perdió 3-2 ante #AlianzaUniversidad. Los cuzqueños se complican en el acumulado 

- #Melgar demostró ser candidato tras golear por 5-1 a #Binacional 

- #AlianzaLima empató 0-0 contra #SportBoys en un partido con pocas ocasiones 🤝",
2021-08-02 03:42:32,"El argentino Cuesta marca triplete, Melgar golea y toma el liderato - https://t.co/JR5px6jHrR https://t.co/iSp22a8rtW",
2021-08-02 03:38:10,Engordando con @melgar_maco  ❤️ https://t.co/1BxmGWnKCa,
2021-08-02 03:38:01,"Hoy Marlon De Jesús anotó su tercer gol en la liga peruana. Un buen arranque y remate sólido, aunque su equipo cayó goleado 1-5 de local ante Melgar https://t.co/4lOlpe3OCG",
2021-08-02 03:36:34,@Jung_tina7 También me pasa y no estoy suscrita https://t.co/DJSxCOaMV3,
2021-08-02 03:36:12,"@HoyMismoTSI Y es que ahora Melgar es Dr, aquí en el país de los ciegos, cualquiera opina, que necesidad de protagonismo, pero ya nadie les cree, han perdido audiencia, medios tarifados. Entiendo es algo bueno, pero ya cambien de tema, hablen algo diferente",
2021-08-02 03:35:58,Eso que ??? #weverse #BTS https://t.co/m1NSFJdtyt,
2021-08-02 03:35:42,"RT @bettinaft2010: Es muy loco leer integrantes del FA defender un delito de evasión. diría Mujica: una chambonada. Pero, donde estamos? Al…",
2021-08-02 03:34:51,"RT @EncuestasFutPer: Binacional acaba de perder 5 a 1 contra Melgar y es recontra candidato a descender.
Pero recordemos que el año en que…",
2021-08-02 03:26:36,@MonicaBatlle4 @Mica Melgar ¿ Orsi no tiene nada que ver con sacar a luz la deuda de su competidor  Óscar Andrade?,
2021-08-02 03:22:56,"RT @bettinaft2010: Es muy loco leer integrantes del FA defender un delito de evasión. diría Mujica: una chambonada. Pero, donde estamos? Al…",
2021-08-02 03:19:55,"Soy productor ganado OK vino. Ganado vacuno y CAMELIDOS sudamericanos de santa rosa melgar puno y si tendrán alguna compra mi razón social es ubaldo paz aragon
Con RUC 10408881302
CON DIRECCIÓN SANTA ROSA MELGAR PUNO
NÚMERO DE CEL 958135904",
2021-08-02 03:15:28,"⚽️ #GolesExVerdes 1 de Cristian Bordacahar  en #Melgar (5-1 a #Binacional) por la #Liga1 
1 de Leandro Fernández en #Nacional (2-0 a #DeportivoMaldonado) por la #PrimeraDivisión  https://t.co/GiP11vKfJB",
2021-08-02 03:08:18,"RT @elgraficoweb: ⚽ #GolesArgentinos  por el mundo 

 Melgar de Arequipa venció a Deportivo Binacional por 5-1, con tantos marcados ex…",
2021-08-02 03:06:20,"RT @bettinaft2010: Es muy loco leer integrantes del FA defender un delito de evasión. diría Mujica: una chambonada. Pero, donde estamos? Al…",
2021-08-02 03:05:58,"@ElvisHuamani10 @Roger22986269 @Walo1901 Si fuera con los 2 pies, bueno, pero no fue con los 2 pies  ¿Te gusta decir incoherencias, no? En la jugada de melgar dije que Si se necesitaba var porque era milimétrica, con las cámaras se ve pero normalmente no. Que cegado que estás",
2021-08-02 03:04:29,"RT @bettinaft2010: Es muy loco leer integrantes del FA defender un delito de evasión. diría Mujica: una chambonada. Pero, donde estamos? Al…",
2021-08-02 03:03:11,"RT @PalmaEdwin: Lunes: Melgar 
Martes: Bogotá 
Miércoles: Cartagena 
Jueves: Barranquilla
Viernes: Bogotá.
Sábado: virtual
Domingo: virtual…",
2021-08-02 03:00:51,"En el futuro: ""Ya era hora que despertara. Logramos clonarlo a usted por medio del material genético encontrado en un zancudo fosilizado de Melgar(...)""",
2021-08-02 02:59:44,"RT @care_much: Decirle NO a alguien más
es decirte SÍ a ti mismo.",
2021-08-02 02:59:39,"@memis5524 @Daniel011965 @CesarVega_Peri @santotv4 Me refiero que no tiene un tinte personal porque no lo conozco y no me hizo nada, podría ser Mica Melgar o Carmen Asiain y opinaria lo mismo. Entiendo que si estuviera en tu lugar me pasaría lo mismo que a vos, y lo disfrutaría mucho.",
2021-08-02 02:57:33,"RT @bettinaft2010: Es muy loco leer integrantes del FA defender un delito de evasión. diría Mujica: una chambonada. Pero, donde estamos? Al…",
2021-08-02 02:56:00,"⚽ #GolesArgentinos  por el mundo 

 Melgar de Arequipa venció a Deportivo Binacional por 5-1, con tantos marcados exclusivamente por futbolistas argentinos

⚽️ Bernardo Cuesta (3), Cristian Bordacahar y Fabio Pereyra anotaron los tantos.

 @MelgarOficial https://t.co/PF15v3utXy",
2021-08-02 02:55:55,"@mister__lemon Y estoy esperando que salga a defender a las mujeres que Nacho destrató leyendo sus tuits, a Mica Melgar no la conoce según dijo 
Sororidad 
Hipócritas",
