created_at,text,sad
2021-08-02 04:22:42,"@AkumuHoshi Si son. Si Kacchan no es gay, ya tenemos al Mineta. https://t.co/WwfJsOmY28",
2021-08-02 04:22:37,RT @User_tuiter: Esta frase de mineta&gt;&gt;&gt;&gt;&gt; todo el “desarrollo” de bakugou https://t.co/5smwrBYDF2,
2021-08-02 04:22:20,"RT @venbuns: a qn le importa mineta el lumity es canon
https://t.co/R43Rhy3316",
2021-08-02 04:22:19,bestie eres mineta apologist y pambisito elije 1 problema psicólogo nada más https://t.co/U8Lw8R7DjO,
2021-08-02 04:22:10,RT @AndreaJUwU: Cómo que Mineta??? https://t.co/SYPB4peTy9,
2021-08-02 04:22:08,"Okya gente, yo creo que lo de Mineta es error de traducción pero igual vamos a ver qué rayos.",
2021-08-02 04:22:00,"@hainekenx Na, se confirmó que el de los pussycats es trans y hay varios personajes de genero indiferente o esas cosas, lo de mineta ta ahí por estar, no le hace asco a nada el pibe",
2021-08-02 04:21:51,todo el mundo haciendo comentarios homofobicos sobre qué mineta es bi y Gente solo fue un error de tradición mineta NO es bi tranquilos. https://t.co/XQ5yNzoM78,
2021-08-02 04:21:41,"RT @tamakisito: mineta un coño, mejor miren el lindo coloring qe le hice a la icono bi 🥰🥰🥰🥰 https://t.co/P9Sz1rvyZ0",
2021-08-02 04:21:40,Por qué está Mineta ahí?????????????????????????? https://t.co/MqJb0wM3Js,
2021-08-02 04:21:38,"@ELKEV_in Suena más a admiración que sentimental pero vaya, el odio a Mineta nunca se irá de esta app jaja",
2021-08-02 04:21:35,RT @L3VIHAT3SYOU: Yo                //         Mineta https://t.co/qs5SDNyC1L,
2021-08-02 04:21:30,"Entro a twitter y Deku y Mineta son tendencia, ahora que paso?",
2021-08-02 04:21:29,"@akihiro_rebuild @Lananja_ claro, ""minetadios"" quien acoso a sus compañeras y lo cubren con ""es para que se sientan mejor"" quien toco sexualmente a sus compañeras sin su consentimiento VARIAS veces, quien las espía mientras se cambian y opina sobre sus cuerpos, el machista mineta, claro que sí.",
2021-08-02 04:21:22,"Es exactamente como dice Luna no importa que lo de Mineta sea una malinterpretación en la traducción, sino que los wokes exponen su hipocresía; no buscan una representación realista, sino una representación que se ajuste a su visión de superioridad moral. https://t.co/7IRp6ImE6S",
2021-08-02 04:21:19,RT @aluksion: Tampoco culpo a Mineta https://t.co/GLrXbkzUTD,
2021-08-02 04:21:11,RT @PurpelFais: Yo después de enterarme por que Mineta es tendencia. https://t.co/Solt21Om22,
2021-08-02 04:21:09,RT @FulanoSays: Todos cuando se enteren que fue un error de traducción y Mineta solo tuvo un momento emocional por su amistad con Mirrodill…,
2021-08-02 04:21:07,perdónenme me da mucha risa que mineta sea bisexual canon  like on god?! fr just like that?!,
2021-08-02 04:21:07,@s6koku VISTE mineta alejate d mi niño,
2021-08-02 04:21:06,"RT @justwantapie: q coraje q hiciera a mineta bisexual y no a literalmente cualquier otro personaje, esos weyes irradian 3mil veces más bis…",
2021-08-02 04:21:03,"RT @akihiro_rebuild: Mucho escándalo hacen con lo de mineta cuando es un error de traducción xdxdxd
Que se podía esperar de ese fandom llen…",
2021-08-02 04:21:02,"@akihiro_rebuild Preocupante.
Ahí muere. Que miedo hablar con personas que consideran al inservible de mineta un Dios",
2021-08-02 04:21:00,RT @User_tuiter: Esta frase de mineta&gt;&gt;&gt;&gt;&gt; todo el “desarrollo” de bakugou https://t.co/5smwrBYDF2,
2021-08-02 04:20:58,"@oikqwas mineta es pansexual, asunto arreglado",
