created_at,text,sad
2021-08-02 04:18:42,"@PanoramaPTV Ahora la caviar molinelli ahora ya sabe lo que se siente que le tilden de jefa de una Organización criminal según ella sin serlo, y como se siente keiko de todo lo que le dicen, ahora molinillo te haces la digna tu jefe vizcarra te dio la espalda o es una cortina de humo.",
2021-08-02 04:18:20,RT @kampueromeza: Abogado de Vizcarra ahora es abogado de F.Molinelli para el caso El club de las farmacéuticas. Ambos trabajaron en el MTC…,
2021-08-02 04:18:09,@elsita201041 No le creo nada a Molinelli pero bueno igual merece el beneficio de la duda y ejercer su derecho a defensa.,
2021-08-02 04:18:07,"RT @Kuroageha7: Lo que ha habido en Panorama es un lavado de cara con Molinelli.

Pronto la verán en RPP.",
2021-08-02 04:18:02,@augusthorndike Quieren hacer harta cortina de humo con lo de la Molinelli,
2021-08-02 04:17:52,"RT @RConSentido: Se preguntan dónde está Fiorella Molinelli?
Está lavándose la cara en los canales de TV, a los que ella financió millonari…",
2021-08-02 04:17:40,"RT @Ojo_Publico: Via Ayaychan, empresa investigada por el caso #ClubDeLasFarmacéuticas, vendió 779 mil lentes protectores a @EssaludPeru, p…",
2021-08-02 04:17:13,"RT @Luishid07612826: El lagarto le presta su abogado a la Molinelli  ja !
En @PanoramaPTV",
2021-08-02 04:17:03,"RT @Luishid07612826: El lagarto le presta su abogado a la Molinelli  ja !
En @PanoramaPTV",
2021-08-02 04:16:55,"RT @JulioCaballeroM: Está Molinelli, la misma cara de cuando nos enyucó cubriendo al lagarto, ahora con las obras sobrevaluadas en su insti…",
2021-08-02 04:16:51,"RT @Luishid07612826: El lagarto le presta su abogado a la Molinelli  ja !
En @PanoramaPTV",
2021-08-02 04:16:23,"RT @willaxtv: #ReyConBarba | Fiorella Molinelli: Mis hijos se han quedado sin computadora.

En vivo https://t.co/4AJELMLOQ2    
ClaroTV: C1…",
2021-08-02 04:16:20,"RT @unchasqui: En el caso de Fiorella Molinelli, la Fiscalía ha sido bien generosa para llamar a ese caso ""El Club de las Farmacéuticas"". Y…",
2021-08-02 04:15:43,SE ME CAYERON REY CON BARBA AL DARLE APOYO A MOLINELLI CUANDO ELLOS LA CRITICARON POR LA ESTAFA DE ÉL AEROPUERTO DE CHINCHEROS!!!!,
2021-08-02 04:15:41,"RT @krugger65: #Fiorella Molinelli confirma que #Manuel altamirano si es su amigo, pero la pega de indignada ante su amiga la Vacunada Roxa…",
2021-08-02 04:15:08,"RT @Patricia_Neyra: Si Molinelli está prófuga, cómo queda Eliana Carlin, alguien sabe? Ya la botaron o cómo es?",
2021-08-02 04:14:55,RT @kampueromeza: Abogado de Vizcarra ahora es abogado de F.Molinelli para el caso El club de las farmacéuticas. Ambos trabajaron en el MTC…,
2021-08-02 04:14:36,"Fiorella Molinelli defendiendose a capa y espada , mi solidaridad ..
@FioreMolinelli @EsSaludPeru",
2021-08-02 04:14:07,RT @kampueromeza: Abogado de Vizcarra ahora es abogado de F.Molinelli para el caso El club de las farmacéuticas. Ambos trabajaron en el MTC…,
2021-08-02 04:14:02,"RT @SonofGodnum01: Esta engreida nena de mami, hija de la licenciada Rita Molinelli con bufete en Palmanova Plaza, Palmas del mar y abogada…",
2021-08-02 04:14:00,RT @kampueromeza: Abogado de Vizcarra ahora es abogado de F.Molinelli para el caso El club de las farmacéuticas. Ambos trabajaron en el MTC…,
2021-08-02 04:13:47,"RT @Kuroageha7: Lo que ha habido en Panorama es un lavado de cara con Molinelli.

Pronto la verán en RPP.",
2021-08-02 04:13:41,RT @kampueromeza: Abogado de Vizcarra ahora es abogado de F.Molinelli para el caso El club de las farmacéuticas. Ambos trabajaron en el MTC…,
2021-08-02 04:13:18,"RT @willaxtv: #ReyConBarba | Fiorella Molinelli: Mis hijos se han quedado sin computadora.

En vivo https://t.co/4AJELMLOQ2    
ClaroTV: C1…",
2021-08-02 04:13:11,RT @kampueromeza: Abogado de Vizcarra ahora es abogado de F.Molinelli para el caso El club de las farmacéuticas. Ambos trabajaron en el MTC…,
2021-08-02 04:13:07,"Lo que dice Molinelli, es una muestra clara de que existen jueces tan figuretis y sinvergüenzas, que asco esta ""justicia"".",
2021-08-02 04:13:05,"RT @krugger65: #Fiorella Molinelli confirma que #Manuel altamirano si es su amigo, pero la pega de indignada ante su amiga la Vacunada Roxa…",
2021-08-02 04:13:00,"#ReyConBarba | Fiorella Molinelli: Mis hijos se han quedado sin computadora.

En vivo https://t.co/4AJELMLOQ2    
ClaroTV: C12
MovistarTV: C16
DirecTV: C1191
BestCable C8 https://t.co/Iek1IdWHn3",
2021-08-02 04:12:53,"RT @willaxtv: #ReyConBarba | Fiorella Molinelli: Fiscalía pidió intervención y allanamiento.

En vivo https://t.co/4AJELMLOQ2    
ClaroTV:…",
2021-08-02 04:12:53,"RT @willaxtv: #ReyConBarba | Fiorella Molinelli: No hay pruebas que me involucren.

En vivo https://t.co/4AJELMLOQ2    
ClaroTV: C12
Movist…",
2021-08-02 04:12:50,"RT @Ojo_Publico: Via Ayaychan, empresa investigada por el caso #ClubDeLasFarmacéuticas, vendió 779 mil lentes protectores a @EssaludPeru, p…",
2021-08-02 04:12:50,"RT @willaxtv: #ReyConBarba | Fiorella Molinelli: Estamos acabando con el principio de inocencia.

En vivo https://t.co/4AJELMLOQ2    
Claro…",
2021-08-02 04:12:42,"RT @willaxtv: #ReyConBarba | Fiorella Molinelli: Fiscalía pidió intervención y allanamiento.

En vivo https://t.co/4AJELMLOQ2    
ClaroTV:…",
2021-08-02 04:12:40,"RT @willaxtv: #ReyConBarba | Fiorella Molinelli: He dado mi vida y he luchado contra la pandemia.

En vivo https://t.co/4AJELMLOQ2    
Clar…",
2021-08-02 04:12:39,@willaxtv de verdad? hace muchísimo tiempo que pasó eso acaso no sabías que eso mismo le hicieron a KEIKO pero ahí si callada te quedaste Molinelli sinvergüenza,
2021-08-02 04:12:38,RT @kampueromeza: Abogado de Vizcarra ahora es abogado de F.Molinelli para el caso El club de las farmacéuticas. Ambos trabajaron en el MTC…,
2021-08-02 04:12:35,RT @kampueromeza: Abogado de Vizcarra ahora es abogado de F.Molinelli para el caso El club de las farmacéuticas. Ambos trabajaron en el MTC…,
2021-08-02 04:12:11,"RT @willaxtv: #ReyConBarba | Fiorella Molinelli: He dado mi vida y he luchado contra la pandemia.

En vivo https://t.co/4AJELMLOQ2    
Clar…",
2021-08-02 04:12:03,"#ReyConBarba | Fiorella Molinelli: He dado mi vida y he luchado contra la pandemia.

En vivo https://t.co/4AJELMLOQ2    
ClaroTV: C12
MovistarTV: C16
DirecTV: C1191
BestCable C8 https://t.co/vadFW7JjeU",
2021-08-02 04:11:51,"RT @GeneralDelAire3: La justicia en el Perú está acostumbrada a humillar, apresar y luego investigar”.

Fiorella Molinelli.
#Panorama 

La…",
2021-08-02 04:11:48,RT @Jesjade17: Qué rabia me genera la corrupción institucional de Essalud. Mi hermana espera meses por medicinas que siempre están desabast…,
2021-08-02 04:11:46,"RT @Luishid07612826: El lagarto le presta su abogado a la Molinelli  ja !
En @PanoramaPTV",
2021-08-02 04:11:45,"RT @willaxtv: #ReyConBarba | Fiorella Molinelli: Fiscalía pidió intervención y allanamiento.

En vivo https://t.co/4AJELMLOQ2    
ClaroTV:…",
2021-08-02 04:11:27,"@larepublica_pe Molinelli esta más envarada que nadie, ojalá la saquen con esto.",
2021-08-02 04:11:20,"RT @eveca_: @lucianolopez27 @LaFactoria_Peru @Poder_Judicial_ @CSJdeLima Es una persona que está en investigación por apología, pero se ha…",
2021-08-02 04:11:14,"RT @Ojo_Publico: Via Ayaychan, empresa investigada por el caso #ClubDeLasFarmacéuticas, vendió 779 mil lentes protectores a @EssaludPeru, p…",
2021-08-02 04:10:58,"#ReyConBarba | Fiorella Molinelli: Fiscalía pidió intervención y allanamiento.

En vivo https://t.co/4AJELMLOQ2    
ClaroTV: C12
MovistarTV: C16
DirecTV: C1191
BestCable C8 https://t.co/9vrkZZ6uYZ",
2021-08-02 04:10:37,RT @kampueromeza: Abogado de Vizcarra ahora es abogado de F.Molinelli para el caso El club de las farmacéuticas. Ambos trabajaron en el MTC…,
2021-08-02 04:10:27,RT @NoaVizcarra: Fiorella Molinelli y el lagarto tienen el mismo abogado.,
2021-08-02 04:10:18,"RT @khapaq: ¡Uy, caray! La tía  "" Fiorella Molinelli "" cree que porque se presenta en #Panorama para hacerse la valiente y negar todo, ya l…",
2021-08-02 04:10:18,"RT @larepublica_pe: Sindicato nacional de trabajadores de EsSalud exige destitución inmediata de Fiorella Molinelli

También piden designac…",
2021-08-02 04:10:04,RT @kampueromeza: Abogado de Vizcarra ahora es abogado de F.Molinelli para el caso El club de las farmacéuticas. Ambos trabajaron en el MTC…,
2021-08-02 04:10:03,RT @Ojo_Publico: #ClubDeLasFarmacéuticas La @FiscaliaPeru investiga a 14 personas y 4 empresas acusadas de integrar una organización crimin…,
2021-08-02 04:09:54,"RT @rocamadeus: Yo no veo esa porquería de cuarto poder, pero dijeron algo de Molinelli y la mafia de Essalud?",
2021-08-02 04:09:39,RT @kampueromeza: Abogado de Vizcarra ahora es abogado de F.Molinelli para el caso El club de las farmacéuticas. Ambos trabajaron en el MTC…,
2021-08-02 04:09:31,"RT @mulierlegalis: @willaxtv Molinelli dice, por que no lo hicieron antes? pues por que estabas protegida por Vizcarra y Sagasti.
Ya tienes…",
