created_at,text,sad
2021-08-02 04:58:05,"@Theblink_only14 Estoy tan ansiosa por el solo de Lili, de que nos sorprenderá eso es seguro, será algo espectacular 

PINKS REVOLUTIONIZED THE WORLD 
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK )",
2021-08-02 04:57:08,"@Addicted_jennie # kelly como podrás ver tengo mucha imaginación 

PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)

BLACKPINK X WEVERSE 
#BLINK_in_WEVERSE
#BLACKPINKWeverse",
2021-08-02 04:52:50,"@maxxine505 @AnnPrinB @BLACKPINK Pero como ?!  Fue de los primeros que  y me hicieron enamorarme de Lisa  cuando recién empecé a stanerlas !! 

PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)",
2021-08-02 04:49:17,"Yo, soy inteligente, tú, te enojas porque un grupo de chicas entró a una plataforma. Que no se note tu obsesión y tú miedo bestie.

PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)",
2021-08-02 04:48:07,"Es que siempre quieren ser las víctimas y los primeros xjsjxjhs

PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)

BLACKPINK X WEVERSE 
#BLINK_in_WEVERSE
#BLACKPINKWeverse https://t.co/zVArg0JuWu",
2021-08-02 04:47:49,"@Theblink_only14 Apenas iba aprender a usar Vlive y ahora tengo que aprender a usar Weverse, lo siento soy baby blink 

PINKS REVOLUTIONIZED THE WORLD 
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK )",
2021-08-02 04:30:43,"@Annycryforbp @Adela7u @BLACKPINK Wuau enséñame maestro todo lo que sabes 
PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)",
2021-08-02 04:29:21,"@ninigouth1c Jajaja si soy, apenas aprendí a cambiar mi foto 
PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)",
2021-08-02 04:28:27,"@THEGoEunOT4 El mío es este creo 
PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK) https://t.co/0MGRnTNW7C",
2021-08-02 04:27:42,"[] Photocards de ROSÉ en la Versión Japonesa de THE ALBUM. 

Cr. owners

PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK) https://t.co/7ejjtpNEkb",
2021-08-02 04:26:17,"JAJAJAJAJAJ mori

PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK) https://t.co/EDR37Rm7e4",
2021-08-02 04:22:28,"Jennie subió sus primeras cuatro fotos , ella es tan linda.

PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on 
#KCAMexico (@BLACKPINK) https://t.co/qTVLnmaDdW",
2021-08-02 04:19:18,"Cuanto colapso en una publicación nada relacionada con sus favs 

PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK) https://t.co/E4WUgPgpw3 https://t.co/kDYhO5d6sV",
2021-08-02 04:17:31,"Jajajaja wey y yo en plan: como mierdas se usa estooooo

PINKS REVOLUTIONIZED THE WORLD 
I vote #Rose for Bomba K-pop on #KCAMexico︎ (@BLACKPINK) https://t.co/YoZ8x1rykf",
2021-08-02 04:17:19,"@lesblinkot4 Yo no sé, pero desde que lo descargue me sale todo en modo noche 
PINKS REVOLUTIONIZED THE WORLD
I vote #Rose for Bomba K-pop on #KCAMexico (@BLACKPINK)",
