created_at,text,sad
2021-08-02 03:43:56,"RT @StayAllInOne: L-STAY vamos a ponernos las pilas y hagamos tendencia los HTs en español también

Respondan con los nombres de los chicos…",
2021-08-02 03:09:53,"@SPEARBZRP @yeny51623543 Enamórate más 

Un obsequio para stay 

https://t.co/qB10xXuQnz

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids",
2021-08-02 03:01:08,"RT @fefilvsu: A mi? 
Me gustaría tener la buena postura que tiene Felix

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids ht…",
2021-08-02 02:51:34,"RT @stayvillesp: Mensajes y actualizaciones de los chicos por lo que vamos del día ^^♡

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야…",
2021-08-02 02:51:25,"RT @imlittlestar9: Somos el fandom más afortunado de todos. No solo staneamos a los mejores. También, ellos nos aman mucho y nosotrxs a ell…",
2021-08-02 02:31:13,"Stay... gracias por todo, de verdad, me encanta haberme unido a ésta familia, ustedes y skz me hacen felices, las quiero❣️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ #스테이는_3살_OH야
#STAYniversario #3AñosJuntoASKZ 
@Stray_Kids 

https://t.co/XQBTLD99f8",
2021-08-02 02:29:11,"STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids



Se me olvidó subirla en la mañana🤭 https://t.co/gBxzGSj8NE",
2021-08-02 02:28:37,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-02 02:25:09,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-02 02:19:26,"RT @fefilvsu: A mi? 
Me gustaría tener la buena postura que tiene Felix

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids ht…",
2021-08-02 02:19:21,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-02 02:18:55,"RT @ukeli1308: Bueno, como prometí está es una canción que escribí para Bang Chan, pero que por error se borró de mi Twitter.

Ahora es un…",
2021-08-02 02:14:42,"RT @fefilvsu: A mi? 
Me gustaría tener la buena postura que tiene Felix

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids ht…",
2021-08-02 02:14:22,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-02 02:13:17,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-02 02:07:49,"Yo, mi mejor amiga y mi hermana festejamos nuestro cumpleaños como Stay ❣️
I’m SO HAPPY!  @Stray_Kids #Lov3STAYwithSKZ STAY 3RD ANNIVERSARY #스테이는_3살_OH야 #STAY3rdBirthdayParty #STAYniversario https://t.co/tKdb7nGIdq",
2021-08-02 01:56:14,"RT @ukeli1308: Bueno, como prometí está es una canción que escribí para Bang Chan, pero que por error se borró de mi Twitter.

Ahora es un…",
2021-08-02 01:46:15,"RT @ukeli1308: Bueno, como prometí está es una canción que escribí para Bang Chan, pero que por error se borró de mi Twitter.

Ahora es un…",
2021-08-02 01:45:49,"RT @ukeli1308: Bueno, como prometí está es una canción que escribí para Bang Chan, pero que por error se borró de mi Twitter.

Ahora es un…",
2021-08-02 01:44:30,"RT @chrisdimples_: - por qué tan elegante homero?
- en 30min es el live ot8 de stray kids, muchacho. 

STAY 3RD ANNIVERSARY
#Lov3STAYwithSK…",
2021-08-02 01:44:26,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-02 01:41:47,"RT @cutiehyunjiin: ""No importa la edad que tengas, si eres un niño o una niña o quien sea que elijas ser, no importa de dónde seas. todos s…",
2021-08-02 01:36:52,"@andyloves_skz @strabekidz @jeonginatron @lcgp_sweetheart @iLOVCH4NNIE @hug4jinnie @irockinnie @Seunglixxikitos @bmejisng @leeknowsaurio @linobesito @ILUVH4NNiE @iF0RHYUNGS @ilovemiin_ @bbokprtty @x_danjeon_x @stayvillesp @Ba_BangJi @tsybest @hyunscrr @urdhabit_24 Etiquetame siempre que quieras 

Un obsequio para stay 

https://t.co/qB10xXuQnz

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids",
2021-08-02 01:33:05,"RT @milalde: @StayAllInOne @Stray_Kids Justo con esta canción me atraparon ❤Ahora no puedo vivir sin ellos

STAY 3RD ANNIVERSARY
#Lov3STAY…",
2021-08-02 01:32:44,"RT @ukeli1308: Bueno, como prometí está es una canción que escribí para Bang Chan, pero que por error se borró de mi Twitter.

Ahora es un…",
2021-08-02 01:31:45,"Para finalizar el día, esperemos seguir viéndonos por muchos muchos años más 

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids

https://t.co/nm0L10lSqo",
2021-08-02 01:18:54,"RT @skzlatamproject: Stay, ¿desde hace cuanto estás en el fandom? 
Responde con lo siguiente:

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_…",
2021-08-02 01:17:37,"RT @Skzluvsstay:  resiviste un paquete de Skz 

: Hola stay!! Esperamos que estés bien!!. Te hemos enviado pequeños regalos por el anive…",
2021-08-02 01:11:27,"RT @_StrayKidsPeru: Esperamos de todo corazón que participen en nuestros próximos proyectos, actualmente tenemos 3 por el cumpleaños de nue…",
2021-08-02 01:06:34,"RT @_StrayKidsPeru: Esperamos de todo corazón que participen en nuestros próximos proyectos, actualmente tenemos 3 por el cumpleaños de nue…",
2021-08-02 01:06:07,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-02 00:55:53,"RT @skzlatamproject: Stay, ¿desde hace cuanto estás en el fandom? 
Responde con lo siguiente:

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_…",
2021-08-02 00:55:32,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-02 00:46:19,"Esperamos de todo corazón que participen en nuestros próximos proyectos, actualmente tenemos 3 por el cumpleaños de nuestro Changbinnie❤️Si desean participar pueden mandar un mensaje a @Changbin_Peru 

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ #스테이는_3살_OH야",
2021-08-02 00:42:01,"@skzlatamproject @Stray_Kids 20/08/2020, había escuchado sobre ellos antes pero no les tomé mucho interés, no hasta que lanzaron God's Menu, desde ese día vengo conociendo a 8 chicos increíbles que cambiaron mi vida, pero para mejor ♡
STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids https://t.co/LELb7W8rqm",
2021-08-02 00:36:00,"RT @dxrberry: Yo? Yo estoy llorando

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids https://t.co/hWvxLmTS0r",
2021-08-02 00:35:50,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-02 00:24:31,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-02 00:22:17,"RT @stayvillesp: Mensajes y actualizaciones de los chicos por lo que vamos del día ^^♡

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야…",
2021-08-02 00:20:06,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-02 00:19:36,"RT @chrisdimples_: - por qué tan elegante homero?
- en 30min es el live ot8 de stray kids, muchacho. 

STAY 3RD ANNIVERSARY
#Lov3STAYwithSK…",
2021-08-02 00:18:49,"RT @lixievoices: SI YO LLORÉ USTEDES TAMBIÉN 

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids
https://t.co/sW6nM0QWsV",
2021-08-01 23:50:49,"RT @skzlatamproject: Han:

(Nota de voz cantando la canción de feliz cumpleaños en coreano)

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살…",
2021-08-01 23:45:06,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 23:45:03,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-01 23:33:14,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 23:30:34,"RT @chrisdimples_: - por qué tan elegante homero?
- en 30min es el live ot8 de stray kids, muchacho. 

STAY 3RD ANNIVERSARY
#Lov3STAYwithSK…",
2021-08-01 23:25:41,"@IdcTatiana Los amo mucho y a stay también 

Un obsequio para stay 

https://t.co/qB10xXuQnz

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids",
2021-08-01 23:24:41,"@ukeli1308 @Stray_Kids Feliz día!! 🥰

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids",
2021-08-01 23:23:40,"RT @fefilvsu: A mi? 
Me gustaría tener la buena postura que tiene Felix

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids ht…",
2021-08-01 23:23:23,"@mir_skznuna @Stray_Kids Awww muchas gracias por escucharla 🥰 feliz día 

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids",
2021-08-01 23:22:38,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-01 23:15:36,"Llego tarde ,pero llego!

¡Felicidades STAY ! Por dejar que estos maravillosos chicos sean parte de tú vida ❤

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids https://t.co/MrGKn27ju5",
2021-08-01 23:10:06,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-01 23:08:27,"RT @lixievoices: SI YO LLORÉ USTEDES TAMBIÉN 

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids
https://t.co/sW6nM0QWsV",
2021-08-01 23:08:13,"RT @jaavbee: nunca me sentí tan querida como en el momento q decidí entrar a este fandom 

STAY 3RD ANNIVERSARY #Lov3STAYwithSKZ #스테이는_3살_O…",
2021-08-01 22:59:14,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 22:47:39,"RT @StaybeliveSKZ8: Ayer me vacuné, hoy tengo fiebre y casi no me puedo mover
Pero saben por qué lo hice?

Para que pronto bangchan y felix…",
2021-08-01 22:43:42,"RT @dxrberry: Yo? Yo estoy llorando

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids https://t.co/hWvxLmTS0r",
2021-08-01 22:43:33,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-01 22:42:36,"RT @imlittlestar9: Sí, mi lugar seguro se encuentra donde están seis coreanos y dos australianos❤️

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#…",
2021-08-01 22:39:07,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 22:38:10,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 22:38:04,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 22:37:19,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 22:36:32,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 #STAY A LLEGADO EL DÍA ♡ !!
Nos vemos hoy a las 5:30pm.🤗

Recuerda revisar tu correo…",
2021-08-01 22:36:16,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 22:35:46,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 22:32:53,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 22:30:57,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 22:29:49,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y…",
2021-08-01 22:29:01,"『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 STAY en unos momentos comenzamos nuestra reunión ♡ !! 

Recuerda revisar tu correo y entrar al link que te hemos enviado para acceder a nuestra reunión  
 
 PROYECTO DEL BANNER  https://t.co/JpRn95HRY0 

Te esperamos🥳 https://t.co/lW8GcJN0jB",
2021-08-01 22:28:45,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 #STAY A LLEGADO EL DÍA ♡ !!
Nos vemos hoy a las 5:30pm.🤗

Recuerda revisar tu correo…",
2021-08-01 22:26:50,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 #STAY A LLEGADO EL DÍA ♡ !!
Nos vemos hoy a las 5:30pm.🤗

Recuerda revisar tu correo…",
2021-08-01 22:24:43,"RT @jaavbee: nunca me sentí tan querida como en el momento q decidí entrar a este fandom 

STAY 3RD ANNIVERSARY #Lov3STAYwithSKZ #스테이는_3살_O…",
2021-08-01 22:12:09,"Gracias por existir y hacer la vida de Stay más feliz 

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids https://t.co/cX5eWXtAgc https://t.co/IW7NU2XQpC",
2021-08-01 21:03:01,"RT @bonitolix: los amo mucho mis nenes son todo para mi

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids 
 https://t.co/bLi…",
2021-08-01 21:02:01,"RT @cutiehyunjiin: Estoy orgullosa de pertenecer al fandom y haber conocido gente tan linda. Tanto skz como stay, siempre estuvieron ahí y…",
2021-08-01 21:00:58,"RT @lixievoices: SI YO LLORÉ USTEDES TAMBIÉN 

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids
https://t.co/sW6nM0QWsV",
2021-08-01 21:00:15,"RT @StrayKidsPeru: 『 HAPPY STAY 3RD ANNIVERSARY ♡』 

 #STAY A LLEGADO EL DÍA ♡ !!
Nos vemos hoy a las 5:30pm.🤗

Recuerda revisar tu correo…",
2021-08-01 20:59:52,"RT @cutiehyunjiin: ""No importa la edad que tengas, si eres un niño o una niña o quien sea que elijas ser, no importa de dónde seas. todos s…",
2021-08-01 20:59:37,"RT @dxrberry: Yo? Yo estoy llorando

STAY 3RD ANNIVERSARY
#Lov3STAYwithSKZ
#스테이는_3살_OH야 
@Stray_Kids https://t.co/hWvxLmTS0r",
