created_at,text,sad
2021-08-02 05:09:17,@RevistaSemana ... solo en Colombia un hecho tan tan grave pasa casi que inadvertido gracias a unos PERIODISTAS PREPAGOS que inmediatamente salieron a ridiculizar la noticia... “LA W” ESTÁ EN MORA DE DISCULPARSE CON EL PAÍS... y aún nada🤢🤢🤢,
2021-08-02 05:08:29,@R_SalazarTD Q gran título de entrenador tienes!!! Datos Salazar,
2021-08-02 05:08:16,"¡PROYECCIÓN DE MEDALLA! 🤩

Tamara Salazar compite esta madrugada en los 87 kg . Ella está lista para dejar su nombre marcado en una medalla de estos Juegos Olímpicos. 

¡POR ECUADOR!  https://t.co/IsIUXoncDU",
2021-08-02 05:08:06,@salazar_pachon @jarizabaletaf Con terroristas no se negocia. Pilar fundamental de toda civilización.,
2021-08-02 05:07:42,@amolosdulces97 ANDA RECOGE TU RTAPER NO MAS COJUDA SIN DIGNIDAD NI AMOR PROPIO. #PuntoFinal Panorama #VigilaTuKarpaIdiota Natalia #VacanciaPedroCastillo Lárgate Hernando de Soto Salazar Vanessa Terkes Monedero Salazar Jorge del Castillo #TerrorismoNuncaMas Montesinos Fujimoristas SUTEP https://t.co/mRyHQ4Y5JP,
2021-08-02 05:07:01,este fin aprendí a valorar mi vida gracias a un brownie ,
2021-08-02 05:06:23,"Olimpiadas Tokio 2020
2/Ago 01:50 Tamara Salazar Arce  (Ecuador #TamaraSalazarArce) - Halterofilia Mujeres 87kg Grupo A:
https://t.co/9GdTKY8fuo
Horarios:
https://t.co/gUaJiUAkmy
#JuegosOlímpicos #OlympicGames #Deporte",
2021-08-02 05:04:26,"Tamara Salazar ❤️

#JuegosOlimpicos #Ecuador",
2021-08-02 05:04:14,"@Ricardo_1860 No entiendo como el hijo de Federico salazar tiene la cara de hablar de gente sin experiencia, que sin vergüenza",
2021-08-02 05:04:08,@JORGEMILHE Viste Dajome saco oro!! Te había dicho.. que podía! Estarás para los 81kg de mujeres?... En esa la ecuatoriana Salazar tiene chances a pelear medalla! Saludos,
2021-08-02 05:04:07,Cada domingo me sale alguna pachotada del hijo de Salazar y tengo que pasar de frente pq me da VERGÜENZA ajena escucharlo hablar,
2021-08-02 05:03:58,"@EnriqueGomezDu1 @somosrmpa @villafranca_p @rmartinelli @camachocastro @as_salazar @FMolanier @almacortes20 @JoseRaulMulino @DinoskaDinoska Yinela y su equipo se preparan junto a al partido RM para ganar las elecciones en el 2024, Costa Abajo apoya a @rmartinelli  súmate tu también !!!",
2021-08-02 05:03:56,@DiegoCadenaLaw @AlvaroUribeVel ... por eso la Corte: 🤐🤐🤐,
2021-08-02 05:03:37,Mi mamá dice que no sirvo para nada. No me ah visto empinarme una botella como remolino.,
2021-08-02 05:03:23,Solo quiero despertar y alegrarme con una medalla  de Tamara Salazar.,
2021-08-02 05:03:17,"El gabinete es pésimo, muchos mi opinión, deben ser interpelados ya que no tiene la experiencia o conocimiento para hacerse cargo de sus carteras. Aún así, es difamación lo que ha hecho el hijo de Federico Salazar, se le vienen denuncias seguro.",
2021-08-02 05:03:09,@jarizabaletaf ... acordado??? En ese acuerdo solo negociaron YO CON YO... nadie más!!!... fue pelea de oveja amarrada contra hienas hambrientas... y aún así se les ganó el plebiscito y los tramposos: SE LO ROBARON!!!.🤢🤢🤢,
2021-08-02 05:03:05,@pedroadrianogc Tamara Salazar pesas...en 2 horas,
2021-08-02 05:02:19,"ⓘ Este usuario entra en vigilia por Tamara Salazar. 

#EnElCorazónDelEcuador https://t.co/qUh5RcyCKf",
2021-08-02 05:01:06,Para quienes no la conocen aún: Tamara Salazar https://t.co/zwzYeEwu2H,
2021-08-02 05:00:05,@alondramariab Quédate hay que ver a Tamara Salazar.,
2021-08-02 05:00:00,"Agenda (1/2)
01h50: Pesas (F) | Salazar - Ecuador
03h00: Voley de playa | Lupo y Nicolai - Italia
06h00: Disco (F) | Osakue - Italia
07h15: 3000m obstáculos | Zoghlami - Italia
07h40: 5000m (F) | Battocletti - Italia",
2021-08-02 04:59:59,"@antoniomendieta @Raulinvasor @Antonio_Nelli @TigresOficial Creo que hoy da un análisis del juego, correcto. El juego es otro después de la expulsion de Pizarro, pudo ser autocritico y decir que le faltó ajustase me mejor, pero excusa como tal no la veo.",
2021-08-02 04:59:20,"@Aniux9 @Morena168399456 @andres_olguin @salazar_trejo @Viri_Rios Eso si que fue una cortina de humo. Una semana de ""Prision domiciliaria"". La consulta solo tiene el fin de crear presion social y ya empezo a efervesor los animos de la sociedad. Algunos andan temerosos, pues ya no podran decir que es persecucion politica.",
2021-08-02 04:59:06,"@Gabospeed94 @salazar_nunez_s Aveces es necesario leer uno, porque eso tiene una pauta marcada. Lo que en swicher pondrán tienes que decir, o vas a presentar algo de Castillo y en producción pondrán alguien cantando? ",
2021-08-02 04:58:51,"@noticiAmerica 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣

Siempre pensé que Federico Salazar, es un gran imbécil pero, mirando a su hijo me retracto. Su hijo es mucho más imbécil. Definitivamente el alumno supera al maestro. 🤡🤡🤡",
2021-08-02 04:58:42,"Por cierto, a la 1:30 van en vivo Doña Peta, Serrano y el Chipi con los invitados de las pesas para la competencia de Tamara Salazar https://t.co/y3N8aOmhc1",
2021-08-02 04:58:03,"Hoy solo pude dormir 3 horas pero le estaremos haciendo el aguante a Tamara Salazar  ella también tiene posibilidades de podio. VAMOS HOY NO SE DUERME

#JuegosOlimpicos 
#Tokyo2020",
2021-08-02 04:57:46,"Otra cosa vergonzosa del hijo de Federico Salazar es que lo conocen por ser ""hijo de"", ni siquiera se acuerdan de su nombre pq no tiene meritos propios, todo lo q tiene es por vara.",
2021-08-02 04:57:25,"¡¡ ATENCIÓN ECUADOR !!

A la 01:50 compite Tamara Salazar 

 Modalidad: Halterofilia | Final Femenil (87 kg)

Hay muchas esperanzas puestas en la atleta ecuatoriana. ¿Ya pusieron la alarma, o no se van a dormir?

Link: https://t.co/PVpkBtQ26N https://t.co/z1iivVk9Fi",
2021-08-02 04:57:19,"#Tokyo2020 | Tamara Salazar compite desde la 01:50am en #Weightlifting en los #JuegosOlímpicos

#LaRadioQueSiempreEstá https://t.co/eV170WO8rE",
2021-08-02 04:56:25,"@LuisCera10 @Morena168399456 @andres_olguin @salazar_trejo @Viri_Rios Eso no lo dudo , pero entonces de qué se puede se puede , armando un caso duro con pruebas seguimiento etc.. o modificar  las prescripciones...pero en resumen SI SE PUDO Y SI SU PUEDE ENJUICIAR A UN EXPRESIDENTE... https://t.co/NsJlqdraaz",
2021-08-02 04:55:44,@jgradosp @salazar_nunez_s Sr. Con esa foto nosotros no nos atreveriamos a criticar a Keiko. https://t.co/zxP0KfY7r4,
2021-08-02 04:55:42,"La carchense Tamara Salazar busca un debut histórico en las Olimpiadas. Actualmente, tiene la tercera mejor marca mundial en su categoría (87 kilogramos). Fuente ⁦⁦@Primicias⁩
Compite a la 01h50 horario #Ecuador #tokio2020

 https://t.co/C0I5jPx4HF",
2021-08-02 04:55:26,"@salazar_yaved Hijo de tu pinche madre, si te estoy diciendo ah ti es por algo
Pero ya chinga tu madre",
2021-08-02 04:54:50,@josuerueve @GustavoBolivar @GustavoBolivar es una ofensa en sí misma🤢🤢🤢,
2021-08-02 04:54:48,"Así despide Rolando Salazar a Josemith Bermúdez: No hay manera de entender los milagros. Quizás no tenemos que invocarlos cuando de alguna manera están sucediendo.

https://t.co/wHS1eE6uvD",
2021-08-02 04:54:44,"https://t.co/9LUFtegPkw 

#Weightlifting  Tamara Salazar #Ecu #OlimpiadasTokio2020",
2021-08-02 04:54:29,"@Morena168399456 @andres_olguin @salazar_trejo @Viri_Rios Te faltaron los ""detectores moleculares"" los cuales según te detectaban droga a 700 mts ☺️ se gastaron cerca de 450 millones de pesos  pobre Sedena, pasabas por el puente internacional y apuntaban al auto con la antena, mientras en EU hacían revisiones con perros.",
2021-08-02 04:54:15,"@2021_popular @salazar_nunez_s Se ve que el muchacho obedece bien las órdenes, que le queda ya que sin su papá sobón no es nada. Con Keiko estaríamos peor, menos mal nunca será presidenta",
2021-08-02 04:54:13,@emanuelefrance6 sabrá este come moco que su papa Federico Salazar fue parte de esa prensa de los 90s que le tapaba todos los actos de corrupción y asesinatos al dictador Alberto Fujimori y su asesor Vladimiro montesinos. https://t.co/stpinx6rtD,
2021-08-02 04:53:22,Tamara Salazar 🤩♥️,
2021-08-02 04:53:17,"@jbagbam @CorteSupremaJ @DCoronell D🤥NIEL  C🤥RONELL!!!... por qué te sacan de todos lados???🤢🤢🤢. 
Ah!!! @DCoronell: seguimos esperando tus respuestas a @EIExpedienteCol sobre tu obscuro pasado... o presente???🤢🤢🤢",
2021-08-02 04:53:12,"No puedo, compite Tamara Salazar",
2021-08-02 04:52:50,"Quien va a ver en vivo la competencia de Tamara Salazar 1:50am 

Hago live!!! https://t.co/AKAUzslLCY",
2021-08-02 04:52:43,"@salazar_maipi Hola Maipi es que justamente eso está en disputa por que hay indicios que hacen tener duda de si Francisco sabía o no. Si ves la segunda parte que hice sobre Luis Felipe Jiménez, él me dio alguna información sobre Arias. Gracias por leer y un abrazo. ✌️",
2021-08-02 04:52:39,Not Federico Salazar diciendo que están metiendo gente con poca experiencia en los ministerios...........,
2021-08-02 04:51:50,"Literalmente estoy que me duermo, los JJOO han destrozado mis horas de dormir, pero tengo miedo de quedarme dormido y no ver competir a Tamara Salazar.",
2021-08-02 04:51:47,"@AnaSofidBosques @salazar_trejo @Viri_Rios Claro q molesta, pero no te cala más q el pequeño presidente no haya podido recuperar la lana y poner en la cárcel a los responsables y hoy pregunte si deveras quieres q haga algo al respect Me emputa más q el cabron q si puede hacer algo hoy c haga pndjo y ustedes solo aplauden",
2021-08-02 04:51:41,"Con Tamara Salazar esta madrugada podemos alcanzar mínimo el bronce, lo digo antes que participe, son las 23h50 del 1 de agosto https://t.co/fr73amVAvK",
2021-08-02 04:51:37,@LuisEduJacome En este mismo enlace se puede ver a la ecuatoriana Salazar ?,
2021-08-02 04:50:16,@b_jadier Dile al bonais que juegue contigo,
