created_at,text,sad
2021-08-02 04:19:20,"RT @Caretas:  Iber Maravi Olarte estuvo señalado como activista del grupo de fachada de Sendero Luminoso en Ayacucho. Además, en 2018, rec…",
2021-08-02 04:19:18,"RT @andradpe: @SUTEP_Peru Comenzó a andar Sendero en el Ministerio de Trabajo, reconocen a Fenatep, organismo de fachada de Sendero Luminoso",
2021-08-02 04:19:15,RT @Rorayjibo: Multitudinaria manifestación democrática en el Campo de Marte. No al gabinete pro terruco de Bellido. Debajo del sombrero se…,
2021-08-02 04:19:14,"@MigueDnB Bueno, ahí tu, para mi si son sendero, pero, como dijo ese hijo de p de abimael, ""Esto (la ideología) queda en los demás"" ahí lo tienes al Bellido, si no es con armas, ahora es desde ahí",
2021-08-02 04:19:13,"RT @Malapalabrero: #Urgente Sebastián Salazar ha afirmado que se han juntado en el gabinete los guerrilleros del Sesenta, con MRTA y Sender…",
2021-08-02 04:19:11,@Politica_LR @larepublica_pe Pobrecito él está en otro sendero y ya reblandecido no aporta al debate político,
2021-08-02 04:19:04,"RT @Malapalabrero: #Urgente Sebastián Salazar ha afirmado que se han juntado en el gabinete los guerrilleros del Sesenta, con MRTA y Sender…",
2021-08-02 04:18:42,"RT @Malapalabrero: #Urgente Sebastián Salazar ha afirmado que se han juntado en el gabinete los guerrilleros del Sesenta, con MRTA y Sender…",
2021-08-02 04:18:31,"@Cicmty hola no hay luz en sendero los semáforos no funcionan ,  colonia valle del canada @gob_Escobedo",
2021-08-02 04:18:09,"RT @alvarosarco: La @PoliciaPeru que fue asesinada y mutilada por Sendero Luminoso, hoy defiende a ese grupo terrorista de la ciudadanía in…",
2021-08-02 04:18:08,"RT @oapaza13: #Asqueroso
El hijo de Federico Salazar en Cuarto Poder: ""este gabinete reúne a los guerrilleros de los 60s, al MRTA y a Sende…",
2021-08-02 04:17:53,"RT @Malapalabrero: #Urgente Sebastián Salazar ha afirmado que se han juntado en el gabinete los guerrilleros del Sesenta, con MRTA y Sender…",
2021-08-02 04:17:47,RT @RecuerdosPeru: [1988] @AlanGarciaPeru alabando la mística de Sendero Luminoso https://t.co/CJ52iRJqL5,
2021-08-02 04:17:47,RT @hermanntertsch: “El flamante gobierno” de Castillo…” llama la colaboradora de ABC a una colección de comunistas con conexiones terroris…,
2021-08-02 04:17:41,RT @JackyMc10: Sindicato  Pro  Sendero  “CONARE SUTEP” es  reconocido  en  el magisterio  en  tiempo  récord  por  el Ministro  de Trabajo.…,
2021-08-02 04:17:41,"RT @Giubetz: Decian q con Castillo iba a cambiar la prensa, sin embargo estos mismos siguen difamando y x lo q leo n el canal 4 estan dicie…",
2021-08-02 04:17:40,"RT @jairmejiaguerr1: @juan_pari Cierto, terrorismo no solo es el que nos hizo sendero, sino también los gobiernos de turnos que se sucedier…",
2021-08-02 04:17:34,"RT @CynthiaRivarol5: Que patéticos se ven haciendo sus marchitas para vacar al Presidente Castillo, y así dicen ser demócratas, todo esto m…",
