created_at,text,sad
2021-08-02 03:16:44,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:16:21,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:16:21,"RT @Malapalabrero: Canal N permite el discurso de odio del terruqueo y mentiras de Jorge Villena (PPC), Juan Sheput (Ex ministro de Merino)…",
2021-08-02 03:16:19,"RT @LaSalitadelSin: Jajajajajajaajajajajajajajaaj el vividor de toda la vida JORGE DEL CASTILLO del APRA y Juan Sheput, encabezando la marc…",
2021-08-02 03:15:36,"RT @kungfucandy5: Se viene el baby Sheput entonces?

Jajaja socorrrooooooo",
2021-08-02 03:15:25,"Algunos periodistas dicen ""Los ministros de Castillo no tienen experiencia para el cargo"" ¿Qué quieren? Un Carlos Bruce un Juan Sheput un Jorge Del Castillo un Pedro Cateriano en conclusión ""Los mismos de siempre""",
2021-08-02 03:15:02,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:14:41,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:14:29,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:14:14,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:14:09,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:14:02,"RT @AngelDemetrio1: @noticiAmerica Es marcha pierde credibilidad mientras sean, Jorge del Castillo, Lourdes Flores, Juan Sheput u otro polí…",
2021-08-02 03:13:51,RT @JERCBM: Canal N transmite la marcha contra el gobierno y se ve a puro políticos q convivieron y avalaron la corrupción por años de expr…,
2021-08-02 03:13:44,"RT @elblogdebinario: ""El único canal democrático es Willax""
¿Quién lo dice?
Juan Sheput 🤡",
2021-08-02 03:13:38,"RT @diariocorreo: Juan Sheput: “Si Pedro Castillo insiste en un gabinete cuestionado, el Congreso tiene que vacarlo” https://t.co/Om7q663Do4",
2021-08-02 03:13:27,"RT @colectivoUD: Juan Sheput recordó que cuando Perú Posible le reclamó a Francke por el abierto copamiento de FONCODES, éste ""se hizo la v…",
2021-08-02 03:13:25,"RT @diariocorreo: Juan Sheput: “Si Pedro Castillo insiste en un gabinete cuestionado, el Congreso tiene que vacarlo” https://t.co/Om7q663Do4",
2021-08-02 03:13:11,"RT @KaremDignidad: Imagino que Canal N debe estar extrañando ver a Keiko en el escenario,
Ni modo se tienen que conformar con ver a la emin…",
2021-08-02 03:13:03,"RT @aspauzarazuri: El PPC está en la UCI
El Apra se suicidó hace poco
Perú Patria Segura sacó 0.42%
Acción Popular recicla impresentables
S…",
2021-08-02 03:12:48,"RT @Malapalabrero: Canal N permite el discurso de odio del terruqueo y mentiras de Jorge Villena (PPC), Juan Sheput (Ex ministro de Merino)…",
2021-08-02 03:12:13,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:12:13,"RT @willaxtv: #RespetaMiVoto | Juan Sheput: “A Guido Bellido no hay que darle la confianza, al adversario se le aniquila desde el origen” h…",
2021-08-02 03:12:11,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:12:05,@JuanSheput Es como poner a sheput en el ministerio que sea. Algo así?,
2021-08-02 03:12:05,RT @JERCBM: Canal N transmite la marcha contra el gobierno y se ve a puro políticos q convivieron y avalaron la corrupción por años de expr…,
2021-08-02 03:11:45,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:10:46,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:10:34,@diariocorreo Pobre sheput no supera que lo hayan botado del parlamento,
2021-08-02 03:10:30,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:10:11,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:10:04,"RT @latendenciape: #ESTENDENCIA
#VacanciaPedroCastillo 

Entre los oradores de esta marcha organizada por los mismos colectivos que pidiero…",
2021-08-02 03:10:02,"RT @aspauzarazuri: El PPC está en la UCI
El Apra se suicidó hace poco
Perú Patria Segura sacó 0.42%
Acción Popular recicla impresentables
S…",
2021-08-02 03:09:00,"RT @LaSalitadelSin: Jajajajajajaajajajajajajajaaj el vividor de toda la vida JORGE DEL CASTILLO del APRA y Juan Sheput, encabezando la marc…",
2021-08-02 03:08:58,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:08:51,RT @JERCBM: Canal N transmite la marcha contra el gobierno y se ve a puro políticos q convivieron y avalaron la corrupción por años de expr…,
2021-08-02 03:08:40,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:08:35,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:08:27,"@MarcoAvilesH Cateriano, Sheput, del castillo, el charapa aprista indultador de narcos, martens,... Rafael Rey,...",
2021-08-02 03:08:01,"RT @LaSalitadelSin: Jajajajajajaajajajajajajajaaj el vividor de toda la vida JORGE DEL CASTILLO del APRA y Juan Sheput, encabezando la marc…",
2021-08-02 03:07:38,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:07:24,"RT @diariocorreo: Juan Sheput: “Si Pedro Castillo insiste en un gabinete cuestionado, el Congreso tiene que vacarlo” https://t.co/Om7q663Do4",
2021-08-02 03:07:20,@AMoncada_C Este fin de temporada Sheput se besara con She-Sheput. Se viene el multiverso!,
2021-08-02 03:07:18,"RT @diariocorreo: Juan Sheput: “Si Pedro Castillo insiste en un gabinete cuestionado, el Congreso tiene que vacarlo” https://t.co/Om7q663Do4",
2021-08-02 03:07:13,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:07:01,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:06:58,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:06:35,RT @JERCBM: Canal N transmite la marcha contra el gobierno y se ve a puro políticos q convivieron y avalaron la corrupción por años de expr…,
2021-08-02 03:06:28,"@MarcoAvilesH Sheput, Nava, Rey, Del Castillo, y un largo etc",
2021-08-02 03:06:22,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:06:16,RT @JERCBM: Canal N transmite la marcha contra el gobierno y se ve a puro políticos q convivieron y avalaron la corrupción por años de expr…,
2021-08-02 03:06:16,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:06:05,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:05:57,RT @JERCBM: Canal N transmite la marcha contra el gobierno y se ve a puro políticos q convivieron y avalaron la corrupción por años de expr…,
2021-08-02 03:04:48,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:04:42,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:04:36,"RT @LaSalitadelSin: Jajajajajajaajajajajajajajaaj el vividor de toda la vida JORGE DEL CASTILLO del APRA y Juan Sheput, encabezando la marc…",
2021-08-02 03:04:35,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:04:28,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:04:24,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:04:23,"RT @IvoLuisP: @unchasqui #VigilaTuKarpaIdiota
@MTC_GobPeru @congresoperu
Los honorables!! Jajajajaajajajajaja
Seguidores de sheput xD",
2021-08-02 03:04:18,"RT @willaxtv: #RespetaMiVoto | Juan Sheput: “A Guido Bellido no hay que darle la confianza, al adversario se le aniquila desde el origen” h…",
2021-08-02 03:03:44,"@unchasqui #VigilaTuKarpaIdiota
@MTC_GobPeru @congresoperu
Los honorables!! Jajajajaajajajajaja
Seguidores de sheput xD",
2021-08-02 03:03:29,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:03:29,@LaSalitadelSin Sheput está así por que no le dieron ningún ministerio,
2021-08-02 03:03:25,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:03:22,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:03:07,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:03:05,"RT @diariocorreo: Juan Sheput: “Si Pedro Castillo insiste en un gabinete cuestionado, el Congreso tiene que vacarlo” https://t.co/Om7q663Do4",
2021-08-02 03:03:02,"RT @willaxtv: #RespetaMiVoto | Juan Sheput: “A Guido Bellido no hay que darle la confianza, al adversario se le aniquila desde el origen” h…",
2021-08-02 03:02:33,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:02:22,RT @JERCBM: Canal N transmite la marcha contra el gobierno y se ve a puro políticos q convivieron y avalaron la corrupción por años de expr…,
2021-08-02 03:02:17,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:01:57,"RT @aspauzarazuri: El PPC está en la UCI
El Apra se suicidó hace poco
Perú Patria Segura sacó 0.42%
Acción Popular recicla impresentables
S…",
2021-08-02 03:01:17,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:00:58,RT @carlosc35964125: Me gustó la presentación del Sr. Juan Sheput y así también la de Lourdes Flores Nano . Juan Sheput es un buen político…,
2021-08-02 03:00:55,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:00:54,"RT @willaxtv: #RespetaMiVoto | Juan Sheput: “A Guido Bellido no hay que darle la confianza, al adversario se le aniquila desde el origen” h…",
2021-08-02 03:00:42,"RT @colectivoUD: Sobre esto, Juan Sheput reveló que cuando nombraron a Francke presidente de FONCODES fue separado 9 meses después porque “…",
2021-08-02 03:00:37,"RT @aspauzarazuri: El PPC está en la UCI
El Apra se suicidó hace poco
Perú Patria Segura sacó 0.42%
Acción Popular recicla impresentables
S…",
2021-08-02 03:00:35,"RT @SalasZ_AA: Toda marcha y manifestación pacífica siempre será válida, pero cuando pones como voceros y oradores a Nidia Vilchez, Del Cas…",
2021-08-02 03:00:22,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 03:00:16,"@LaSalitadelSin Esa gente...del Castillo, Sheput, Lourdes...cadáveres políticos.",
2021-08-02 03:00:14,RT @peru21noticias: Vanessa Terkes y excongresista Juan Sheput son captados juntos a altas horas de la noche | VIDEO https://t.co/7o6dRvpCB5,
2021-08-02 02:59:54,"RT @AdrianzenEduard: La protesta es solo en Lima. Y encabezada por los mismos que chillaban ""fraude"". No tienen otros líderes. OK. Ya
Si cr…",
2021-08-02 02:59:41,RT @JERCBM: Canal N transmite la marcha contra el gobierno y se ve a puro políticos q convivieron y avalaron la corrupción por años de expr…,
