created_at,text,sad
2021-08-02 03:30:19,"RT @latamshinee: [INFO] 010821

Así están promocionando y exhibiendo SUPERSTAR en Tower Récords, sucursal de Shibuya.♡

#SHINee #샤이니  @SHI…",
2021-08-02 03:30:17,"RT @0710NaydelimP: Bueno no se que poner...Vieron las fotos que gatito nos subió hoy en weverse y en twitter?? ♡•♡ 

I vote (@BTS_twt) BTS…",
2021-08-02 03:30:14,"RT @Angela79587298: No se como llegó esto a mi galería, pero lo agradezco 

I vote (@BTS_twt) BTS for 2021 #MTVHottest Superstar. https…",
2021-08-02 03:30:14,"RT @alexapjm_: me encantó este fondo d hobi&lt;333
I vote (@BTS_twt) BTS for 2021 #MTVHottest Superstar. https://t.co/oCI0piSpcW",
2021-08-02 03:30:12,"RT @zulhenestrosa: @_Seokjinmiamor @BTS_twt Me perdí el live de 4 de los miembros, no quiero perderme el de los dos que faltan🥺
I vote (@B…",
2021-08-02 03:30:08,"@yoondidi_ @BTS_twt Aquí mi voto

I vote ( @BTS_twt ) BTS for 2021 #MTVHottest Superstar",
2021-08-02 03:30:06,"Enamorada quedé
I vote (@BTS_twt) BTS for 2021 #MTVHottest Superstar https://t.co/u4YBVhKWqu",
2021-08-02 03:30:03,"RT @jiminiexlt: Stanear a BTS fue la mejor decisión que he tomado en toda mi vida. 

I vote (@BTS_twt) BTS for 2021 #MTVHottest Superstar h…",
2021-08-02 03:30:00,"RT @0710NaydelimP: Bueno no se que poner...Vieron las fotos que gatito nos subió hoy en weverse y en twitter?? ♡•♡ 

I vote (@BTS_twt) BTS…",
2021-08-02 03:30:00,"RT @reyna_hwang05: Jamás voy a soltar esta foto, es q litt
Parecen unos bellos Ángeles 🥰🥰 

I vote ( @BTS_twt ) BTS for 2021 #MTVHottest Su…",
2021-08-02 03:29:52,"RT @Lospiesdetae: Les presento a mi hermosa felicidad 

I vote (@BTS_twt) BTS for 2021 #MTVHottest Superstar https://t.co/fp72gPv1G9",
2021-08-02 03:29:51,"RT @vanggukth: Epiphany es una obra maestra, lo que me ayudó esa canción dios. No  saben apreciar esa joyita.

I vote @BTS_twt BTS for 2021…",
2021-08-02 03:29:50,"RT @wineyngi3: No puedo dejar de ver la foto de la entrevista de los chicos, quede enamorada de todos. 

I vote ( @BTS_twt ) BTS for 2021 #…",
2021-08-02 03:29:50,"RT @alexapjm_: me encantó este fondo d hobi&lt;333
I vote (@BTS_twt) BTS for 2021 #MTVHottest Superstar. https://t.co/oCI0piSpcW",
2021-08-02 03:29:47,"RT @taepistache: no me quiero perder más lives ㅠㅠ

I vote @BTS_twt BTS for 2021 #MTVHottest Superstar https://t.co/I5tZq9iBJD",
2021-08-02 03:29:44,"RT @yoondidi_: Comenten lo de abajo o si no se pierden el próximo live de Jin o Jimin♡

I vote ( @BTS_twt ) BTS for 2021 #MTVHottest Supers…",
2021-08-02 03:29:43,"RT @BSarai7: A menos de 1 mes para que se cumpla un año de este hermoso video que nos regalo Tae del hermoso Jungkook 🥺

I vote ( @BTS_twt…",
2021-08-02 03:29:41,"La razón de mi felicidad diaria 
I vote ( @BTS_twt ) BTS for 2021 #MTVHottest Superstar https://t.co/AnGMlu05CY",
2021-08-02 03:29:38,"RT @92jinlovrss: Dejen su comentario y hoy tendremos live de mimi

I vote ( @BTS_twt ) BTS for 2021 #MTVHottest Superstar",
2021-08-02 03:29:33,"RT @Rita24823170: @wineyngi3 @BTS_twt Estamos de acuerdo que esa foto es arte

I vote (@BTS_twt) BTS for 2021 #MTVHottest Superstar",
2021-08-02 03:29:27,"RT @pasteljuise_pe: VAMOS A SEGUIR VOTANDO ✨

I vote (@BTS_twt) BTS for 2021 #MTVHottest Superstar",
2021-08-02 03:29:26,"Un día más llorando por perderme el live de hobi y yoongi 

I vote (@BTS_twt) BTS for 2021 #MTVHottest Superstar",
2021-08-02 03:29:24,"RT @gukkminluv: Hoseok vistiendo el traje de Dior es superior, confirmen 

I vote (@BTS_twt) BTS for 2021 #MTVHottest Superstar.",
2021-08-02 03:29:20,"RT @k_l0ves_Army: Falta muy poco para que dynamite cumpla un año, para el cumpleaños de jungkook y namjoon pero para mi parece que fue ayer…",
2021-08-02 03:29:17,"RT @SilviaLerma3: @_Seokjinmiamor @BTS_twt Ya he perdido muchos lives de lo chicos así que no me gustaría perderme otro 

I vote (@BTS_twt…",
2021-08-02 03:29:15,"RT @pinkkjymoon: ⓘ Este usuario depende emocionalmente de Bangtan

I vote @BTS_twt BTS for 2021 #MTVHottest Superstar",
2021-08-02 03:29:10,"RT @BSarai7: A menos de 1 mes para que se cumpla un año de este hermoso video que nos regalo Tae del hermoso Jungkook 🥺

I vote ( @BTS_twt…",
2021-08-02 03:29:08,"RT @pinkkjymoon: ⓘ Este usuario depende emocionalmente de Bangtan

I vote @BTS_twt BTS for 2021 #MTVHottest Superstar",
2021-08-02 03:29:06,"RT @taemylife21: Son tan perfectos. No puedo más 
I vote (@BTS_twt) BTS for 2021 #MTVHottest Superstar https://t.co/vSH2hTAN5s",
2021-08-02 03:29:04,"RT @yoobitiny: Rain es una de las mejores old songs de Bangtan, pero no están listos para esa conversación 

I vote (@BTS_twt) BTS for 2021…",
