created_at,text,sad
2021-08-02 04:03:42,RT @RecuerdosPeru: Barata se reunía con Alan Garcia en su casa ahí no vimos pedir transparencia a @Mauriciomulder,
2021-08-02 04:03:37,"RT @oscarmenaflores: Piden más humildad, mas transparencia y desde el primero día que se voto esa ley Boric viene dando explicaciones, publ…",
2021-08-02 04:03:32,RT @jfowks: @SimeonTegel No dijeron lo mismo cuando PPK despachaba en su casa de San Isidro en 2016 y en 2018 [mi comentario no es para jus…,
2021-08-02 04:03:30,"RT @ojosdeuva: De acuerdo con lo todo lo que se le pide al nuevo gobierno: transparencia, ministros bien preparados… solo me hace ruido que…",
2021-08-02 04:03:18,"RT @SimeonTegel: Se me ocurre que al despachar de un edificio privado, el mayor error de Castillo-Cerron ni es la falta de transparencia so…",
2021-08-02 04:03:12,RT @RecuerdosPeru: Barata se reunía con Alan Garcia en su casa ahí no vimos pedir transparencia a @Mauriciomulder,
2021-08-02 04:03:11,RT @martinhidalgo: El problema de transparencia también es de la PCM. El primer ministro Guido Bellido se reunió con la bancada de #PerúLib…,
2021-08-02 04:03:06,"RT @yamilsantoro: Comparto la opinión de @PatoBullrich, a Agustín Rossi lo rajaron del Ministeriobpor tener un gesto de Transparencia y dej…",
2021-08-02 04:03:05,RT @BeatrizBandera3: Nos cuentan que la Casa Real Nos cuesta casi 9 millones de euros al año..pero sabemos que el resto de ministerios tien…,
2021-08-02 04:03:04,"RT @SNietoCastillo: #ConsultaPopular Ejercicio de derechos políticos, democracia directa como complemento de la representativa, transparenc…",
2021-08-02 04:03:03,"RT @viccarranza_pe: Desde Trujillo, a una sola voz, los Apristas iniciamos la lucha contra el gobierno comunista.
Sin transparencia, libe…",
2021-08-02 04:02:53,"RT @ojosdeuva: De acuerdo con lo todo lo que se le pide al nuevo gobierno: transparencia, ministros bien preparados… solo me hace ruido que…",
2021-08-02 04:02:52,Es q ninguno es su amigo y eso es lo que rescato del Gabinete Bellido q NO LE DEBEN NADA A EMPRESARIOS NI A LA PRENSA y podrán trabajar con Transparencia Honestidad y Eficiencia https://t.co/rsFpNaFTcJ,
2021-08-02 04:02:51,"RT @lokaldammert: Cerrón impuso casi todo el gabinete. Nombramiento de Bellido es una provocación, no un acto de buena fe. Poner ministros…",
2021-08-02 04:02:48,"RT @sullama: Ganó con fraude y hoy Pedro Castillo gobierna en la clandestinidad ,despachando en un lugar público, sin registro de sus activ…",
2021-08-02 04:02:43,RT @RecuerdosPeru: Barata se reunía con Alan Garcia en su casa ahí no vimos pedir transparencia a @Mauriciomulder,
2021-08-02 04:02:40,"RT @lokaldammert: Cerrón impuso casi todo el gabinete. Nombramiento de Bellido es una provocación, no un acto de buena fe. Poner ministros…",
2021-08-02 04:02:33,"RT @JuliaCorreaNutt: Medellín requiere con urgencia recuperar su liderazgo en: limpieza, jardines y sostenibilidad, atención a la primera i…",
2021-08-02 04:02:24,"RT @SNietoCastillo: #ConsultaPopular Ejercicio de derechos políticos, democracia directa como complemento de la representativa, transparenc…",
2021-08-02 04:02:21,"@Gestionpe Castillo aprende, tolerable. La transparencia es vital.

Sin embargo

Castillo el criterio y sentido común se está evaluando",
2021-08-02 04:02:20,RT @elvictoriano3: La transparencia de este gobierno es nula. Mas turbia que agua de florero de panteón.,
2021-08-02 04:02:15,RT @littlepipedream: Lo bueno de este gobierno es que la misma existencia y presencia de Pedro Castillo ha hecho que al fin lxs periodistas…,
2021-08-02 04:02:15,RT @martinhidalgo: El problema de transparencia también es de la PCM. El primer ministro Guido Bellido se reunió con la bancada de #PerúLib…,
2021-08-02 04:02:12,"RT @JuanSheput: Recuerdan cuando las ong, esas que usan nombres que recuerdan la transparencia o la ética, cuestionaban a los congresistas…",
2021-08-02 04:02:11,"RT @politicavital: @unchasqui @titowankalaw Lógico .. El tío George es mas sinvergüenza y cara de palo q caracol!!
Recuerdan los PetroAudio…",
2021-08-02 04:02:07,RT @LuzSalgado_R: Las ONGS q viven pontificando sobre TRANSPARENCIA deberían respaldar esta carta o mejor dicho deberían reclamar al Profes…,
2021-08-02 04:02:03,RT @SilvioGramajo: Los resultados que se obtengan en las olimpiadas no deben dejar de lado la exigencia por la transparencia y la rendición…,
2021-08-02 04:02:01,"RT @pequenaluisa: @RecuerdosPeru @Mauriciomulder Ya sabemos lo que hicieron Barata y Garcia, por eso el actual gobierno debe mostrar transp…",
