created_at,text,sad
2021-08-02 03:15:37,"RT @DanielUrresti1: Tupac Amaru fue un revolucionario, no un terrorista. No te atrevas a compararte hdlg https://t.co/v68x0g0cch",
2021-08-02 03:15:14,"RT @DanielUrresti1: Tupac Amaru fue un revolucionario, no un terrorista. No te atrevas a compararte hdlg https://t.co/v68x0g0cch",
2021-08-02 03:13:38,"@diarioojo Bien dicho, dista mucho este gusano con Tupac Amaru",
2021-08-02 03:11:15,"RT @Alioasanchez: La ignorancia es atrevida. El señor Bellido si quiere compararse a alguien que lo haga con su idolo Abimael Guzmán, no en…",
2021-08-02 03:09:02,"RT @elbocononline: Daniel Urresti a Bellido: “Tupac Amaru fue un revolucionario, no un terrorista. No te compares” https://t.co/HCgv02dxCa",
2021-08-02 03:07:31,"RT @DanielUrresti1: Tupac Amaru fue un revolucionario, no un terrorista. No te atrevas a compararte hdlg https://t.co/v68x0g0cch",
2021-08-02 03:06:25,"RT @LaSalitadelSin: TÚPAC AMARU debe estar revolcándose en su tumba con las declaraciones de este impresentable.
#RenunciaBellido 
#FueraBe…",
2021-08-02 03:03:36,"RT @LaSalitadelSin: TÚPAC AMARU debe estar revolcándose en su tumba con las declaraciones de este impresentable.
#RenunciaBellido 
#FueraBe…",
2021-08-02 03:02:10,"RT @ScottDorian4: Hoy domingo 1 ven y únete a la marcha en contra del gobierno comunista de Castillo.
#AsumeTuVotoIdiota 
#AsumeTuVoto
#Vac…",
2021-08-02 03:01:01,"RT @AdamSmithFree: 6.- Ministro de Agricultura: Víctor Raúl Maita: 29 años, abogado asesor legal de la Federación Agraria Revolucionaria Tu…",
2021-08-02 03:00:17,"RT @DanielUrresti1: Tupac Amaru fue un revolucionario, no un terrorista. No te atrevas a compararte hdlg https://t.co/v68x0g0cch",
2021-08-02 02:59:40,Me informan que Cerrón quiere que Castillo cambie el cuadro de Túpac Amaru en Palacio por uno de Lenin.,
2021-08-02 02:50:51,"@LaSalitadelSin Queee esta loco, belludo terruco. TUPAC AMARU NOOOOOO . BELLIDO NO LE LLEGA A LIS talones de TUPAC AMARU.",
2021-08-02 02:49:18,"RT @LaSalitadelSin: TÚPAC AMARU debe estar revolcándose en su tumba con las declaraciones de este impresentable.
#RenunciaBellido 
#FueraBe…",
2021-08-02 02:48:53,"RT @LaSalitadelSin: TÚPAC AMARU debe estar revolcándose en su tumba con las declaraciones de este impresentable.
#RenunciaBellido 
#FueraBe…",
2021-08-02 02:48:41,"RT @LaSalitadelSin: TÚPAC AMARU debe estar revolcándose en su tumba con las declaraciones de este impresentable.
#RenunciaBellido 
#FueraBe…",
2021-08-02 02:48:33,"RT @Alioasanchez: La ignorancia es atrevida. El señor Bellido si quiere compararse a alguien que lo haga con su idolo Abimael Guzmán, no en…",
2021-08-02 02:47:33,"RT @AdamSmithFree: 6.- Ministro de Agricultura: Víctor Raúl Maita: 29 años, abogado asesor legal de la Federación Agraria Revolucionaria Tu…",
2021-08-02 02:44:18,"RT @LaSalitadelSin: TÚPAC AMARU debe estar revolcándose en su tumba con las declaraciones de este impresentable.
#RenunciaBellido 
#FueraBe…",
2021-08-02 02:43:34,"RT @LJyDMX: “Aquí sólo hay dos culpables, tú por oprimir a mi pueblo y yo por intentar liberarlo” 
-José Gabriel Cordorcanqui (Tupac Amaru…",
2021-08-02 02:43:25,"RT @Dr_Otorongo_: -Los Cañaris, Chachapoyas, Huaylas y Huancas fueron aliados de los españoles contra el Incanato.
Todas tierras huancas fu…",
2021-08-02 02:42:09,"@RosamelNeneo Se intentó, pero los primeros participantes terminaron descuartizados, tipo Túpac Amaru.",
2021-08-02 02:41:05,RT @feedperuano: Estas son las cortitas de hoy domingo 01 de agosto de 2021 - Diario Perú21: * Estas son las cortitas de hoy domingo 01 de…,
2021-08-02 02:41:05,RT @feedperuano: Estas son las cortitas de hoy domingo 01 de agosto de 2021 - Diario Perú21: * Estas son las cortitas de hoy domingo 01 de…,
2021-08-02 02:38:33,RT @feedperuano: Estas son las cortitas de hoy domingo 01 de agosto de 2021 - Diario Perú21: * Estas son las cortitas de hoy domingo 01 de…,
2021-08-02 02:38:32,RT @feedperuano: Estas son las cortitas de hoy domingo 01 de agosto de 2021 - Diario Perú21: * Estas son las cortitas de hoy domingo 01 de…,
2021-08-02 02:38:04,"Estas son las cortitas de hoy domingo 01 de agosto de 2021 - Diario Perú21: * Estas son las cortitas de hoy domingo 01 de agosto de 2021  Diario Perú21 * Urresti a Guido Bellido tras compararse con Túpac Amaru: “Él era un revolucionario, no un terrorista” … #cortitasperú21 https://t.co/oFo8ljcGWf",
2021-08-02 02:37:12,"RT @AdamSmithFree: 6.- Ministro de Agricultura: Víctor Raúl Maita: 29 años, abogado asesor legal de la Federación Agraria Revolucionaria Tu…",
2021-08-02 02:35:59,"RT @DanielUrresti1: Tupac Amaru fue un revolucionario, no un terrorista. No te atrevas a compararte hdlg https://t.co/v68x0g0cch",
2021-08-02 02:35:47,Ahi esta la constancia de inscripcion del 2 MOVADEF y FUDEPP osea FENATEP asociados los 3 :                     MOVADEF y FUDEPP y FENATEP a SL(SENDERO LUMINOSO) y MRTA(MOVIMIENTO REVOLUCIONARIO TUPAC AMARU)osea a los grupos TERRORISTAS. https://t.co/u08u3zH010,
2021-08-02 02:35:46,"6.- Ministro de Agricultura: Víctor Raúl Maita: 29 años, abogado asesor legal de la Federación Agraria Revolucionaria Tupac Amaru del Cusco. A favor del proyecto de Ley que propone suspender importaciones de papa, arroz y quinua y en favor de una segunda reforma agraria.",
2021-08-02 02:32:20,"RT @LaSalitadelSin: TÚPAC AMARU debe estar revolcándose en su tumba con las declaraciones de este impresentable.
#RenunciaBellido 
#FueraBe…",
2021-08-02 02:30:15,"RT @ScottDorian4: Hoy domingo 1 ven y únete a la marcha en contra del gobierno comunista de Castillo.
#AsumeTuVotoIdiota 
#VacanciaPedroCas…",
2021-08-02 02:29:23,"RT @Alioasanchez: La ignorancia es atrevida. El señor Bellido si quiere compararse a alguien que lo haga con su idolo Abimael Guzmán, no en…",
2021-08-02 02:25:34,"RT @LaSalitadelSin: TÚPAC AMARU debe estar revolcándose en su tumba con las declaraciones de este impresentable.
#RenunciaBellido 
#FueraBe…",
2021-08-02 02:23:56,"RT @DanielUrresti1: Tupac Amaru fue un revolucionario, no un terrorista. No te atrevas a compararte hdlg https://t.co/v68x0g0cch",
2021-08-02 02:23:06,"RT @Alioasanchez: La ignorancia es atrevida. El señor Bellido si quiere compararse a alguien que lo haga con su idolo Abimael Guzmán, no en…",
2021-08-02 02:22:59,"RT @Alioasanchez: La ignorancia es atrevida. El señor Bellido si quiere compararse a alguien que lo haga con su idolo Abimael Guzmán, no en…",
2021-08-02 02:20:50,"RT @diarioojo: Urresti a Guido Bellido tras compararse con Túpac Amaru: “Él era un revolucionario, no un terrorista” https://t.co/TP5eJhLu6q",
2021-08-02 02:19:09,"@LaSalitadelSin ¡Error! No como Tupac Amaru sino como cerdo en navidad, ¡Afilen los cuchillos!",
2021-08-02 02:18:04,"@LaSalitadelSin  ya quisiera tener la valentía de Tupac Amaru no manches su memoria con parándote con el ,impresentable",
2021-08-02 02:12:36,"RT @Alioasanchez: La ignorancia es atrevida. El señor Bellido si quiere compararse a alguien que lo haga con su idolo Abimael Guzmán, no en…",
