created_at,text,sad
2021-08-02 03:47:28,"@miseleccionmx @CocaColaMx @PoweradeMx Espero mañana por la mañana la renuncia de Martino si tiene vergüenza, están a tiempo de cambiar de proyecto para las eliminatorias",
2021-08-02 03:46:10,Soy al único que le molesta que  #NocheDeEliminaciónCelebrity sean puros platos típicos y no una de construcción o innovación culinaria? Porotos con riendas po wn https://t.co/4wOzL6cHkP,
2021-08-02 03:45:52,"RT @RunRunesWeb: Patricia Valenzuela, integrante de la junta directiva de la Sociedad Venezolana de Infectología: «Estamos entre los países…",
2021-08-02 03:44:33,"RT @RunRunesWeb: Patricia Valenzuela, integrante de la junta directiva de la Sociedad Venezolana de Infectología: «Estamos entre los países…",
2021-08-02 03:43:51,"RT @RunRunesWeb: Patricia Valenzuela, integrante de la junta directiva de la Sociedad Venezolana de Infectología: «Estamos entre los países…",
2021-08-02 03:43:18,max valenzuela https://t.co/I2oMpe2uDC,
2021-08-02 03:43:14,RT @colectivoUD: Su paso como presidente ejecutivo del SISOL de Villarán también dejó huellas: El exregidor del PPC Alberto Valenzuela denu…,
2021-08-02 03:42:49,"Que hermoso documental ""Nuestro Siglo"", material de complemento para dar la PAA https://t.co/ie8a0h74eb",
2021-08-02 03:42:24,"Mañana, en el primer debate de las y los candidatos presidenciales de la Concertación, digo, Unidad Constituyente, estarán preguntando Mónica Pérez e Iván Valenzuela ",
2021-08-02 03:42:01,"RT @El_vengaK: Alguien me explica por que en los postes de 3 de Febrero hay afiches que dicen : LARRETA, SANTILLI, VALENZUELA""? Larreta se…",
2021-08-02 03:41:58,"RT @RunRunesWeb: Patricia Valenzuela, integrante de la junta directiva de la Sociedad Venezolana de Infectología: «Estamos entre los países…",
2021-08-02 03:41:21,"RT @RunRunesWeb: Patricia Valenzuela, integrante de la junta directiva de la Sociedad Venezolana de Infectología: «Estamos entre los países…",
2021-08-02 03:40:17,RT @AnibalArguello1: A la FG le conviene que demos el beneficio de la duda a Carla Valenzuela. Ese beneficio de la duda tiene que ganárselo…,
2021-08-02 03:40:00,"Patricia Valenzuela, integrante de la junta directiva de la Sociedad Venezolana de Infectología: «Estamos entre los países con menor número de vacunas colocadas diariamente. Alcanzar la inmunidad de rebaño nos podría tomar hasta dos años» https://t.co/5HuSUPU3ev",
