created_at,text,sad
2021-08-02 05:04:16,"RT @RubbyCobain: Gracias Yulimar, por romper todos los récords y traernos esta alegría a toda una nación 

Fuiste por el Oro y te trajist…",
2021-08-02 05:04:16,"RT @RubbyCobain: Una pintura rápida solo para darte la gracias

Gracias por unirnos como nación y por representarnos, porque a miles de km…",
2021-08-02 05:04:15,"RT @NicolasMaduro: ¡Nos Sentimos Orgullosos! Yulimar, lograste que nuestra Bandera Tricolor con sus ocho estrellas y el Himno de la Repúbli…",
2021-08-02 05:04:12,"RT @RomeoHerrera1: Bulevar Venezuela.

24/7  https://t.co/KjkfobWeA1",
2021-08-02 05:04:12,"Siento decir mana que Maduro domina de por vida con solo 17% de aoribsvuin 

López no pierde nada de poder 
Tiene casi todas las gobernaturas y el contrapeso político tibio como en Venezuela y se vendió 
Y nosotros 3 años repitiendo su narrativa nada de activismo 
Vamos perdiendo https://t.co/48thuSYXw3",
2021-08-02 05:04:11,RT @Lechuguinos_com: Le presento los dos saltos más largos del planeta… y son de Venezuela carajo  https://t.co/ZMvlc1zUcN,
2021-08-02 05:04:11,The new joy of Venezuela: Yulimar Rojas (+ Video) https://t.co/mpimc7Rz6O,
2021-08-02 05:04:11,@ENCRIPTADO_43 Colombiano que no envidia a Venezuela se muere chiquito,
2021-08-02 05:04:10,"@AlvaroT66804156 El tarifado nos quería llevar a su terreno, que los 2 o alguno de los 2 le diera la razón sobre q había que ""buscar partidos nuevos""...como si de partidos o movimientos nuevos no estuviera full Venezuela, los cuáles incluso pueden ser utilizados para prolongar división opositora",
2021-08-02 05:04:09,RT @LuisCedeoAlfon2: @adeladessire @paquitalba Coorecto....Ud tambien entendió...fue un gesto para con Venezuela y para con YULIMAR....pero…,
2021-08-02 05:04:08,"RT @RomeoHerrera1: 24/7 

Bulevar Venezuela. https://t.co/iCRMb84wHZ",
2021-08-02 05:04:08,"RT @TheChiguirito: Mini hilo 🧵

Les tengo un reto a todos aquellos que dicen que en venezuela no hay homofobia: 

Camina por un centro come…",
2021-08-02 05:04:08,"RT @delcyrodriguezv: 6/6 Como parte del método 7+7, desde mañana lunes #2Ago hasta el domingo #8Ago será la semana de flexibilización econó…",
2021-08-02 05:04:07,"RT @_Provea: 125 mujeres fueron asesinadas por femicidios en Venezuela, solo en los primeros 6 meses del 2021, según @_CEPAZ

También se re…",
2021-08-02 05:04:06,"@la_grenitas Siento decir mana que Maduro domina de por vida con solo 17% de aoribsvuin 

López no pierde nada de poder 
Tiene casi todas las gobernaturas y el contrapeso político tibio como en Venezuela y se vendió 
Y nosotros 3 años repitiendo su narrativa nada de activismo 
Vamos perdiendo",
