created_at,text,sad
2021-08-02 03:44:58,RT @rafaelarraiz: La hazaña de Yulimar Rojas no tiene antecedentes en Venezuela. Medalla de Oro. Récord mundial y olímpico. Vayan buscando…,
2021-08-02 03:44:58,RT @GersonP90:  ¡Yulimar Rojas es Venezuela!  ¡Somos Vinotinto! ¡Claro que PODEMOS! #YulimarRojas #RecordMundial #1Ago #Victoria https://…,
2021-08-02 03:44:57,"RT @TeamRojas45: ¡Eres inspiración! ❤️

Estas son las emotivas palabras de campeón a campeona que le envió Francisco ""Morochito"" Rodrígue…",
2021-08-02 03:44:57,"RT @JauaMiranda: Yulimar Rojas de ORO.  Gracias por un amanecer de emoción Patria. Felicitaciones muchacha venezolana. Medalla de Oro, Réco…",
2021-08-02 03:44:54,"RT @Nahumpsuv: Con inmenso júbilo aplaudimos la medalla de oro🥇 y Récord Mundial de nuestra @TeamRojas45, en estos Juegos Olímpicos #Tokyo…",
2021-08-02 03:44:53,"RT @TeamRojas45: ¡INMENSA!

Con 🥇 en mano, Yulimar Rojas está en la cima del podio olímpico y en la cúspide de la historia del triple salto…",
2021-08-02 03:44:51,"RT @DeZurdaTeam: Sabías que el entrenador de Yulimar Rojas 🥇 de Venezuela y Ana Peleteiro 🥉 de España, medallistas en triple salto #Tokyo20…",
2021-08-02 03:44:51,"RT @JRodriguezPSUV_: ¡Guaidó le quitó el Oro a Venezuela, y Yulimar Rojas se lo volvió a dar!",
2021-08-02 03:44:49,"RT @CaleidoHumano: 🥇Yulimar Rojas es la primera mujer lesbiana y afrodescendiente venezolana en convertirse en campeona olímpica. 

¡La rei…",
2021-08-02 03:44:49,"RT @ImpactoVE: #1Ago #ImpactoVenezuela 
🟡Exclusiva

¡LÁGRIMAS DE CELEBRACIÓN!

Familia y amigos de Yulimar Rojas, bajo su techo celebran qu…",
2021-08-02 03:44:48,"RT @mteijeiro: Un entrenador cubano, Ivan Pedroso, lleva al pódium de campeones de Tokyo 2020, a dos ganadoras de medallas en salto tripl…",
2021-08-02 03:44:47,"RT @NTN24ve: #ATENCIÓN Venezuela: La gloria del atletismo criollo, Yulimar Rojas, rompe su propio récord olímpico al marcar 15.67 en el últ…",
2021-08-02 03:44:47,"RT @FonsiLoaiza: La venezolana Yulimar Rojas ha batido hoy el récord del mundo de triple salto y ha logrado el oro en los JJOO: ""Hugo Cháve…",
2021-08-02 03:44:47,"RT @TeamRojas45: ¡Eres inspiración! ❤️

Estas son las emotivas palabras de campeón a campeona que le envió Francisco ""Morochito"" Rodrígue…",
2021-08-02 03:44:45,"RT @CarlosValmore: Ochenta años después del primer gran éxito del deporte venezolano, el de los Héroes del 41, aparece Yulimar Rojas para d…",
2021-08-02 03:44:43,"RT @raymacaricatura: Yulimar Rojas! Record mundial en salto triple  una Atleta de Oro. Arriba Venezuela !!!
@TeamRojas45 #Tokyo2020 h…",
2021-08-02 03:44:43,"RT @TeamRojas45: ¡GLORIA AL BRAVO PUEBLO!

¡Yulimar Rojas en la cima del podio olímpico!

🥇 ORO OLÍMPICO
⚠️ WR/OR 1️⃣5️⃣. 6️⃣7️⃣

➡️ @tokyo…",
2021-08-02 03:44:40,"RT @pablom_m: Una de las imágenes de estos Juegos Olímpicos: la alegría de Ana Peleteiro después de que Yulimar Rojas, su rival en el tripl…",
2021-08-02 03:44:39,"RT @ENCRIPTADO_43: ¡ Lamento decirles que nuestra REINA, No es Colombiana, Es muy VENEZOLANA, O se la piensan robar como la gasolina, el ca…",
2021-08-02 03:44:39,"RT @TVVnoticias: #1Ago ¡Suena el Gloria al Bravo Pueblo en #Tokyo2020!

Premiación del salto triple en los #JuegosOlimpicos . Medalla de or…",
2021-08-02 03:44:39,"#VenezuelaEnTokyo

La Reina del Salto Triple conquistó #Tokyo2020 

Su majestad Yulimar Rojas envío un mensaje para toda Venezuela, luego de hacer sonar el himno nacional en el  Estadio Olímpico de Tokyo.

#JuegosOlimpicos  #Tokyo2020 https://t.co/FCmY1FyiK9",
2021-08-02 03:44:39,"RT @OfficialCOV: VENEZUELA, TENEMOS ORO OLÍMPICO.

Yulimar Rojas se convierte en la primera mujer venezolana en ganar una presea dorada en…",
2021-08-02 03:44:38,"RT @RoiLopezRivas: Morochito Rodríguez a Yulimar Rojas ❤️

 https://t.co/CCUKgtstZr",
2021-08-02 03:44:38,RT @puchero344: Yulimar Rojas...ORGULLO VENEZOLANO !! https://t.co/gYothlWFtx,
2021-08-02 03:44:35,"RT @morandavid: Para los socialistas, dónde entrenaron los medallistas venezolanos
Yulimar Rojas, oro, España
Daniel Dhers, plata, EEUU
Jul…",
2021-08-02 03:44:35,"RT @NoticiasCaracol: #Tokio2020 l  Dedicatoria de Caterine Ibargüen a Yulimar Rojas por su oro y récord mundial en Juegos Olímpicos.

La co…",
2021-08-02 03:44:34,"RT @TeamRojas45: 🥇 Yulimar Rojas: ""Para mi es un honor ser la primera mujer venezolana que gana el oro en unos Juegos Olímpicos"".

🥇1️⃣5️⃣.…",
2021-08-02 03:44:34,"RT @TeamRojas45: ¡GLORIA AL BRAVO PUEBLO!

¡Yulimar Rojas en la cima del podio olímpico!

🥇 ORO OLÍMPICO
⚠️ WR/OR 1️⃣5️⃣. 6️⃣7️⃣

➡️ @tokyo…",
2021-08-02 03:44:33,"RT @TeamRojas45: ¡GLORIA AL BRAVO PUEBLO!

¡Yulimar Rojas en la cima del podio olímpico!

🥇 ORO OLÍMPICO
⚠️ WR/OR 1️⃣5️⃣. 6️⃣7️⃣

➡️ @tokyo…",
2021-08-02 03:44:32,"RT @Ortegano13: Ana Peleteiro explicando lo que significa tener a Yulimar Rojas como compañera de entrenamiento.

Esto contextualiza el abr…",
2021-08-02 03:44:32,"RT @SergioNovelli: Imposible no emocionarse….
Así sonó el Himno Nacional de Venezuela en Tokio, al momento en que nuestra Yulimar Rojas rec…",
2021-08-02 03:44:31,RT @Gbastidas: Hoy algunos -quizás por desconocimiento- cuestionaron a quienes destacamos que Yulimar es un referente deportivo para las pe…,
2021-08-02 03:44:30,"RT @rolandoteleSUR: Gloria de #Cuba y #Venezuela. Iván Pedroso, el cubano con 5 títulos mundiales indoor, 4 títulos mundiales outdoor y 1 t…",
2021-08-02 03:44:29,"RT @mteijeiro: Daniel Dhers habla cordialmente con el Pdte Maduro. Yulimar Rojas en 2018, se expresó de Hugo Chávez como el propulsor del d…",
2021-08-02 03:44:29,"RT @NoticiasFalcon: Las notas del “Gloria al Bravo Pueblo” se escucharon este domingo 1 de agosto en el Estadio Olímpico de Tokio, luego qu…",
2021-08-02 03:44:28,"RT @qmoncaleano: Definamos esto como lo hacemos los tuiteros serios y profesionales

RT Caterine Ibargüen ♥️ Yulimar Rojas https://t.co/ZiS…",
2021-08-02 03:44:28,"RT @rafaelarraiz: Venezuela: el país de Yulimar Rojas y Miguel Cabrera. Venezolanos que trabajan con disciplina, tesón, alegría, voluntad,…",
2021-08-02 03:44:25,"RT @512bis: ¡GLORIA AL BRAVO PUEBLO!

¡Yulimar Rojas en la cima del podio olímpico!

🥇 ORO OLÍMPICO
⚠️ WR/OR 1️⃣5️⃣. 6️⃣7️⃣

➡️ @tokyo2020…",
2021-08-02 03:44:24,"RT @cartayabarry: POR 4° OPORTUNIDAD EN LA HISTORIA SUENA EL GLORIA AL BRAVO PUEBLO EN JJOO, POR PRIMERA VEZ GRACIAS A UNA MUJER, A LA REIN…",
2021-08-02 03:44:24,"RT @FCBarcelona_es: 🥇 La atleta del Barça, Yulimar Rojas, RÉCORD DEL MUNDO Y ORO OLÍMPICO en triple salto femenino en #Tokyo2020

 ¡Felic…",
2021-08-02 03:44:22,"RT @Naldoxx: Francisco ""Morochito"" Rodríguez #Boxing  - 1968
Arlindo Gouveia #Taekwondo -1992
Rubén Limardo #Fencing -2012
Yulimar Rojas #A…",
2021-08-02 03:44:21,"RT @Ortegano13: Ana Peleteiro explicando lo que significa tener a Yulimar Rojas como compañera de entrenamiento.

Esto contextualiza el abr…",
2021-08-02 03:44:19,"Ver ""Yulimar Rojas recibe su histórica medalla de oro en salto triple dentro de Tokyo 2020"" en YouTube https://t.co/sZdLRhZgqs",
2021-08-02 03:44:18,"RT @FonsiLoaiza: La venezolana Yulimar Rojas ha batido hoy el récord del mundo de triple salto y ha logrado el oro en los JJOO: ""Hugo Cháve…",
2021-08-02 03:44:18,"RT @NicolasMaduro: ¡Nuestra Yulimar Rojas es Venezuela! Digna y orgullosa representación de la mujeres y la juventud venezolana, que levant…",
