created_at,text,sad
2021-08-02 03:14:48,"RT @annxwallss: *simon tirándole mierda a la monarquia*
also simon unos días después comiéndose al futuro rey de suecia 

TEAM WILHELM 
#St…",
2021-08-02 03:13:51,"RT @NatyChavez10: Hice estos fondos compartidos @RydingEdvin @OmarRudberg ❤️ Espero que les guste. 
TEAM SIMON. TEAM WILHELM. #YoungRoyals…",
2021-08-02 03:04:00,"RT @annxwallss: *simon tirándole mierda a la monarquia*
also simon unos días después comiéndose al futuro rey de suecia 

TEAM WILHELM 
#St…",
2021-08-02 03:03:45,"@braver0yals Littt JAJJA lo amo lpm 
TEAM SIMON
#StreamYoungRoyals",
2021-08-02 02:59:06,"RT @thlouv: rt si piensas que simon es un tierno y debemos protegerlo a toda costa

TEAM SIMON
YOUNG ROYALS ONE MONTH
#StreamYoungRoyals ht…",
2021-08-02 02:54:19,"RT @annxwallss: *simon tirándole mierda a la monarquia*
also simon unos días después comiéndose al futuro rey de suecia 

TEAM WILHELM 
#St…",
2021-08-02 02:44:39,RT @thlouv: ¿recuerdan lo felices que estaban cuando hicimos tt por primera vez?  Y TUITEARON MIENTRAS HABLABAN POR FACETIME PARA CELEBRARL…,
2021-08-02 02:40:13,"RT @RydingEdits: Fav si y ret si quieres segunda temporada de Young royals

TEAM SIMON
#StreamYoungRoyals",
2021-08-02 02:36:01,"RT @annxwallss: *simon tirándole mierda a la monarquia*
also simon unos días después comiéndose al futuro rey de suecia 

TEAM WILHELM 
#St…",
2021-08-02 02:34:47,"RT @annxwallss: *simon tirándole mierda a la monarquia*
also simon unos días después comiéndose al futuro rey de suecia 

TEAM WILHELM 
#St…",
2021-08-02 02:28:23,"RT @FranHaru2000: Lo mejor que me paso en esta cuarentena, mis reyes♥️♥️
TEAM SIMON
#StreamYoungRoyals https://t.co/NDN62duTR9",
2021-08-02 02:27:54,"RT @cigarettesIwt: duele lo mucho q sientes su amor en estas escenas 

#StreamYoungRoyals 
TEAM SIMON https://t.co/SZEaR7xrk6",
2021-08-02 02:22:49,RT @YRoyalsM: Aquí rezando para tener una amistad tan linda como la de Edvin y Omar        TEAM SIMON…,
2021-08-02 02:06:26,RT @YRoyalsM: Aquí rezando para tener una amistad tan linda como la de Edvin y Omar        TEAM SIMON…,
2021-08-02 02:06:10,"Yo, cuando August filtró el video del Príncipe Wilhelm y Simon🤨
CHATUMAAAAAAAAAAAA lo tenias que arruinar una vez más!

#StreamYoungRoyals 
Team Simon https://t.co/TrtVoQA3B0",
2021-08-02 02:05:48,"RT @RydingEdits: Fav si y ret si quieres segunda temporada de Young royals

TEAM SIMON
#StreamYoungRoyals",
2021-08-02 02:05:09,RT @vilswilhelm: rt si omar deberia sacar un cover de favorite crime ! TEAM SIMON #StreamYoungRoyals,
2021-08-02 02:02:22,"RT @annxwallss: *simon tirándole mierda a la monarquia*
also simon unos días después comiéndose al futuro rey de suecia 

TEAM WILHELM 
#St…",
