"","V1"
"#AsumeTuVotoIdiota.txt",5
"#CuartoPoder.txt",2
"#PuntoFinal.txt",3
"#VacanciaPedroCastillo.txt",5
"#VigilaTuKarpaIdiota.txt",1
"Adriana Tudela.txt",5
"APRA.txt",5
"AUGUST TREMBLES FOR LISA.txt",1
"Barcos.txt",3
"Bellido.txt",5
"Benítez.txt",3
"Binacional.txt",1
"Breña.txt",5
"BTS for 2021.txt",4
"Bustos.txt",3
"CAN'T WAIT TO FIGHT.txt",4
"Canal N.txt",5
"Daniel Dhers.txt",2
"Francke.txt",5
"Gabriel Costa.txt",4
"Grupos.txt",1
"Hamilton.txt",2
"Hassan.txt",2
"Hernando de Soto.txt",1
"Jorge del Castillo.txt",2
"Juan Carlos Tafur.txt",3
"Lagos.txt",2
"Lourdes.txt",2
"LULI GONZALEZ.txt",1
"Matzuda.txt",3
"Melgar.txt",1
"Mineta.txt",4
"Molinelli.txt",5
"Mora.txt",3
"Palacio.txt",5
"PINKS REVOLUTIONIZED THE WORLD.txt",4
"Rafael Rey.txt",5
"Run BTS.txt",1
"Salazar.txt",3
"Sendero.txt",5
"Sheput.txt",2
"STAY 3RD ANNIVERSARY.txt",5
"Suiza.txt",3
"Superstar.txt",4
"team simon.txt",2
"Transparencia.txt",4
"Tupac Amaru.txt",4
"Valenzuela.txt",3
"Venezuela.txt",2
"Yulimar Rojas.txt",2
