"","V1"
"tweet1.txt",5
"tweet10.txt",2
"tweet100.txt",1
"tweet1000.txt",5
"tweet1001.txt",3
"tweet1002.txt",1
"tweet1003.txt",5
"tweet1004.txt",2
"tweet1005.txt",3
"tweet1006.txt",2
"tweet1007.txt",2
"tweet1008.txt",2
"tweet1009.txt",2
"tweet101.txt",2
"tweet1010.txt",2
"tweet1011.txt",2
"tweet1012.txt",2
"tweet1013.txt",2
"tweet1014.txt",2
"tweet1015.txt",2
"tweet1016.txt",2
"tweet1017.txt",3
"tweet1018.txt",2
"tweet1019.txt",2
"tweet102.txt",1
"tweet1020.txt",2
"tweet1021.txt",2
"tweet1022.txt",2
"tweet1023.txt",2
"tweet1024.txt",2
"tweet1025.txt",2
"tweet1026.txt",2
"tweet1027.txt",2
"tweet1028.txt",2
"tweet1029.txt",2
"tweet103.txt",1
"tweet1030.txt",2
"tweet1031.txt",2
"tweet1032.txt",4
"tweet1033.txt",5
"tweet1034.txt",3
"tweet1035.txt",4
"tweet1036.txt",2
"tweet1037.txt",1
"tweet1038.txt",3
"tweet1039.txt",3
"tweet104.txt",1
"tweet1040.txt",1
"tweet1041.txt",1
"tweet1042.txt",1
"tweet1043.txt",1
"tweet1044.txt",1
"tweet1045.txt",4
"tweet1046.txt",3
"tweet1047.txt",4
"tweet1048.txt",3
"tweet1049.txt",1
"tweet105.txt",2
"tweet1050.txt",5
"tweet1051.txt",1
"tweet1052.txt",1
"tweet1053.txt",4
"tweet1054.txt",5
"tweet1055.txt",3
"tweet1056.txt",1
"tweet1057.txt",5
"tweet1058.txt",1
"tweet1059.txt",2
"tweet106.txt",5
"tweet1060.txt",5
"tweet1061.txt",1
"tweet1062.txt",5
"tweet1063.txt",3
"tweet1064.txt",2
"tweet1065.txt",2
"tweet1066.txt",3
"tweet1067.txt",2
"tweet1068.txt",5
"tweet1069.txt",3
"tweet107.txt",1
"tweet1070.txt",4
"tweet1071.txt",4
"tweet1072.txt",2
"tweet1073.txt",1
"tweet1074.txt",2
"tweet1075.txt",4
"tweet1076.txt",1
"tweet1077.txt",4
"tweet1078.txt",1
"tweet1079.txt",1
"tweet108.txt",2
"tweet1080.txt",3
"tweet1081.txt",1
"tweet1082.txt",1
"tweet1083.txt",5
"tweet1084.txt",1
"tweet1085.txt",4
"tweet1086.txt",2
"tweet1087.txt",1
"tweet1088.txt",2
"tweet1089.txt",2
"tweet109.txt",2
"tweet1090.txt",5
"tweet1091.txt",4
"tweet1092.txt",1
"tweet1093.txt",3
"tweet1094.txt",1
"tweet1095.txt",4
"tweet1096.txt",3
"tweet1097.txt",3
"tweet1098.txt",1
"tweet1099.txt",1
"tweet11.txt",3
"tweet110.txt",4
"tweet1100.txt",4
"tweet1101.txt",5
"tweet1102.txt",5
"tweet1103.txt",5
"tweet1104.txt",1
"tweet1105.txt",3
"tweet1106.txt",1
"tweet1107.txt",2
"tweet1108.txt",4
"tweet1109.txt",3
"tweet111.txt",1
"tweet1110.txt",1
"tweet1111.txt",2
"tweet1112.txt",1
"tweet1113.txt",1
