"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","afganistán","video","ministro","diario","perú"
"2","por","tras","semana","personas","covid-19"
"3","los","vs.","años","completa","pedro"
"4","evacuación","allison","gestión","dos","país"
"5","domingo","liga","salud","presuntos","gobierno"
"6","conoce","pastor","vacunación","cinco","presidente"
"7","juan","partido","fin","ancón:","dosis"
"8","talibanes","primer","agosto","según","perú:"
"9","después","primera","covid-19:","rpp","castillo"
"10","hoy","gisela","hernando","asesinato","nuevo"
